#CODEVALUEMODEL=CodeValueIcd9|CODESYSTEMID=2.16.840.1.113883.6.103|CODESYSTEMNAME=ICD9DIAG|CODESYSTEMDISPLAYNAME=ICD9DIAG|VERSION=2013|DESCRIPTION=ICD9DIAG|LANGUAGE=it|AUTHORITYNAME=Insiel Mercato|AUTHORITYDESCRIPTION=Insiel Mercato|AUTHORITYCONTACTINFORMATION=Insiel Mercato|VALIDFROM=23/01/2013 10:03
ID SUFFIX|CODE|NAME|DESCRIPTION|ELEMENT TYPE|SEQUENCE NUMBER|TRANSLATION[it]|CODE EQUIVALENT [T]|CODE EQUIVALENT [S]|VALID FROM|VALID TO
V01.5|V01.5|CONTATTO CON O ESPOSIZIONE A RABBIA|CONTATTO CON O ESPOSIZIONE A RABBIA|C|0|CONTATTO CON O ESPOSIZIONE A RABBIA|||12/12/2013 12:15|
V01.6|V01.6|CONTATTO CON O ESPOSIZIONE A MALATTIE VENEREE|CONTATTO CON O ESPOSIZIONE A MALATTIE VENEREE|C|0|CONTATTO CON O ESPOSIZIONE A MALATTIE VENEREE|||12/12/2013 12:15|
DEPRECATED.V01.7|V01.7|ESPOSIZ MAL VIRALI NAS|ESPOSIZ MAL VIRALI NAS|C|0|ESPOSIZ MAL VIRALI NAS|||12/12/2013 12:15|
V01.71|V01.71|CONTATTO CON O ESPOSIZIONE A VARICELLA|CONTATTO CON O ESPOSIZIONE A VARICELLA|C|0|CONTATTO CON O ESPOSIZIONE A VARICELLA|||12/12/2013 12:15|
V01.79|V01.79|CONTATTO CON O ESPOSIZIONE AD ALTRE MALATTIE VIRALI|CONTATTO CON O ESPOSIZIONE AD ALTRE MALATTIE VIRALI|C|0|CONTATTO CON O ESPOSIZIONE AD ALTRE MALATTIE VIRALI|||12/12/2013 12:15|
DEPRECATED.V01.8|V01.8|ESPOSIZ MAL TRASMIS NAS|ESPOSIZ MAL TRASMIS NAS|C|0|ESPOSIZ MAL TRASMIS NAS|||12/12/2013 12:15|
V01.81|V01.81|CONTATTO CON O ESPOSIZIONE AD ANTRACE|CONTATTO CON O ESPOSIZIONE AD ANTRACE|C|0|CONTATTO CON O ESPOSIZIONE AD ANTRACE|||12/12/2013 12:15|
V01.82|V01.82|ESPOSIZIONE A SARS-CORONAVIRUS ASSOCIATO|ESPOSIZIONE A SARS-CORONAVIRUS ASSOCIATO|C|0|ESPOSIZIONE A SARS-CORONAVIRUS ASSOCIATO|||12/12/2013 12:15|
V01.83|V01.83|CONTATTO CON O ESPOSIZIONE AD ESCHERICHIA COLI (E. COLI)|CONTATTO CON O ESPOSIZIONE AD ESCHERICHIA COLI (E. COLI)|C|0|CONTATTO CON O ESPOSIZIONE AD ESCHERICHIA COLI (E. COLI)|||12/12/2013 12:15|
V01.84|V01.84|CONTATTO CON O ESPOSIZIONE A MENINGOCOCCO|CONTATTO CON O ESPOSIZIONE A MENINGOCOCCO|C|0|CONTATTO CON O ESPOSIZIONE A MENINGOCOCCO|||12/12/2013 12:15|
V01.89|V01.89|CONTATTO CON O ESPOSIZIONE AD ALTRE MALATTIE TRASMISSIBILI|CONTATTO CON O ESPOSIZIONE AD ALTRE MALATTIE TRASMISSIBILI|C|0|CONTATTO CON O ESPOSIZIONE AD ALTRE MALATTIE TRASMISSIBILI|||12/12/2013 12:15|
V01.9|V01.9|CONTATTO CON O ESPOSIZIONE A MALATTIA TRASMISSIBILE NON SPECIFICATA|CONTATTO CON O ESPOSIZIONE A MALATTIA TRASMISSIBILE NON SPECIFICATA|C|0|CONTATTO CON O ESPOSIZIONE A MALATTIA TRASMISSIBILE NON SPECIFICATA|||12/12/2013 12:15|
DEPRECATED.V02|V02|PORTATORE MAL INFETTIVE|PORTATORE MAL INFETTIVE|C|0|PORTATORE MAL INFETTIVE|||12/12/2013 12:15|
V02.0|V02.0|PORTATORE O PORTATORE SOSPETTO DI COLERA|PORTATORE O PORTATORE SOSPETTO DI COLERA|C|0|PORTATORE O PORTATORE SOSPETTO DI COLERA|||12/12/2013 12:15|
V02.1|V02.1|PORTATORE O PORTATORE SOSPETTO DI FEBBRE TIFOIDE|PORTATORE O PORTATORE SOSPETTO DI FEBBRE TIFOIDE|C|0|PORTATORE O PORTATORE SOSPETTO DI FEBBRE TIFOIDE|||12/12/2013 12:15|
V02.2|V02.2|PORTATORE O PORTATORE SOSPETTO DI AMEBIASI|PORTATORE O PORTATORE SOSPETTO DI AMEBIASI|C|0|PORTATORE O PORTATORE SOSPETTO DI AMEBIASI|||12/12/2013 12:15|
V02.3|V02.3|PORTATORE O PORTATORE SOSPETTO DI ALTRI PATOGENI GASTROINTESTINALI|PORTATORE O PORTATORE SOSPETTO DI ALTRI PATOGENI GASTROINTESTINALI|C|0|PORTATORE O PORTATORE SOSPETTO DI ALTRI PATOGENI GASTROINTESTINALI|||12/12/2013 12:15|
V02.4|V02.4|PORTATORE O PORTATORE SOSPETTO DI DIFTERITE|PORTATORE O PORTATORE SOSPETTO DI DIFTERITE|C|0|PORTATORE O PORTATORE SOSPETTO DI DIFTERITE|||12/12/2013 12:15|
DEPRECATED.V02.5|V02.5|PORTATORE MAL BATTER NAS|PORTATORE MAL BATTER NAS|C|0|PORTATORE MAL BATTER NAS|||12/12/2013 12:15|
V02.51|V02.51|PORTATORE O PORTATORE SOSPETTO DI STREPTOCOCCO GRUPPO B|PORTATORE O PORTATORE SOSPETTO DI STREPTOCOCCO GRUPPO B|C|0|PORTATORE O PORTATORE SOSPETTO DI STREPTOCOCCO GRUPPO B|||12/12/2013 12:15|
V02.52|V02.52|PORTATORE O PORTATORE SOSPETTO DI ALTRI STREPTOCOCCHI|PORTATORE O PORTATORE SOSPETTO DI ALTRI STREPTOCOCCHI|C|0|PORTATORE O PORTATORE SOSPETTO DI ALTRI STREPTOCOCCHI|||12/12/2013 12:15|
V02.59|V02.59|PORTATORE O PORTATORE SOSPETTO DI ALTRE MALATTIE BATTERICHE SPECIFICATE|PORTATORE O PORTATORE SOSPETTO DI ALTRE MALATTIE BATTERICHE SPECIFICATE|C|0|PORTATORE O PORTATORE SOSPETTO DI ALTRE MALATTIE BATTERICHE SPECIFICATE|||12/12/2013 12:15|
DEPRECATED.V02.6|V02.6|PORTATORE EPATITE VIRAL|PORTATORE EPATITE VIRAL|C|0|PORTATORE EPATITE VIRAL|||12/12/2013 12:15|
V02.60|V02.60|PORTATORE DI EPATITE VIRALE,NON SPECIFICATA|PORTATORE DI EPATITE VIRALE,NON SPECIFICATA|C|0|PORTATORE DI EPATITE VIRALE,NON SPECIFICATA|||12/12/2013 12:15|
V02.61|V02.61|PORTATORE DI EPATITE B|PORTATORE DI EPATITE B|C|0|PORTATORE DI EPATITE B|||12/12/2013 12:15|
V02.62|V02.62|PORTATORE DI EPATITE C|PORTATORE DI EPATITE C|C|0|PORTATORE DI EPATITE C|||12/12/2013 12:15|
V02.69|V02.69|PORTATORE DI ALTRE EPATITI VIRALI|PORTATORE DI ALTRE EPATITI VIRALI|C|0|PORTATORE DI ALTRE EPATITI VIRALI|||12/12/2013 12:15|
V02.7|V02.7|PORTATORE O PORTATORE SOSPETTO DI GONORREA|PORTATORE O PORTATORE SOSPETTO DI GONORREA|C|0|PORTATORE O PORTATORE SOSPETTO DI GONORREA|||12/12/2013 12:15|
V02.8|V02.8|PORTATORE O PORTATORE SOSPETTO DI ALTRE MALATTIE VENEREE|PORTATORE O PORTATORE SOSPETTO DI ALTRE MALATTIE VENEREE|C|0|PORTATORE O PORTATORE SOSPETTO DI ALTRE MALATTIE VENEREE|||12/12/2013 12:15|
V02.9|V02.9|PORTATORE O PORTATORE SOSPETTO DI ALTRO ORGANISMO INFETTIVO SPECIFICATO|PORTATORE O PORTATORE SOSPETTO DI ALTRO ORGANISMO INFETTIVO SPECIFICATO|C|0|PORTATORE O PORTATORE SOSPETTO DI ALTRO ORGANISMO INFETTIVO SPECIFICATO|||12/12/2013 12:15|
DEPRECATED.V03|V03|VACCIN CONTRO MAL BATTER|VACCIN CONTRO MAL BATTER|C|0|VACCIN CONTRO MAL BATTER|||12/12/2013 12:15|
V03.0|V03.0|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO IL SOLO COLERA|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO IL SOLO COLERA|C|0|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO IL SOLO COLERA|||12/12/2013 12:15|
V03.1|V03.1|NECESSITÀ DI VACCINAZIONE PROFILATTICA CON VACCINO TIFOIDE-PARATIFOIDE (TAB)|NECESSITÀ DI VACCINAZIONE PROFILATTICA CON VACCINO TIFOIDE-PARATIFOIDE (TAB)|C|0|NECESSITÀ DI VACCINAZIONE PROFILATTICA CON VACCINO TIFOIDE-PARATIFOIDE (TAB)|||12/12/2013 12:15|
V03.2|V03.2|NECESSITÀ DI VACCINAZIONE PROFILATTICA CON VACCINO TUBERCOLARE (BCG)|NECESSITÀ DI VACCINAZIONE PROFILATTICA CON VACCINO TUBERCOLARE (BCG)|C|0|NECESSITÀ DI VACCINAZIONE PROFILATTICA CON VACCINO TUBERCOLARE (BCG)|||12/12/2013 12:15|
V03.3|V03.3|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO LA PESTE|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO LA PESTE|C|0|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO LA PESTE|||12/12/2013 12:15|
V03.4|V03.4|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO LA TULAREMIA|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO LA TULAREMIA|C|0|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO LA TULAREMIA|||12/12/2013 12:15|
V03.5|V03.5|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO LA SOLA DIFTERITE|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO LA SOLA DIFTERITE|C|0|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO LA SOLA DIFTERITE|||12/12/2013 12:15|
V03.6|V03.6|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO LA SOLA PERTOSSE|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO LA SOLA PERTOSSE|C|0|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO LA SOLA PERTOSSE|||12/12/2013 12:15|
V03.7|V03.7|NECESSITÀ DI VACCINAZIONE PROFILATTICA CON IL SOLO TOSSOIDE TETANICO|NECESSITÀ DI VACCINAZIONE PROFILATTICA CON IL SOLO TOSSOIDE TETANICO|C|0|NECESSITÀ DI VACCINAZIONE PROFILATTICA CON IL SOLO TOSSOIDE TETANICO|||12/12/2013 12:15|
DEPRECATED.V03.8|V03.8|VACC CONTRO MAL BATT NAS|VACC CONTRO MAL BATT NAS|C|0|VACC CONTRO MAL BATT NAS|||12/12/2013 12:15|
V03.81|V03.81|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO HEMOPHILUS INFLUENZA,TIPO B [HIB]|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO HEMOPHILUS INFLUENZA,TIPO B [HIB]|C|0|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO HEMOPHILUS INFLUENZA,TIPO B [HIB]|||12/12/2013 12:15|
V03.82|V03.82|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO STREPTOCOCCUS PNEUMONIAE [PNEUMOCOCCO]|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO STREPTOCOCCUS PNEUMONIAE [PNEUMOCOCCO]|C|0|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO STREPTOCOCCUS PNEUMONIAE [PNEUMOCOCCO]|||12/12/2013 12:15|
V03.89|V03.89|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO ALTRA MALATTIA DA BATTERIO SINGOLO SPECIFICATO|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO ALTRA MALATTIA DA BATTERIO SINGOLO SPECIFICATO|C|0|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO ALTRA MALATTIA DA BATTERIO SINGOLO SPECIFICATO|||12/12/2013 12:15|
V03.9|V03.9|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO MALATTIA DA BATTERIO SINGOLO NON SPECIFICATO|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO MALATTIA DA BATTERIO SINGOLO NON SPECIFICATO|C|0|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO MALATTIA DA BATTERIO SINGOLO NON SPECIFICATO|||12/12/2013 12:15|
DEPRECATED.V04|V04|VACC CONTRO MALATT VIRAL|VACC CONTRO MALATT VIRAL|C|0|VACC CONTRO MALATT VIRAL|||12/12/2013 12:15|
V04.0|V04.0|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO LA POLIOMIELITE|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO LA POLIOMIELITE|C|0|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO LA POLIOMIELITE|||12/12/2013 12:15|
V04.1|V04.1|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO IL VAIOLO|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO IL VAIOLO|C|0|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO IL VAIOLO|||12/12/2013 12:15|
V04.2|V04.2|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO IL SOLO MORBILLO|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO IL SOLO MORBILLO|C|0|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO IL SOLO MORBILLO|||12/12/2013 12:15|
V04.3|V04.3|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO LA SOLA ROSOLIA|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO LA SOLA ROSOLIA|C|0|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO LA SOLA ROSOLIA|||12/12/2013 12:15|
V04.4|V04.4|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO LA FEBBRE GIALLA|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO LA FEBBRE GIALLA|C|0|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO LA FEBBRE GIALLA|||12/12/2013 12:15|
V04.5|V04.5|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO LA RABBIA|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO LA RABBIA|C|0|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO LA RABBIA|||12/12/2013 12:15|
V04.6|V04.6|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO I SOLI ORECCHIONI|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO I SOLI ORECCHIONI|C|0|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO I SOLI ORECCHIONI|||12/12/2013 12:15|
V04.7|V04.7|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO IL RAFFREDDORE COMUNE|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO IL RAFFREDDORE COMUNE|C|0|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO IL RAFFREDDORE COMUNE|||12/12/2013 12:15|
DEPRECATED.V04.8|V04.8|VACCINAZ INFLUENZA|VACCINAZ INFLUENZA|C|0|VACCINAZ INFLUENZA|||12/12/2013 12:15|
V04.81|V04.81|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO L'INFLUENZA|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO L'INFLUENZA|C|0|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO L'INFLUENZA|||12/12/2013 12:15|
V04.82|V04.82|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO IL VIRUS RESPIRATORIO SINCIZIALE (RSV)|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO IL VIRUS RESPIRATORIO SINCIZIALE (RSV)|C|0|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO IL VIRUS RESPIRATORIO SINCIZIALE (RSV)|||12/12/2013 12:15|
V04.89|V04.89|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO ALTRE PATOLOGIE VIRALI|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO ALTRE PATOLOGIE VIRALI|C|0|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO ALTRE PATOLOGIE VIRALI|||12/12/2013 12:15|
DEPRECATED.V05|V05|ALTR VACC CONTR MAL SING|ALTR VACC CONTR MAL SING|C|0|ALTR VACC CONTR MAL SING|||12/12/2013 12:15|
V05.0|V05.0|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO L'ENCEFALITE VIRALE TRASMESSA DA ARTROPODI|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO L'ENCEFALITE VIRALE TRASMESSA DA ARTROPODI|C|0|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO L'ENCEFALITE VIRALE TRASMESSA DA ARTROPODI|||12/12/2013 12:15|
V05.1|V05.1|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO ALTRE MALATTIE VIRALI TRASMESSE DA ARTROPODI|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO ALTRE MALATTIE VIRALI TRASMESSE DA ARTROPODI|C|0|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO ALTRE MALATTIE VIRALI TRASMESSE DA ARTROPODI|||12/12/2013 12:15|
V05.2|V05.2|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO LA LEISHMANIOSI|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO LA LEISHMANIOSI|C|0|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO LA LEISHMANIOSI|||12/12/2013 12:15|
V05.3|V05.3|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO L'EPATITE VIRALE|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO L'EPATITE VIRALE|C|0|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO L'EPATITE VIRALE|||12/12/2013 12:15|
V05.4|V05.4|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO LA VARICELLA|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO LA VARICELLA|C|0|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO LA VARICELLA|||12/12/2013 12:15|
V05.8|V05.8|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO ALTRA MALATTIA SPECIFICATA|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO ALTRA MALATTIA SPECIFICATA|C|0|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO ALTRA MALATTIA SPECIFICATA|||12/12/2013 12:15|
V05.9|V05.9|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO UNA SINGOLA MALATTIA NON SPECIFICATA|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO UNA SINGOLA MALATTIA NON SPECIFICATA|C|0|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO UNA SINGOLA MALATTIA NON SPECIFICATA|||12/12/2013 12:15|
DEPRECATED.V06|V06|VACCINAZ MISTE|VACCINAZ MISTE|C|0|VACCINAZ MISTE|||12/12/2013 12:15|
V06.0|V06.0|NECESSITÀ DI VACCINAZIONE PROFILATTICA CONTRO IL COLERA CON VACCINO PER LA FEBBRE TIFOIDE-PARATIFOIDE [COLERA + TAB]|NECESSITÀ DI VACCINAZIONE PROFILATTICA CONTRO IL COLERA CON VACCINO PER LA FEBBRE TIFOIDE-PARATIFOIDE [COLERA + TAB]|C|0|NECESSITÀ DI VACCINAZIONE PROFILATTICA CONTRO IL COLERA CON VACCINO PER LA FEBBRE TIFOIDE-PARATIFOIDE [COLERA + TAB]|||12/12/2013 12:15|
V06.1|V06.1|NECESSITÀ DI VACCINAZIONE PROFILATTICA CON VACCINO MISTO DIFTERITE-TETANO-PERTOSSE (DTP) (DTAP)|NECESSITÀ DI VACCINAZIONE PROFILATTICA CON VACCINO MISTO DIFTERITE-TETANO-PERTOSSE (DTP) (DTAP)|C|0|NECESSITÀ DI VACCINAZIONE PROFILATTICA CON VACCINO MISTO DIFTERITE-TETANO-PERTOSSE (DTP) (DTAP)|||12/12/2013 12:15|
V06.2|V06.2|NECESSITÀ DI VACCINAZIONE PROFILATTICA CON DIFTERITE-TETANO-PERTOSSE E CON VACCINO PER LA FEBBRE TIFOIDE-PARATIFOIDE [DTP + TAB]|NECESSITÀ DI VACCINAZIONE PROFILATTICA CON DIFTERITE-TETANO-PERTOSSE E CON VACCINO PER LA FEBBRE TIFOIDE-PARATIFOIDE [DTP + TAB]|C|0|NECESSITÀ DI VACCINAZIONE PROFILATTICA CON DIFTERITE-TETANO-PERTOSSE E CON VACCINO PER LA FEBBRE TIFOIDE-PARATIFOIDE [DTP + TAB]|||12/12/2013 12:15|
V06.3|V06.3|NECESSITÀ DI VACCINAZIONE PROFILATTICA CON DIFTERITE-TETANO-PERTOSSE E CON VACCINO PER LA POLIOMIELITE [DTP + POLIO]|NECESSITÀ DI VACCINAZIONE PROFILATTICA CON DIFTERITE-TETANO-PERTOSSE E CON VACCINO PER LA POLIOMIELITE [DTP + POLIO]|C|0|NECESSITÀ DI VACCINAZIONE PROFILATTICA CON DIFTERITE-TETANO-PERTOSSE E CON VACCINO PER LA POLIOMIELITE [DTP + POLIO]|||12/12/2013 12:15|
V06.4|V06.4|NECESSITÀ DI VACCINAZIONE PROFILATTICA CON VACCINO MORBILLO-PAROTITE-ROSOLIA (MPR)|NECESSITÀ DI VACCINAZIONE PROFILATTICA CON VACCINO MORBILLO-PAROTITE-ROSOLIA (MPR)|C|0|NECESSITÀ DI VACCINAZIONE PROFILATTICA CON VACCINO MORBILLO-PAROTITE-ROSOLIA (MPR)|||12/12/2013 12:15|
V06.5|V06.5|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO TETANO E DIFTERITE (TD) (DT)|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO TETANO E DIFTERITE (TD) (DT)|C|0|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO TETANO E DIFTERITE (TD) (DT)|||12/12/2013 12:15|
V06.6|V06.6|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO STREPTOCOCCUS PNEUMONIAE ED INFLUENZA|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO STREPTOCOCCUS PNEUMONIAE ED INFLUENZA|C|0|NECESSITÀ DI VACCINAZIONE E INOCULAZIONI PROFILATTICHE CONTRO STREPTOCOCCUS PNEUMONIAE ED INFLUENZA|||12/12/2013 12:15|
