#CODEVALUEMODEL=CodeValuePhi|CODESYSTEMID=phidic|CODESYSTEMNAME=PHIDIC|CODESYSTEMDISPLAYNAME=PHI DICTIONARY|VERSION=0|DESCRIPTION=Main CodeSystem|LANGUAGE=it|AUTHORITYNAME=Insiel Mercato SpA|AUTHORITYDESCRIPTION=Insiel Mercato SpA|AUTHORITYCONTACTINFORMATION=info@insielmercato.it|||||||||
ID SUFFIX|CODE|NAME|DESCRIPTION|ELEMENT TYPE|SEQUENCE NUMBER|STATUS|KEYWORDS|EXTENSION[Abbreviation]|EXTENSION[Enable annotation]|EXTENSION[Score]|TRANSLATION[de]|TRANSLATION[en]|TRANSLATION[it]|RELATION[CodeValueCity]|RELATION[CodeValueIcd9]|RELATION[CodeValuePhi]|VALID FROM|VALID TO
spisal.esposti.sostanze.ncas.012_V0|101316-59-0|101316-59-0|Distillati (petrolio), idrodesolforati intermedi da coker; Combinazione complessa di idrocarburi ottenuta per frazionamento di stocks di distillato idrodesolforato da coker; E' costituita prevalentemente da idrocarburi con numero di atomi di carbonio prev|C|0|1|||||||Distillati (petrolio), idrodesolforati intermedi da coker; Combinazione complessa di idrocarburi ottenuta per frazionamento di stocks di distillato idrodesolforato da coker||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.013_V0|101316-62-5|101316-62-5|Residui di estrazione (carbone), olio leggero alcalino, estratto acido, frazione indenica; Residui di estrazione di olio leggero, punto di ebollizione intermedio.|C|0|1|||||||Residui di estrazione (carbone), olio leggero alcalino, estratto acido, frazione indenica||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.014_V0|101631-14-5|101631-14-5|Distillati (petrolio), pesanti crackizzati con vapore; Combinazione complessa di idrocarburi ottenuta per distillazione di residui pesanti da cracking con vapore. E' costituita prevalentemente da idrocarburi aromatici pesanti altamente alchilati con punto|C|0|1|||||||Distillati (petrolio), pesanti crackizzati con vapore||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.015_V0|101631-20-3|101631-20-3|Nafta (petrolio), pesante di prima distillazione, contenente aromatici; Nafta con basso punto di ebollizione; Combinazione complessa di idrocarburi ottenuta da un processo di distillazione di petrolio grezzo. È costituita in prevalenza da idrocarburi con |C|0|1|||||||Nafta (petrolio), pesante di prima distillazione, contenente aromatici; Nafta con basso punto di ebollizione||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.016_V0|101-77-9|101-77-9|4,4'-diaminodifenilmetano|C|0|1|||||||4,4'-diaminodifenilmetano||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.017_V0|101795-01-1|101795-01-1|Nafta (petrolio), leggera addolcita; Nafta con basso punto di ebollizione - non specificata; Combinazione complessa di idrocarburi ottenuta sottoponendo una nafta di petrolio ad un processo di addolcimento per convertire i mercaptani o eliminare impurezze|C|0|1|||||||Nafta (petrolio), leggera addolcita; Nafta con basso punto di ebollizione - non specificata||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.018_V0|102110-14-5|102110-14-5|Idrocarburi, C3-6, ricchi di C5, nafta da steam cracking; Nafta con basso punto di ebollizione - non specificata; Combinazione complessa di idrocarburi ottenuta per distillazione di nafta da steam cracking. È costituita in prevalenza da idrocarburi con nu|C|0|1|||||||Idrocarburi, C3-6, ricchi di C5, nafta da steam cracking; Nafta con basso punto di ebollizione - non specificata||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.019_V0|102110-15-6|102110-15-6|Idrocarburi, ricchi di C5, contenenti diciclopentadiene; Nafta con basso punto di ebollizione - non specificata; Combinazione complessa di idrocarburi ottenuta per distillazione dei prodotti di un processo di steam cracking. È costituita in prevalenza da |C|0|1|||||||Idrocarburi, ricchi di C5, contenenti diciclopentadiene; Nafta con basso punto di ebollizione - non specificata||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.020_V0|102110-55-4|102110-55-4|Residui (petrolio), leggeri da steam cracking, aromatici; Nafta con basso punto di ebollizione - non specificata; Combinazione complessa di idrocarburi ottenuta per distillazione dei prodotti dello steam cracking o processi simili dopo aver eliminato i pr|C|0|1|||||||Residui (petrolio), leggeri da steam cracking, aromatici; Nafta con basso punto di ebollizione - non specificata||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.021_V0|10265-92-6|10265-92-6|Metamidofos (ISO); Tiofosforammidato di O,S-dimetile|C|0|1|||||||Metamidofos (ISO)||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.022_V0|103-11-7|103-11-7|2-etilesil acrilato|C|0|1|||||||2-etilesil acrilato||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.023_V0|103-23-1|103-23-1|Dioctil adipato|C|0|1|||||||Dioctil adipato||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.024_V0|104-40-5|104-40-5|4(para)-Nonilfenolo|C|0|1|||||||4(para)-Nonilfenolo||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.025_V0|10588-01-9|10588-01-9|dicromato di sodio|C|0|1|||||||dicromato di sodio||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.026_V0|10605-21-7|10605-21-7|Carbendazina (ISO); Benzimidazol-2-ilcarbammato di metile.|C|0|1|||||||Carbendazina (ISO)||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.027_V0|106-43-4|106-43-4|4-clorotoluene|C|0|1|||||||4-clorotoluene||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.028_V0|106-46-7|106-46-7|1,4-diclorobenzene; p-diclorobenzolo|C|0|1|||||||1,4-diclorobenzene||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.029_V0|106-47-8|106-47-8|4-cloroanilina|C|0|1|||||||4-cloroanilina||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.030_V0|106-48-9|106-48-9|4-clorofenolo|C|0|1|||||||4-clorofenolo||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.031_V0|106-89-8|106-89-8|1-cloro-2,3-epossipropano; epicloridrina|C|0|1|||||||1-cloro-2,3-epossipropano||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.032_V0|106-93-4|106-93-4|1,2-dibromoetano|C|0|1|||||||1,2-dibromoetano||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.033_V0|106-97-8|106-97-8|butano|C|0|1|||||||butano||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.034_V0|106-97-81|106-97-81|butano (contenente ≥ 0.1 % butadiene (203-450-8))|C|0|1|||||||butano (contenente ≥ 0.1 % butadiene (203-450-8))||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.035_V0|106-99-0|106-99-0|1,3-butadiene|C|0|1|||||||1,3-butadiene||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.036_V0|107-02-8|107-02-8|2-propenale;  Acrilaldeide; Acroleina|C|0|1|||||||2-propenale; Â Acrilaldeide||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.037_V0|107-05-1|107-05-1|3-cloropropene; cloruro di allile|C|0|1|||||||3-cloropropene||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.038_V0|107-06-2|107-06-2|1,2-dicloroetano; etilene dicloruro|C|0|1|||||||1,2-dicloroetano||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.039_V0|107-07-3|107-07-3|2-cloroetanolo; cloridrina etilenica|C|0|1|||||||2-cloroetanolo||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.040_V0|107-13-1|107-13-1|Acrilonitrile|C|0|1|||||||Acrilonitrile||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.041_V0|107534-96-3|107534-96-3|1-(4-clorofenil)-4,4-dimetil-3-(1,2,4-triazol-1-ilmetil)pentan-3-olo|C|0|1|||||||1-(4-clorofenil)-4,4-dimetil-3-(1,2,4-triazol-1-ilmetil)pentan-3-olo||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.042_V0|107-64-2|107-64-2|Cloruro di dimetildiottadecilammonio; DODMAC|C|0|1|||||||Cloruro di dimetildiottadecilammonio||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.043_V0|107-98-2|107-98-2|1-metossi-2-propanolo;  Propilene glicol mono metil etere|C|0|1|||||||1-metossi-2-propanolo||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.044_V0|108-05-4|108-05-4|Acetato di vinile; Vinile acetato|C|0|1|||||||Acetato di vinile||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.045_V0|108-41-8|108-41-8|3-clorotoluene|C|0|1|||||||3-clorotoluene||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.046_V0|108-42-9|108-42-9|3-cloroanilina|C|0|1|||||||3-cloroanilina||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.047_V0|108-43-0|108-43-0|3-clorofenolo|C|0|1|||||||3-clorofenolo||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.048_V0|108-46-3|108-46-3|1,3-diidrossibenzene; Resorcina.|C|0|1|||||||1,3-diidrossibenzene||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.049_V0|108-60-1|108-60-1|Dicloro-di-isopropiletere; ossido di bis(2-cloro-1-metiletile)|C|0|1|||||||Dicloro-di-isopropiletere||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.050_V0|108-65-6|108-65-6|Acetato di 1-metil-2-metossietile; 2-metossi-1-metiletilacetato|C|0|1|||||||Acetato di 1-metil-2-metossietile||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.051_V0|108-77-0|108-77-0|2,4,6-tricloro-1,3,5-triazina; cloruro di cianurile|C|0|1|||||||2,4,6-tricloro-1,3,5-triazina||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.052_V0|108-88-3|108-88-3|toluene|C|0|1|||||||toluene||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.053_V0|108-90-7|108-90-7|clorobenzene|C|0|1|||||||clorobenzene||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.054_V0|108-95-2|108-95-2|fenolo|C|0|1|||||||fenolo||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.055_V0|109333-34-8|109333-34-8|1,2,3,7,8-pentabromdibenzo-para-diossina|C|0|1|||||||1,2,3,7,8-pentabromdibenzo-para-diossina||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.056_V0|109-66-0|109-66-0|pentano|C|0|1|||||||pentano||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.057_V0|109-86-4|109-86-4|2-metossietanolo ; etilenglicol-monometiletere ; metilglicol|C|0|1|||||||2-metossietanolo ; etilenglicol-monometiletere||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.058_V0|109-89-7|109-89-7|dietilamina|C|0|1|||||||dietilamina||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.059_V0|1103-38-4|1103-38-4|Sale di bario (2:1) dell'acido 2-(2-idrossi-1-naftilazo)-1-naftalensolfonico|C|0|1|||||||Sale di bario (2:1) dell'acido 2-(2-idrossi-1-naftilazo)-1-naftalensolfonico||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.060_V0|110-49-6|110-49-6|2-metossietil-acetato; Acetato di etilenglicolmonometiletere; Acetato di metilglicol|C|0|1|||||||2-metossietil-acetato; Acetato di etilenglicolmonometiletere||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.061_V0|110-65-6|110-65-6|But-2-in-1,4-diolo; 2-butin-1,4-diolo|C|0|1|||||||But-2-in-1,4-diolo||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.062_V0|110-80-5|110-80-5|2-etossietanolo; Etilenglicol-monoetiletere; Etilglicol|C|0|1|||||||2-etossietanolo; Etilenglicol-monoetiletere||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.063_V0|11081-15-5|11081-15-5|isoottilfenolo|C|0|1|||||||isoottilfenolo||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.064_V0|110-82-7|110-82-7|Cicloesano|C|0|1|||||||Cicloesano||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.065_V0|110-85-0|110-85-0|piperazina solida|C|0|1|||||||piperazina solida||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.066_V0|110999-45-6|110999-45-6|1,2,3,6,7,8-esabromdibenzo-para-diossina|C|0|1|||||||1,2,3,6,7,8-esabromdibenzo-para-diossina||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.067_V0|110999-46-7|110999-46-7|1,2,3,7,8,9-esabromdibenzo-para-diossina|C|0|1|||||||1,2,3,7,8,9-esabromdibenzo-para-diossina||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.068_V0|11113-50-1|11113-50-1|acido borico, grezzo, naturale, contenente non più di 85% di H3BO3 calcolato in base al peso secco|C|0|1|||||||acido borico, grezzo, naturale, contenente non piÃ¹ di 85% di H3BO3 calcolato in base al peso secco||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.069_V0|111-15-9|111-15-9|2-etossietil acetato; Acetato di etilglicol; Acetato di etilenglicolmonoetiletere|C|0|1|||||||2-etossietil acetato; Acetato di etilglicol||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.070_V0|1113-02-6|1113-02-6|Ometoato (ISO); Tiofosfato di O,O-dimetile e S-metilcarbammoilmetile|C|0|1|||||||Ometoato (ISO)||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.071_V0|11138-47-9|11138-47-9|sale sodico dell'acido perborico|C|0|1|||||||sale sodico dell'acido perborico||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.072_V0|11138-60-6|11138-60-6|acido decanoico, estere con 2-etil-2-(idrossimetil)-1,3-propandiol ottanoato|C|0|1|||||||acido decanoico, estere con 2-etil-2-(idrossimetil)-1,3-propandiol ottanoato||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.073_V0|111-76-2|111-76-2|Etilenglicol-monobutiletere; 2-butossietanolo; Butilglicol|C|0|1|||||||Etilenglicol-monobutiletere; 2-butossietanolo||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.074_V0|111-77-3|111-77-3|2-(2-metossietossi)etanolo; Dietilene glicol monometil etere|C|0|1|||||||2-(2-metossietossi)etanolo||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.075_V0|111-96-6|111-96-6|Ossido di bis(2-metossietile); Bis(2-metossietil) etere; Dietilenglicol dimetil etere.|C|0|1|||||||Ossido di bis(2-metossietile); Bis(2-metossietil) etere||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.076_V0|112-07-2|112-07-2|2-butossietil acetato; Acetato di butilglicol; Acetato di etilenglicolmonobutiletere|C|0|1|||||||2-butossietil acetato; Acetato di butilglicol||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.077_V0|112-34-5|112-34-5|2-(2-butossietossi)etanolo; Dietileneglicol(mono)butiletene|C|0|1|||||||2-(2-butossietossi)etanolo||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.078_V0|112-90-3|112-90-3|(Z)-ottadec-9-enilammina|C|0|1|||||||(Z)-ottadec-9-enilammina||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.079_V0|115-29-7|115-29-7|Endosulfan (ISO); Solfito di 1,4,5,6,7,7-esacloro-8,9,10-trinorborn-5-en-2,3-ilendimetile; Solfito di 1,2,3,4,7,7-esacloro-8,9,10-trinorborn-2-en-5,6-ilendimetile|C|0|1|||||||Endosulfan (ISO); Solfito di 1,4,5,6,7,7-esacloro-8,9,10-trinorborn-5-en-2,3-ilendimetile||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.080_V0|115-32-2|115-32-2|dicofol (ISO); 2,2,2-tricloro-1,1-bis(4-clorofenil)etanolo|C|0|1|||||||dicofol (ISO)||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.081_V0|115-96-8|115-96-8|Fosfato di tris(2-cloroetile)|C|0|1|||||||Fosfato di tris(2-cloroetile)||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.082_V0|1163-19-5|1163-19-5|ossido di bis(pentabromofenile)|C|0|1|||||||ossido di bis(pentabromofenile)||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.083_V0|117-08-8|117-08-8|Anidride tetracloroftalica|C|0|1|||||||Anidride tetracloroftalica||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.084_V0|117-81-7|117-81-7|ftalato di bis(2-etilesile); DEHP|C|0|1|||||||ftalato di bis(2-etilesile)||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.085_V0|117-84-0|117-84-0|ftalato di diottile (DNOP)|C|0|1|||||||ftalato di diottile (DNOP)||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.086_V0|118-74-1|118-74-1|esaclorobenzene|C|0|1|||||||esaclorobenzene||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.087_V0|118-82-1|118-82-1|4,4'metilenbis(2,6 di-t-butilfenolo); 2,2`,6,6`-tetra-terz-butil-4,4`-metilendifenolo|C|0|1|||||||4,4'metilenbis(2,6 di-t-butilfenolo)||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.088_V0|119-47-1|119-47-1|2,2' metilene-bis(6-tert-butil-para-cresolo)|C|0|1|||||||2,2' metilene-bis(6-tert-butil-para-cresolo)||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.089_V0|119-61-9|119-61-9|Benzofenone|C|0|1|||||||Benzofenone||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.090_V0|12002-48-1|12002-48-1|triclorobenzene|C|0|1|||||||triclorobenzene||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.091_V0|120-12-7|120-12-7|Antracene|C|0|1|||||||Antracene||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.092_V0|120-36-5|120-36-5|Diclorprop (ISO); Acido 2-(2,4-diclorofenossi)propionico|C|0|1|||||||Diclorprop (ISO)||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.093_V0|120-82-1|120-82-1|1,2,4-triclorobenzene|C|0|1|||||||1,2,4-triclorobenzene||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.094_V0|120-83-2|120-83-2|2,4-diclorofenolo|C|0|1|||||||2,4-diclorofenolo||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.095_V0|121-14-2|121-14-2|2,4-dinitrotoluene; Dinitrotoluene, tecnico; Dinitrotoluene|C|0|1|||||||2,4-dinitrotoluene; Dinitrotoluene, tecnico||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.096_V0|12122-67-7|12122-67-7|Zinebe|C|0|1|||||||Zinebe||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.097_V0|1217-08-9|1217-08-9|beta,1,1,2,3,3-esametilindan-5-etanolo|C|0|1|||||||beta,1,1,2,3,3-esametilindan-5-etanolo||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.098_V0|121-73-3|121-73-3|1-Cloro-3-nitrobenzene|C|0|1|||||||1-Cloro-3-nitrobenzene||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.099_V0|121-75-5|121-75-5|malation [ISO]; 1,2-bis(etossicarbonil)etil O,O-dimetil fosforoditioato; [contenente ≤ 0,03 % isomalation]|C|0|1|||||||malation [ISO]; 1,2-bis(etossicarbonil)etil O,O-dimetil fosforoditioato||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.100_V0|122070-80-8|122070-80-8|Olii estratti (carbone), olii residui di pirolisi e catrame di carbone, olio di naftalene, residui della distillazione; Ridistillati; Residuo proveniente dalla distillazione di olio metilnaftalenico privo di fenoli e basi (proveniente da catrame di carbon|C|0|1|||||||Olii estratti (carbone), olii residui di pirolisi e catrame di carbone, olio di naftalene, residui della distillazione; Ridistillati||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.101_V0|122-14-5|122-14-5|Fenitrotion (ISO); Tiofosfato di O,O-dimetile e O-4-nitro-m-tolile|C|0|1|||||||Fenitrotion (ISO)||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.102_V0|1222-05-5|1222-05-5|1,3,4,6,7,8-esaidro-4,6,6,7,8,8-esametillinden[5,6-c]pirano; Galaxolide; (HHCB) |C|0|1|||||||1,3,4,6,7,8-esaidro-4,6,6,7,8,8-esametillinden[5,6-c]pirano; Galaxolide||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.103_V0|122-34-9|122-34-9|Simazina (ISO)|C|0|1|||||||Simazina (ISO)||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.104_V0|122-39-4|122-39-4|Difenilamina|C|0|1|||||||Difenilamina||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.105_V0|123-91-1|123-91-1|1,4-diossano|C|0|1|||||||1,4-diossano||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.106_V0|12427-38-2|12427-38-2|Maneb (ISO); Etilenebis(ditiocarbammato) (polimerico) di manganese|C|0|1|||||||Maneb (ISO)||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.107_V0|124-30-1|124-30-1|ottadecilammina|C|0|1|||||||ottadecilammina||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.108_V0|124-40-3|124-40-3|di-metilamina|C|0|1|||||||di-metilamina||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.109_V0|12578-12-0|12578-12-0|Diossibis(stearato) di tripiombo|C|0|1|||||||Diossibis(stearato) di tripiombo||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.110_V0|12656-85-8|12656-85-8|Questa sostanza è identificata nel Colour Index dal Colour Index Constitution Number, C.I. 77605; C.I. Pigment red 104; Piombo cromato molibdato solfato rosso.|C|0|1|||||||Questa sostanza Ã¨ identificata nel Colour Index dal Colour Index Constitution Number, C.I. 77605; C.I. Pigment red 104||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.111_V0|126-73-8|126-73-8|tributilfosfato|C|0|1|||||||tributilfosfato||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.112_V0|126-99-8|126-99-8|2-cloro-1,3-butadiene; cloroprene|C|0|1|||||||2-cloro-1,3-butadiene||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.113_V0|127-18-4|127-18-4|tetracloroetilene; percloroetilene|C|0|1|||||||tetracloroetilene||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.114_V0|128-37-0|128-37-0|2,6-di-terz-butil-p-cresolo|C|0|1|||||||2,6-di-terz-butil-p-cresolo||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.115_V0|128-39-2|128-39-2|2,6-di-terz-butilfenolo|C|0|1|||||||2,6-di-terz-butilfenolo||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.116_V0|128-69-8|128-69-8|dianidride perilen-3,4:9,10-tetracarbossilico|C|0|1|||||||dianidride perilen-3,4:9,10-tetracarbossilico||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.117_V0|1306-19-0|1306-19-0|cadmio ossido (stabilizzata)|C|0|1|||||||cadmio ossido (stabilizzata)||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.118_V0|1309-64-4|1309-64-4|Triossido di diantimonio|C|0|1|||||||Triossido di diantimonio||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.119_V0|1310-73-2|1310-73-2|Idrossido di sodio|C|0|1|||||||Idrossido di sodio||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.120_V0|131166-92-2|131166-92-2|2,3,4,7,8-pentabromdibenzofurano; 2,3,4,7,8-Penta-BDF|C|0|1|||||||2,3,4,7,8-pentabromdibenzofurano||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.121_V0|13138-45-9|13138-45-9|Dinitrato di nichel|C|0|1|||||||Dinitrato di nichel||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.122_V0|1314-13-2|1314-13-2|Ossido di zinco|C|0|1|||||||Ossido di zinco||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.123_V0|132-64-9|132-64-9|Dibenzofurano|C|0|1|||||||Dibenzofurano||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.124_V0|1327-53-3|1327-53-3|diarsenico triossido ; arsenico triossido|C|0|1|||||||diarsenico triossido||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.125_V0|1330-20-7|1330-20-7|xilene|C|0|1|||||||xilene||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.126_V0|1330-43-4|1330-43-4|tetraborato di disodio, anidro; acido borico, sale disodico|C|0|1|||||||tetraborato di disodio, anidro||||01/01/2007 00:00|
