#CODEVALUEMODEL=CodeValuePhi|CODESYSTEMID=phidic|CODESYSTEMNAME=PHIDIC|CODESYSTEMDISPLAYNAME=PHI DICTIONARY|VERSION=0|DESCRIPTION=Main CodeSystem|LANGUAGE=it|AUTHORITYNAME=Insiel Mercato SpA|AUTHORITYDESCRIPTION=Insiel Mercato SpA|AUTHORITYCONTACTINFORMATION=info@insielmercato.it
ID SUFFIX|CODE|NAME|DESCRIPTION|ELEMENT TYPE|SEQUENCE NUMBER|STATUS|KEYWORDS|EXTENSION[Abbreviation]|EXTENSION[Enable annotation]|EXTENSION[IE Repository]|EXTENSION[Score]|TRANSLATION[de]|TRANSLATION[en]|TRANSLATION[it]|RELATION[CodeValueCity]|RELATION[CodeValueIcd9]|RELATION[CodeValuePhi]|VALID FROM|VALID TO
spisal.cantieri.natura.06_V0|06|06|Spostamento solai,pareti portanti|C|0|1||||||||RISTRUTTURAZIONE INTERNA DI EDIFICIO||||11/10/2016 14:38|
spisal.cantieri.natura.07_V0|07|07|Demolizione importante con ricostruzione,ampliamento,consolidamento strutturale,sopralelevazione|C|0|1||||||||RISTRUTTURAZIONE GENERALE DI EDIFICIO||||11/10/2016 14:38|
spisal.cantieri.natura.08_V0|08|08|Solamente demolizione|C|0|1||||||||DEMOLIZIONE DI FABBRICATO||||11/10/2016 14:38|
spisal.cantieri.natura.09_V0|09|09|Rimozione coperturacemento/amianto con o senza il rifacimento o la ristrutturazione della stessa|C|0|1||||||||RIMOZIONE COPERTURA CEMENTO/AMIANTO||||11/10/2016 14:38|
spisal.cantieri.natura.10_V0|10|10|Installazione di antenne di telefonia mobile e similari|C|0|1||||||||ANTENNE TELEFONIA||||11/10/2016 14:38|
spisal.cantieri.natura.11_V0|11|11|Opere di urbanizzazione primaria (lottizzazioni)|C|0|1||||||||URBANIZZAZIONE||||11/10/2016 14:38|
spisal.cantieri.natura.12_V0|12|12|Natura dei lavori non specificata|C|0|1||||||||NON CONOSCIUTO||||11/10/2016 14:38|
spisal.cantieri.natura.13_V0|13|13|Tutto ciò che non è impianto|C|0|1||||||||PUBBLICO-NUOVA COSTRUZIONE DI EDIFICIO||||11/10/2016 14:38|
spisal.cantieri.natura.14_V0|14|14|Impainti vari,linee elettriche|C|0|1||||||||PUBBLICO-NUOVA COSTRUZIONE DI IMPIANTO O LINEA||||11/10/2016 14:38|
spisal.cantieri.natura.15_V0|15|15|Tutto ciò che non è impianto o manutenzione stradale|C|0|1||||||||PUBBLICO-MANUTENZIONE DI EDIFICIO||||11/10/2016 14:38|
spisal.cantieri.natura.16_V0|16|16|Manutenzioni|C|0|1||||||||PUBBLICO-MANUTENZIONE DI IMPIANTO O LINEA||||11/10/2016 14:38|
spisal.cantieri.natura.17_V0|17|17|Manutenzioni e interventi stradali|C|0|1||||||||PUBBLICO-MANUTENZIONI STRADALI||||11/10/2016 14:38|
spisal.cantieri.notifica_V0|TipologiaNotifica|TipologiaNotifica||S|0|1||||||||Tipologia notifica||||20/05/2016 16:23|
spisal.cantieri.notifica.01_V0|TYPECANT01|TYPECANT01||C|0|1||||||||Notifica preliminare standard (articolo 90, comma 3 del DLgs 81/2008)||||20/05/2016 16:25|
spisal.cantieri.notifica.02_V0|TYPECANT02|TYPECANT02||C|1|1||||||||Notifica preliminare a seguito di varianti che riconducono il cantiere alle condizioni del punto precedente (articolo 99, comma 1, lettera b del DLgs 81/2008)||||20/05/2016 16:25|
spisal.cantieri.notifica.03_V0|TYPECANT03|TYPECANT03||C|2|1||||||||Notifica preliminare riferita a lavori privati non soggetti a permesso di costruire…||||20/05/2016 16:25|
spisal.cantieri.notifica.04_V0|TYPECANT04|TYPECANT04||C|3|1||||||||Notifica preliminare di un cantiere in cui opera un'unica impresa…||||20/05/2016 16:25|
spisal.cantieri.notifica.05_V0|TYPECANT05|TYPECANT05||C|4|1||||||||Altro||||20/05/2016 16:25|
spisal.cantieri.ruolo_V0|RuoloInCantiere|RuoloInCantiere||S|0|1||||||||Ruolo in cantiere||||20/05/2016 17:02|
spisal.cantieri.ruolo.01_V0|RUOLOCANT01|RUOLOCANT01||C|0|1||||||||Responsabile lavori||||20/05/2016 17:03|
spisal.cantieri.ruolo.02_V0|RUOLOCANT02|RUOLOCANT02||C|0|1||||||||Coordinatore lavori durante progettazione||||20/05/2016 17:03|
spisal.cantieri.ruolo.03_V0|RUOLOCANT03|RUOLOCANT03||C|0|1||||||||Coordinatore lavori durante realizzazione||||20/05/2016 17:04|
spisal.cantieri.ruolo.04_V0|RUOLOCANT04|RUOLOCANT04|Usato nel PNC|C|0|1||||||||Committente||||11/07/2017 11:14|
spisal.cantieri.ruoloimp_V0|RuoloImpresa|RuoloImpresa||S|0|1||||||||Ruolo Impresa||||27/06/2016 11:35|
spisal.cantieri.ruoloimp.1_V0|RUOLOIMP1|RUOLOIMP1||C|0|1||||||||Impresa Affidataria||||27/06/2016 11:35|
spisal.cantieri.ruoloimp.2_V0|RUOLOIMP2|RUOLOIMP2||C|0|1||||||||Impresa Esecutrice||||27/06/2016 11:35|
spisal.cantieri.ruoloimp.3_V0|RUOLOIMP3|RUOLOIMP3||C|0|1||||||||Lavoratore Autonomo||||27/06/2016 11:35|
spisal.cantieri.ruoloimp.4_V0|RUOLOIMP4|RUOLOIMP4||C|0|1||||||||Fornitore||||27/06/2016 11:36|
spisal.cantieri.ruoloimp.5_V0|RUOLOIMP5|RUOLOIMP5||C|0|1||||||||Partecipe al cantiere||||11/10/2016 15:59|
spisal.cantieri.tipo_V0|tipo|TipoCantiere||S|0|1||||||||TipoCantiere||||05/11/2021 11:11|
spisal.cantieri.tipo.01_V0|01|Pubblico||C|0|1||||||||Pubblico||||05/11/2021 11:12|
spisal.cantieri.tipo.02_V0|02|Privato||C|0|1||||||||Privato||||05/11/2021 11:13|
spisal.cantieri.tipoinvio_V0|TipoInvio|TipoInvio||S|0|1||||||||TipoInvio||||09/11/2021 10:25|
spisal.cantieri.tipoinvio.01_V0|01|destinatario||C|0|1||||||||Destinatario||||09/11/2021 10:26|
spisal.cantieri.tipoinvio.02_V0|02|cc||C|0|1||||||||CC||||09/11/2021 10:27|
