#CODEVALUEMODEL=CodeValueLaw|CODESYSTEMID=Legge81|CODESYSTEMNAME=Legge81|CODESYSTEMDISPLAYNAME=Legge81|VERSION=0|DESCRIPTION=Legge 81|LANGUAGE=it|AUTHORITYNAME=Insiem Mercato SpA|AUTHORITYDESCRIPTION=Insiem Mercato SpA|AUTHORITYCONTACTINFORMATION=Insiem Mercato SpA|VALIDFROM=31/07/2013 12:00
ID SUFFIX|CODE|NAME|DESCRIPTION|ELEMENT TYPE|SEQUENCE NUMBER|STATUS|KEYWORDS|EXTENSION[Arresto]|EXTENSION[Classificazione]|EXTENSION[CodiceContravventore]|EXTENSION[Comma]|EXTENSION[Corpo]|EXTENSION[DescrizioneContravventore]|EXTENSION[ImportoMax]|EXTENSION[ImportoMin]|EXTENSION[Lettera]|EXTENSION[NotaContravventore]|EXTENSION[NotaPrescrizione]|EXTENSION[NotaViolazione]|EXTENSION[SanzionatoDa]|EXTENSION[Sanzione]|TRANSLATION[de]|TRANSLATION[en]|TRANSLATION[it]|VALID FROM|VALID TO
7639.10.1.27074|27074269|269 - 1 - a - Comunicazione|Comunicazione|C|0|1||arresto fino a tre mesi||DD|1|Il datore di lavoro che intende esercitare attività che comportano uso di agenti biologici dei gruppi 2 o 3, comunica all'organo di vigilanza territorialmente competente le seguenti informazioni, almeno trenta giorni prima dell'inizio dei lavori il nome e l'indirizzo dell'azienda e il suo titolare|Datori di lavoro e dirigenti|2192|876,8|a||||Articolo 282-2-b|ammenda da 876,8 a 2192 euro||||03/12/2013 16:29|
7639.10.1.27075|27075269|269 - 1 - b - Comunicazione|Comunicazione|C|0|1||arresto fino a tre mesi||DD|1|Il datore di lavoro che intende esercitare attività che comportano uso di agenti biologici dei gruppi 2 o 3, comunica all'organo di vigilanza territorialmente competente le seguenti informazioni, almeno trenta giorni prima dell'inizio dei lavori il documento di cui all' articolo 271, comma 5.|Datori di lavoro e dirigenti|2192|876,8|b||||Articolo 282-2-b|ammenda da 876,8 a 2192 euro||||03/12/2013 16:29|
7639.10.1.27076|27076269|269 - 2 -  - COMUNICAZIONE|COMUNICAZIONE|C|0|1||arresto fino a tre mesi||DD|2|Il datore di lavoro che è stato autorizzato all'esercizio di attività che comporta l'utilizzazione di un agente biologico del gruppo 4 è tenuto alla comunicazione di cui al comma 1.|Datori di lavoro e dirigenti|2192|876,8|||||Articolo 282-2-b|ammenda da 876,8 a 2192 euro||||03/12/2013 16:29|
7639.10.1.27077|27077269|269 - 3 -  - Comunicazione|Comunicazione|C|0|1||arresto fino a tre mesi||DD|3|Il datore di lavoro invia una nuova comunicazione ogni qualvolta si verificano nelle lavorazioni mutamenti che comportano una variazione significativa del rischio per la salute sul posto di lavoro, o, comunque, ogni qualvolta si intende utilizzare un nuovo agente classificato dal datore di lavoro in via provvisoria.|Datori di lavoro e dirigenti|2192|876,8|||||Articolo 282-2-b|ammenda da 876,8 a 2192 euro||||03/12/2013 16:29|
7639.10.1.27078|27078269|269 - 4 -  - COMUNICAZIONE|COMUNICAZIONE|C|0|1|||||4|Il rappresentante per la sicurezza ha accesso alle informazioni di cui al comma 1.|||||||||||||03/12/2013 16:29|
7639.10.1.27079|27079269|269 - 5 -  - COMUNICAZIONE|COMUNICAZIONE|C|0|1|||||5|Ove le attività di cui al comma 1 comportano la presenza di microrganismi geneticamente modificati, ai quali si applicano i livelli di contenimento 2, 3 e 4 individuati allegato IV del decreto legislativo 12 aprile 2001, n. 206, il documento di cui al comma 1, lettera b), è sostituito da copia della documentazione prevista per i singoli casi di specie dal predetto decreto.|||||||||||||03/12/2013 16:29|
7639.10.1.27080|27080269|269 - 6 -  - COMUNICAZIONE|COMUNICAZIONE|C|0|1|||||6|I laboratori che forniscono un servizio diagnostico sono tenuti alla comunicazione di cui al comma 1 anche per quanto riguarda gli agenti biologici del gruppo 4.|||||||||||||03/12/2013 16:29|
7639.10.1.27096|27096268|268 - 1 - a - Classificazione degli agenti biologici|Classificazione degli agenti biologici|C|0|1|||||1|Gli agenti biologici sono ripartiti nei seguenti quattro gruppi a seconda del rischio di infezione agente biologico del gruppo 1: un agente che presenta poche probabilità di causare malattie in soggetti umani||||a|||||||||03/12/2013 16:29|
7639.10.1.27097|27097268|268 - 1 - b - Classificazione degli agenti biologici|Classificazione degli agenti biologici|C|0|1|||||1|Gli agenti biologici sono ripartiti nei seguenti quattro gruppi a seconda del rischio di infezione agente biologico del gruppo 2: un agente che può causare malattie in soggetti umani e costituire un rischio per i lavoratori -  è poco probabile che si propaga nella comunità -  sono di norma disponibili efficaci misure profilattiche o terapeutiche||||b|||||||||03/12/2013 16:29|
7639.10.1.27098|27098268|268 - 1 - c - Classificazione degli agenti biologici|Classificazione degli agenti biologici|C|0|1|||||1|Gli agenti biologici sono ripartiti nei seguenti quattro gruppi a seconda del rischio di infezione agente biologico del gruppo 3: un agente che può causare malattie gravi in soggetti umani e costituisce un serio rischio per i lavoratori -  l'agente biologico può propagarsi nella comunità, ma di norma sono disponibili efficaci misure profilattiche o terapeutiche||||c|||||||||03/12/2013 16:29|
7639.10.1.27099|27099268|268 - 1 - d - Classificazione degli agenti biologici|Classificazione degli agenti biologici|C|0|1|||||1|Gli agenti biologici sono ripartiti nei seguenti quattro gruppi a seconda del rischio di infezione agente biologico del gruppo 4: un agente biologico che può provocare malattie gravi in soggetti umani e costituisce un serio rischio per i lavoratori e può presentare un elevato rischio di propagazione nella comunità -  non sono disponibili, di norma, efficaci misure profilattiche o terapeutiche||||d|||||||||03/12/2013 16:29|
7639.10.1.27228|27228268|268 - 2 -  - Classificazione degli agenti biologici|Classificazione degli agenti biologici|C|0|1|||||2|Nel caso in cui l'agente biologico oggetto di classificazione non può essere attribuito in modo inequivocabile ad uno fra i due gruppi sopraindicati, esso va classificato nel gruppo di rischio pi— elevato tra le due possibilità.|||||||||||||03/12/2013 16:29|
7639.10.1.27245|27245268|268 - 3 -  - Classificazione degli agenti biologici|Classificazione degli agenti biologici|C|0|1|||||3|L'allegato XLVI riporta l'elenco degli agenti biologici classificati nei gruppi 2, 3 e 4.|||||||||||||03/12/2013 16:29|
7639.10.1.27246|27246267|267 - 1 - a - Definizioni|Definizioni|C|0|1|||||1|Ai sensi del presente titolo s' intende per agente biologico: qualsiasi microrganismo anche se geneticamente modificato, coltura cellulare ed endoparassita umano che potrebbe provocare infezioni, allergie o intossicazioni||||a|||||||||03/12/2013 16:29|
7639.10.1.27247|27247267|267 - 1 - b - DEFINIZIONI|DEFINIZIONI|C|0|1|||||1|Ai sensi del presente titolo s' intende per microrganismo: qualsiasi entità microbiologica, cellulare o meno, in grado di riprodursi o trasferire materiale genetico||||b|||||||||03/12/2013 16:29|
7639.10.1.27248|27248267|267 - 1 - c - Definizioni|Definizioni|C|0|1|||||1|Ai sensi del presente titolo s' intende per coltura cellulare: il risultato della crescita in vitro di cellule derivate da organismi pluricellulari.||||c|||||||||03/12/2013 16:29|
7639.10.1.27249|27249266|266 - 1 -  - Campo di applicazione|Campo di applicazione|C|0|1|||||1|Le norme del presente titolo si applicano a tutte le attività lavorative nelle quali vi è rischio di esposizione ad agenti biologici.|||||||||||||03/12/2013 16:29|
7639.10.1.27250|27250266|266 - 2 -  - Campo di applicazione|Campo di applicazione|C|0|1|||||2|Restano ferme le disposizioni particolari di recepimento delle norme comunitarie sull'impiego confinato di microrganismi geneticamente modificati e sull'emissione deliberata nell'ambiente di organismi geneticamente modificati.|||||||||||||03/12/2013 16:29|
7639.10.2_V0|102|CAPO II - OBBLIGHI DEL DATORE DI LAVORO|CAPO II - OBBLIGHI DEL DATORE DI LAVORO|S|0|1||||||||||||||||||CAPO II - OBBLIGHI DEL DATORE DI LAVORO|10/11/2016 13:08|
7639.10.2.25871|25871278|278 - 1 - a - Informazioni e formazione|Informazioni e formazione|C|0|1||arresto da tre a sei mesi||DD|1|Nelle attività per le quali la valutazione di cui all'articolo 271 evidenzia rischi per la salute dei lavoratori, il datore di lavoro fornisce ai lavoratori, sulla base delle conoscenze disponibili, informazioni ed istruzioni, in particolare per quanto riguarda i rischi per la salute dovuti agli agenti biologici utilizzati .|Datori di lavoro e dirigenti|7014,4|2740|a||||Articolo 282-2-a|ammenda da 2740 a 7014,4 euro||||03/12/2013 16:29|
7639.10.2.25911|25911274|274 - 3 -  - Misure specifiche per strutture sanitarie e veterinarie|Misure specifiche per strutture sanitarie e veterinarie|C|0|1||arresto fino a due mesi||P|3|Nelle strutture di isolamento che ospitano pazienti od animali che sono, o potrebbero essere, contaminati da agenti biologici del gruppo 2, 3 o 4, le misure di contenimento da attuare per ridurre al minimo il rischio di infezione sono scelte tra quelle indicate nell'allegato XLVII in funzione delle modalità di trasmissione dell'agente biologico.|Preposti|1753,6|438,4|||||Articolo 283-1|ammenda da 438,4 a 1753,6 euro||||03/12/2013 16:29|
7639.10.2.25912|25912275|275 - 1 -  - Misure specifiche per i laboratori e gli tabulari|Misure specifiche per i laboratori e gli tabulari|C|0|1||arresto fino a due mesi||P|1|Fatto salvo quanto specificatamente previsto all'allegato XLVI, punto 6, nei laboratori comportanti l'uso di agenti biologici dei gruppi 2, 3 o 4 a fini di ricerca, didattici o diagnostici, e nei locali destinati ad animali da laboratorio deliberatamente contaminati con tali agenti, il datore di lavoro adotta idonee misure di contenimento in conformità all'allegato XLVII.|Preposti|1753,6|438,4|||||Articolo 283-1|ammenda da 438,4 a 1753,6 euro||||03/12/2013 16:29|
7639.10.2.25913|25913275|275 - 2 - a - Misure specifiche per i laboratori e gli tabulari|Misure specifiche per i laboratori e gli tabulari|C|0|1||arresto fino a due mesi||P|2|Il datore di lavoro assicura che l'uso di agenti biologici sia eseguito in aree di lavoro corrispondenti almeno al secondo livello di contenimento, se l'agente appartiene al gruppo 2.|Preposti|1753,6|438,4|a||||Articolo 283-1|ammenda da 438,4 a 1753,6 euro||||03/12/2013 16:29|
7639.10.2.25914|25914275|275 - 2 - b - Misure specifiche per i laboratori e gli tabulari|Misure specifiche per i laboratori e gli tabulari|C|0|1||arresto fino a due mesi||P|2|Il datore di lavoro assicura che l'uso di agenti biologici sia eseguito in aree di lavoro corrispondenti almeno al terzo livello di contenimento, se l'agente appartiene al gruppo 3|Preposti|1753,6|438,4|b||||Articolo 283-1|ammenda da 438,4 a 1753,6 euro||||03/12/2013 16:29|
7639.10.2.25915|25915275|275 - 2 - c - Misure specifiche per i laboratori e gli tabulari|Misure specifiche per i laboratori e gli tabulari|C|0|1||arresto fino a due mesi||P|2|Il datore di lavoro assicura che l'uso di agenti biologici sia eseguito in aree di lavoro corrispondenti almeno al quarto livello di contenimento, se l'agente appartiene al gruppo 4.|Preposti|1753,6|438,4|c||||Articolo 283-1|ammenda da 438,4 a 1753,6 euro||||03/12/2013 16:29|
7639.10.2.25916|25916275|275 - 3 -  - Misure specifiche per i laboratori e gli tabulari|Misure specifiche per i laboratori e gli tabulari|C|0|1||arresto fino a due mesi||P|3|Nei laboratori comportanti l'uso di materiali con possibile contaminazione da agenti biologici patogeni per l'uomo e nei locali destinati ad animali da esperimento, possibili portatori di tali agenti, il datore di lavoro adotta misure corrispondenti almeno a quelle del secondo livello di contenimento.|Preposti|1753,6|438,4|||||Articolo 283-1|ammenda da 438,4 a 1753,6 euro||||03/12/2013 16:29|
7639.10.2.25917|25917275|275 - 4 -  - Misure specifiche per i laboratori e gli tabulari|Misure specifiche per i laboratori e gli tabulari|C|0|1||arresto fino a due mesi||P|4|Nei luoghi di cui ai commi 1 e 3 in cui si fa uso di agenti biologici non ancora classificati, ma il cui uso può far sorgere un rischio grave per la salute dei lavoratori, il datore di lavoro adotta misure corrispondenti almeno a quelle del terzo livello di contenimento.|Preposti|1753,6|438,4|||||Articolo 283-1|ammenda da 438,4 a 1753,6 euro||||03/12/2013 16:29|
7639.10.2.25918|25918275|275 - 5 -  - Misure specifiche per i laboratori e gli tabulari|Misure specifiche per i laboratori e gli tabulari|C|0|1||arresto fino a due mesi||P|5|Per i luoghi di lavoro di cui ai commi 3 e 4, il Ministero del lavoro, della salute e delle politiche sociali, sentito l'Istituto superiore di sanità, può individuare misure di contenimento pi— elevate.|Preposti|1753,6|438,4|||||Articolo 283-1|ammenda da 438,4 a 1753,6 euro||||03/12/2013 16:29|
7639.10.2.25919|25919276|276 - 1 -  - Misure specifiche per i processi industriali|Misure specifiche per i processi industriali|C|0|1||arresto fino a due mesi||P|1|Fatto salvo quanto specificatamente previsto all'allegato XLVII, punto 6, nei processi industriali comportanti l'uso di agenti biologici dei gruppi 2, 3 e 4, il datore di lavoro adotta misure opportunamente scelte tra quelle elencate nell'allegato XLVIII, tenendo anche conto dei criteri di cui all'articolo 275.|Preposti|1753,6|438,4|||||Articolo 283-1|ammenda da 438,4 a 1753,6 euro||||03/12/2013 16:29|
7639.10.2.25920|25920276|276 - 2 -  - Misure specifiche per i processi industriali|Misure specifiche per i processi industriali|C|0|1||arresto fino a due mesi||P|2|Nel caso di agenti biologici non ancora classificati, il cui uso può far sorgere un rischio grave per la salute dei lavoratori, il datore di lavoro adotta misure corrispondenti almeno a quelle del terzo  livello di contenimento.|Preposti|1753,6|438,4|||||Articolo 283-1|ammenda da 438,4 a 1753,6 euro||||03/12/2013 16:29|
7639.10.2.25921|25921278|278 - 1 - a - Informazioni e formazione|Informazioni e formazione|C|0|1||arresto fino a due mesi||P|1|Nelle attività per le quali la valutazione di cui all'articolo 271 evidenzia rischi per la salute dei lavoratori, il datore di lavoro fornisce ai lavoratori, sulla base delle conoscenze disponibili, informazioni ed istruzioni, in particolare per quanto riguarda i rischi per la salute dovuti agli agenti biologici utilizzati .|Preposti|1753,6|438,4|a||||Articolo 283-1|ammenda da 438,4 a 1753,6 euro||||03/12/2013 16:29|
7639.10.2.25922|25922278|278 - 1 - b - Informazioni e formazione|Informazioni e formazione|C|0|1||arresto fino a due mesi||P|1|Nelle attività per le quali la valutazione di cui all'articolo 271 evidenzia rischi per la salute dei lavoratori, il datore di lavoro fornisce ai lavoratori, sulla base delle conoscenze disponibili, informazioni ed istruzioni, in particolare per quanto riguarda le precauzioni  da prendere per evitare l'esposizione.|Preposti|1753,6|438,4|b||||Articolo 283-1|ammenda da 438,4 a 1753,6 euro||||03/12/2013 16:29|
7639.10.2.25923|25923278|278 - 1 - c - Informazioni e formazione|Informazioni e formazione|C|0|1||arresto fino a due mesi||P|1|Nelle attività per le quali la valutazione di cui all'articolo 271 evidenzia rischi per la salute dei lavoratori, il datore di lavoro fornisce ai lavoratori, sulla base delle conoscenze disponibili, informazioni ed istruzioni, in particolare per quanto riguarda le misure igieniche da osservare.|Preposti|1753,6|438,4|c||||Articolo 283-1|ammenda da 438,4 a 1753,6 euro||||03/12/2013 16:29|
7639.10.2.25924|25924278|278 - 1 - d - Informazioni e formazione|Informazioni e formazione|C|0|1||arresto fino a due mesi||P|1|Nelle attività per le quali la valutazione di cui all'articolo 271 evidenzia rischi per la salute dei lavoratori, il datore di lavoro fornisce ai lavoratori, sulla base delle conoscenze disponibili, informazioni ed istruzioni, in particolare per quanto riguarda la funzione degli indumenti di lavoro e protettivi e dei dispositivi di protezione individuale ed il loro corretto impiego.|Preposti|1753,6|438,4|d||||Articolo 283-1|ammenda da 438,4 a 1753,6 euro||||03/12/2013 16:29|
7639.10.2.25925|25925278|278 - 1 - e - Informazioni e formazione|Informazioni e formazione|C|0|1||arresto fino a due mesi||P|1|Nelle attività per le quali la valutazione di cui all'articolo 271 evidenzia rischi per la salute dei lavoratori, il datore di lavoro fornisce ai lavoratori, sulla base delle conoscenze disponibili, informazioni ed istruzioni, in particolare per quanto riguarda le procedure da seguire per la manipolazione di agenti biologici del gruppo 4.|Preposti|1753,6|438,4|e||||Articolo 283-1|ammenda da 438,4 a 1753,6 euro||||03/12/2013 16:29|
7639.10.2.25926|25926278|278 - 1 - f - Informazioni e formazione|Informazioni e formazione|C|0|1||arresto fino a due mesi||P|1|Nelle attività per le quali la valutazione di cui all'articolo 271 evidenzia rischi per la salute dei lavoratori, il datore di lavoro fornisce ai lavoratori, sulla base delle conoscenze disponibili, informazioni ed istruzioni, in particolare per quanto riguarda il modo di prevenire il verificarsi di infortuni e le misure da adottare per ridurne al minimo le conseguenze.|Preposti|1753,6|438,4|f||||Articolo 283-1|ammenda da 438,4 a 1753,6 euro||||03/12/2013 16:29|
7639.10.2.26055|26055278|278 - 1 - b - Informazioni e formazione|Informazioni e formazione|C|0|1||arresto da tre a sei mesi||DD|1|Nelle attività per le quali la valutazione di cui all'articolo 271 evidenzia rischi per la salute dei lavoratori, il datore di lavoro fornisce ai lavoratori, sulla base delle conoscenze disponibili, informazioni ed istruzioni, in particolare per quanto riguarda le precauzioni  da prendere per evitare l'esposizione.|Datori di lavoro e dirigenti|7014,4|2740|b||||Articolo 282-2-a|ammenda da 2740 a 7014,4 euro||||03/12/2013 16:29|
7639.10.2.26056|26056278|278 - 1 - c - Informazioni e formazione|Informazioni e formazione|C|0|1||arresto da tre a sei mesi||DD|1|Nelle attività per le quali la valutazione di cui all'articolo 271 evidenzia rischi per la salute dei lavoratori, il datore di lavoro fornisce ai lavoratori, sulla base delle conoscenze disponibili, informazioni ed istruzioni, in particolare per quanto riguarda le misure igieniche da osservare.|Datori di lavoro e dirigenti|7014,4|2740|c||||Articolo 282-2-a|ammenda da 2740 a 7014,4 euro||||03/12/2013 16:29|
7639.10.2.26057|26057278|278 - 1 - d - Informazioni e formazione|Informazioni e formazione|C|0|1||arresto da tre a sei mesi||DD|1|Nelle attività per le quali la valutazione di cui all'articolo 271 evidenzia rischi per la salute dei lavoratori, il datore di lavoro fornisce ai lavoratori, sulla base delle conoscenze disponibili, informazioni ed istruzioni, in particolare per quanto riguarda la funzione degli indumenti di lavoro e protettivi e dei dispositivi di protezione individuale ed il loro corretto impiego.|Datori di lavoro e dirigenti|7014,4|2740|d||||Articolo 282-2-a|ammenda da 2740 a 7014,4 euro||||03/12/2013 16:29|
7639.10.2.26058|26058278|278 - 1 - e - Informazioni e formazione|Informazioni e formazione|C|0|1||arresto da tre a sei mesi||DD|1|Nelle attività per le quali la valutazione di cui all'articolo 271 evidenzia rischi per la salute dei lavoratori, il datore di lavoro fornisce ai lavoratori, sulla base delle conoscenze disponibili, informazioni ed istruzioni, in particolare per quanto riguarda le procedure da seguire per la manipolazione di agenti biologici del gruppo 4.|Datori di lavoro e dirigenti|7014,4|2740|e||||Articolo 282-2-a|ammenda da 2740 a 7014,4 euro||||03/12/2013 16:29|
7639.10.2.26059|26059278|278 - 1 - f - Informazioni e formazione|Informazioni e formazione|C|0|1||arresto da tre a sei mesi||DD|1|Nelle attività per le quali la valutazione di cui all'articolo 271 evidenzia rischi per la salute dei lavoratori, il datore di lavoro fornisce ai lavoratori, sulla base delle conoscenze disponibili, informazioni ed istruzioni, in particolare per quanto riguarda il modo di prevenire il verificarsi di infortuni e le misure da adottare per ridurne al minimo le conseguenze.|Datori di lavoro e dirigenti|7014,4|2740|f||||Articolo 282-2-a|ammenda da 2740 a 7014,4 euro||||03/12/2013 16:29|
7639.10.2.26060|26060278|278 - 2 -  - Informazioni e formazione|Informazioni e formazione|C|0|1||arresto da tre a sei mesi||DD|2|Il datore di lavoro assicura ai lavoratori una formazione adeguata in particolare in ordine a quanto indicato al comma 1.|Datori di lavoro e dirigenti|7014,4|2740|||||Articolo 282-2-a|ammenda da 2740 a 7014,4 euro||||03/12/2013 16:29|
7639.10.2.26061|26061278|278 - 3 -  - Informazioni e formazione|Informazioni e formazione|C|0|1||arresto da tre a sei mesi||DD|3|L'informazione e la formazione di cui ai commi 1 e 2 sono fornite prima che i lavoratori siano adibiti alle attività in questione, e ripetute, con frequenza almeno quinquennale, e comunque ogni qualvolta si verificano nelle lavorazioni cambiamenti che influiscono sulla natura e sul grado dei rischi.|Datori di lavoro e dirigenti|7014,4|2740|||||Articolo 282-2-a|ammenda da 2740 a 7014,4 euro||||03/12/2013 16:29|
7639.10.2.26062|26062278|278 - 4 -  - Informazioni e formazione|Informazioni e formazione|C|0|1||arresto da tre a sei mesi||DD|4|Nel luogo di lavoro sono apposti in posizione ben visibile cartelli su cui sono riportate le procedure da seguire in caso di infortunio od incidente.|Datori di lavoro e dirigenti|7014,4|2740|||||Articolo 282-2-a|ammenda da 2740 a 7014,4 euro||||03/12/2013 16:29|
7639.10.2.26063|26063277|277 - 1 -  - Misure di emergenza|Misure di emergenza|C|0|1||arresto fino a quindici giorni||L|1|Se si verificano incidenti che possono provocare la dispersione nell'ambiente di un agente biologico appartenente ai gruppi 2, 3 o 4, i lavoratori devono abbandonare immediatamente la zona interessata, cui possono accedere soltanto quelli addetti ai necessari interventi, con l'obbligo di usare gli idonei mezzi di protezione.|Lavoratori|438,4|109,6|||||Articolo 285-1-b|ammenda da 109,6 a 438,4 euro||||03/12/2013 16:29|
7639.10.2.26064|26064277|277 - 2 -  - Misure di emergenza|Misure di emergenza|C|0|1||arresto fino a tre mesi||DD|2|Il datore di lavoro informa al pi— presto l'organo di vigilanza territorialmente competente, nonch‚ i lavoratori ed il rappresentante per la sicurezza, dell'evento, delle cause che lo hanno determinato e delle misure che intende adottare, o che ha già adottato, per porre rimedio alla situazione creatasi.|Datori di lavoro e dirigenti|2192|876,8|||||Articolo 282-2-b|ammenda da 876,8 a 2192 euro||||03/12/2013 16:29|
7639.10.2.26065|26065277|277 - 3 -  - Misure di emergenza|Misure di emergenza|C|0|1||arresto fino a un mese||L|3|I lavoratori segnalano immediatamente al datore di lavoro o al dirigente o  al preposto, qualsiasi infortunio o incidente relativo all'uso di agenti biologici.|Lavoratori|876,8|328,8|||||Articolo 285-1-a|ammenda da 328,8 a 876,8 euro||||03/12/2013 16:29|
7639.10.2.26066|26066276|276 - 1 -  - Misure specifiche per i processi industriali|Misure specifiche per i processi industriali|C|0|1||arresto da tre a sei mesi||DD|1|Fatto salvo quanto specificatamente previsto all'allegato XLVII, punto 6, nei processi industriali comportanti l'uso di agenti biologici dei gruppi 2, 3 e 4, il datore di lavoro adotta misure opportunamente scelte tra quelle elencate nell'allegato XLVIII, tenendo anche conto dei criteri di cui all'articolo 275.|Datori di lavoro e dirigenti|7014,4|2740|||||Articolo 282-2-a|ammenda da 2740 a 7014,4 euro||||03/12/2013 16:29|
7639.10.2.26067|26067276|276 - 2 -  - Misure specifiche per i processi industriali|Misure specifiche per i processi industriali|C|0|1||arresto da tre a sei mesi||DD|2|Nel caso di agenti biologici non ancora classificati, il cui uso può far sorgere un rischio grave per la salute dei lavoratori, il datore di lavoro adotta misure corrispondenti almeno a quelle del terzo  livello di contenimento.|Datori di lavoro e dirigenti|7014,4|2740|||||Articolo 282-2-a|ammenda da 2740 a 7014,4 euro||||03/12/2013 16:29|
7639.10.2.26111|26111272|272 - 2 - l - Misure tecniche, organizzative, procedurali|Misure tecniche, organizzative, procedurali|C|0|1||arresto da tre a sei mesi||DD|2|In particolare, il datore di lavoro predispone i mezzi necessari per la raccolta, l'immagazzinamento e lo smaltimento dei rifiuti in condizioni di sicurezza, mediante l'impiego di contenitori adeguati ed identificabili eventualmente dopo idoneo trattamento dei rifiuti stessi.|Datori di lavoro e dirigenti|7014,4|2740|l||||Articolo 282-2-a|ammenda da 2740 a 7014,4 euro||||03/12/2013 16:29|
