CODE|NAME
08.01|INCISIONE DEL MARGINE PALPEBRALE. Incluso: Incisione di ascesso palpebrale
08.02|APERTURA DI BLEFARORRAFIA. Cantorrafia,Tarsorrafia
08.09|ALTRA INCISIONE DELLA PALBEBRA. Riapertura anchiloblefaron
08.11|BIOPSIA DELLA PALPEBRA.
08.21|ASPORTAZIONE DI CALAZIO.
08.22|ASPORTAZIONE DI ALTRA LESIONE MINORE DELLA PALPEBRA. Asportazione di verruca, papilloma, cisti, porro, condiloma. Inclus
08.23|ASPORTAZIONE DI LESIONE MAGGIORE DELLA PALPEBRA, NON A TUTTO SPESSORE. Asportazione che include un quarto o più del marg
08.24|ASPORTAZIONE DI LESIONE MAGGIORE DELLA PALPEBRA, A TUTTO SPESSORE. Asportazione che include un quarto o più del margine 
08.25|DEMOLIZIONE DI LESIONE DELLA PALPEBRA. Intervento per  blefarocalasi
08.38|CORREZIONE DI RETRAZIONE DELLA PALPEBRA. Se eventualmente effettuati sono inclusi: visita anestesiologica ed anestesia, 
08.41|RIPARAZIONE DI ENTROPION O ECTROPION CON TERMOCOAGULAZIONE.
08.42|RIPARAZIONE DI ENTROPION O ECTROPION CON TECNICA DI SUTURA.
08.43|RIPARAZIONE DI ENTROPION O ECTROPION CON RESEZIONE CUNEIFORME.
08.44|RIPARAZIONE DI ENTROPION O ECTROPION CON RICOSTRUZIONE DELLA PALPEBRA. Riparazione di ectropion con innesto o lembo
08.52|BLEFARORRAFIA. Cantorrafia, Tarsorrafia
08.6|RICOSTRUZIONE DELLA PALPEBRA CON LEMBO O INNESTO. Escluso: le ricostruzioni associate a riparazione di entropion o ectro
08.72|RICOSTRUZIONE DELLA PALPEBRA NON A TUTTO SPESSORE. Escluso codici: 08.44 e 08.6. Incluso visita anestesiologica, anestes
08.74|RICOSTRUZIONE DELLA PALPEBRA A TUTTO SPESSORE. Escluso codici: 08.44 e 08.6. Incluso visita anestesiologica, anestesia, 
08.81|RIPARAZIONE LINEARE DI LACERAZIONE DELLA PALPEBRA E DELLE SOPRACCIGLIA.
08.82|RIPARAZIONE DI LACERAZIONE DELLA PALPEBRA NON A TUTTO SPESSORE.
08.83|ALTRA RIPARAZIONE DI LACERAZIONE DELLA PALPEBRA, NON A TUTTO SPESSORE (LP)
08.84|RIPARAZIONE DI LACERAZIONE DELLA PALPEBRA A TUTTO SPESSORE.
08.91|DEPILAZIONE ELETTROCHIRURGICA DELLA PALPEBRA.
08.92|DEPILAZIONE CRIOCHIRURGICA DELLA PALPEBRA.
08.99.1|INFILTRAZIONE DI ANGIOMA PALPEBRALE.
09.0|INCISIONE DELLA GHIANDOLA LACRIMALE. Incisione di cisti lacrimale (con drenaggio)
09.11|BIOPSIA DELLA GHIANDOLA LACRIMALE.
09.12|BIOPSIA DEL SACCO LACRIMALE.
09.19|ANALISI DELLA SUPERFICIE OCULARE. [Test di Schimer, Break up time (BUT), esame con coloranti] Escluso: Dacriocistografia
09.21|ASPORTAZIONE DI LESIONE DELLA GHIANDOLA LACRIMALE. Escluso: Biopsia della ghiandola lacrimale (09.11)
09.41|SPECILLAZIONE DEL PUNTO LACRIMALE.
09.42|SPECILLAZIONE DEI CANALICOLI LACRIMALI. Sondaggio meccanico delle vie lacrimali. Incluso: Rimozione di calcolo, dilatazi
09.43|SPECILLAZIONE DEL DOTTO NASO-LACRIMALE. Incluso: Rimozione di calcolo, dilatazione
09.51|PLASTICA DEL PUNTO LACRIMALE.
09.52|INCISIONE DEI CANALICOLI LACRIMALI.
09.53|INCISIONE DEL SACCO LACRIMALE.
09.59|ALTRA INCISIONE DELLE VIE LACRIMALI. Incisione (drenaggio) di dotto nasolacrimale NAS
09.6|ASPORTAZIONE DEL SACCO E DELLE VIE LACRIMALI. Escluso: Biopsia del sacco lacrimale (09.12)
09.71|CORREZIONE DI EVERSIONE DEL PUNTO LACRIMALE.
09.73|PLASTICA O RIPARAZIONE DEI CANALICOLI LACRIMALI.
10.21|BIOPSIA DELLA CONGIUNTIVA.
10.31|ASPORTAZIONE/DEMOLIZIONE DI LESIONE O TESSUTO DELLA CONGIUNTIVA. Escluso asportazione pinguecola e biopsia della congiun
10.32|DEMOLIZIONE DI  LESIONE DELLA CONGIUNTIVA. Escluso: Asportazione di lesione (10.31), Termocauterizzazione per entropion 
10.33|ALTRI INTERVENTI DI DEMOLIZIONE DELLA CONGIUNTIVA. Rimozione di follicoli di tracoma
10.4|CONGIUNTIVOPLASTICA CON O SENZA INNESTO LIBERO.
10.6|RIPARAZIONE DI LACERAZIONE DELLA CONGIUNTIVA.
10.91|INIEZIONE SOTTOCONGIUNTIVALE.
11.31|ASPORTAZIONE / TRASPOSIZIONE DELLO PTERIGIUM
11.32|ASPORTAZIONE DELLO PTERIGIUM CON INNESTO DELLA CORNEA.
11.39|ALTRA ASPORTAZIONE DELLO PTERIGIUM
11.42|TERMOCAUTERIZZAZIONE DI LESIONI DELLA CORNEA.
11.43|CRIOTERAPIA DI LESIONE DELLA CORNEA.
11.75.1|CHIRURGIA INCISIONALE DELLA CORNEA PER ASTIGMATISMI.
11.91|TATUAGGIO DELLA CORNEA.
11.99.1|APPLICAZIONE TERAPEUTICA DI LENTE A CONTATTO
11.99.2|CORREZIONE DEI VIZI DI REFRAZIONE. Con laser a eccimeri (PRK) o con laser ad olmio
11.99.3|CORREZIONE DI ALTERAZIONI CORNEALI. Con laser a eccimeri (PTK)
11.99.4|INTERVENTO SULLA CORNEA CON UTILIZZO TESSUTO PRE TAGLIATO
11.99.5|IMPRINTING [CORNEO-CONGIUNTIVALE], [CROSS LINKING CORNEALE]. Incluso prima visita ed esami preoperatori di arruolamento,
12.14|IRIDECTOMIA. Iridectomia (basale) (periferica) (totale) (iridectomia mediante laser) Escluso: Iridectomia associata a: e
12.35.1|IRIDOPLASTICA
12.40|RIMOZIONE DI LESIONE DEL SEGMENTO ANTERIORE DELL'OCCHIO, NAS.
12.41|IRIDOTOMIA LASER. Escluso: iridectomia chirurgica (12.14)
12.64|TRABECULECTOMIA AB ESTERNO
12.72|CICLOCRIOTERAPIA
12.73|CICLOFOTOCOAGULAZIONE
12.79|ALTRI INTERVENTI PER GLAUCOMA
12.91|SVUOTAMENTO DIAGNOSTICO O TERAPEUTICO DELLA CAMERA ANTERIORE. Paracentesi della camera anteriore
13.19.1|INTERVENTO DI CATARATTA CON O SENZA IMPIANTO DI LENTE INTRAOCULARE. Se effettuati sono inclusi: visita anestesiologica, 
13.41|FACOEMULSIFICAZIONE ED ASPIRAZIONE DI CATARATTA
13.64|CAPSULOTOMIA YAG-LASER PER CATARATTA SECONDARIA. Separazione di membrana secondaria (dopo cataratta)
13.70.1|INSERZIONE DI CRISTALLINO ARTIFICIALE A SCOPO REFRATTIVO (in occhio fachico). Se effettuati sono inclusi: visita anestes
13.71|INSERZIONE DI CRISTALLINO ARTIFICIALE INTRAOCULARE AL MOMENTO DELL'ESTRAZIONE DI CATARATTA. Eseguita in contemporanea. S
13.72|IMPIANTO SECONDARIO DI CRISTALLINO ARTIFICIALE. Se effettuati sono inclusi: visita anestesiologica, anestesia, esami pre
13.8|RIMOZIONE DI CRISTALLINO ARTIFICIALE IMPIANTATO. Se effettuati sono inclusi: visita anestesiologica, anestesia, esami pr
14.22|DEMOLIZIONE DI LESIONE CORIORETINICA MEDIANTE CRIOTERAPIA.
14.31|RIPARAZIONE DI LACERAZIONE DELLA RETINA MEDIANTE DIATERMIA.
14.32|RIPARAZIONE DI LACERAZIONE DELLA RETINA MEDIANTE CRIOTERAPIA.
14.35.1|FOTOCOAGULAZIONE CON LASER PER LACERAZIONE DI RETINA, VASCULOPATIE E MACULOPATIE - La prestazione sostituisce cod. 14.33
14.59.1|PNEUMORETINOPESSIA.
14.72|ALTRA RIMOZIONE DEL CORPO VITREO
14.73|VITRECTOMIA MECCANICA PER VIA ANTERIORE
14.74|ALTRA VITRECTOMIA MECCANICA
14.75|INIEZIONE INTRAVITREALE DI SOSTANZE TERAPEUTICHE.  Incluso eventuali esami preoperatori di arruolamento, intervento, OCT
16.22|AGOBIOPSIA ORBITARIA.
16.91|INIEZIONE RETROBULBARE DI SOSTANZE TERAPEUTICHE. Escluso: Iniezione di sostanza per contrasto radiografico, Iniezione ot
18.02|INCISIONE DEL CANALE UDITIVO ESTERNO E DEL PADIGLIONE AURICOLARE. Escluso: Rimozione di corpo estraneo intraluminale (98
18.12|BIOPSIA DELL'ORECCHIO ESTERNO.
18.29|ASPORTAZIONE O DEMOLIZIONE DI LESIONE DELL'ORECCHIO ESTERNO. Cauterizzazione Coagulazione Criochirurgia Curettage Elettr
20.0|MIRINGOTOMIA
20.31|ELETTROCOCLEOGRAFIA
20.32.1|BIOPSIA DELL'ORECCHIO MEDIO
20.39.1|EMISSIONI OTOACUSTICHE
20.8|INTERVENTI SULLA TUBA DI EUSTACHIO. Cateterismo, Insufflazione (acido borico, acido salicilico), Intubazione, Politzeriz
21.01|CONTROLLO DI EPISTASSI MEDIANTE TAMPONAMENTO NASALE ANTERIORE.
21.02|CONTROLLO DI EPISTASSI MEDIANTE TAMPONAMENTO NASALE POSTERIORE (E ANTERIORE).
21.03|CONTROLLO DI EPISTASSI MEDIANTE CAUTERIZZAZIONE E TAMPONAMENTO. (Cura completa)
21.22|BIOPSIA DEL NASO
21.31|ASPORTAZIONE O DEMOLIZIONE LOCALE DI LESIONE INTRANASALE.
21.71|RIDUZIONE CHIUSA DI FRATTURA NASALE NON A CIELO APERTO. Incluso: Contenzione e sua rimozione
21.91|LISI DI ADERENZE DEL NASO. Sinechia nasale
22.01|PUNTURA DEI SENI NASALI PER ASPIRAZIONE O LAVAGGIO. Drenaggio mascellare per via diameatica
22.71|CHIUSURA DI FISTOLA OROANTRALE. Chiusura di fistola del seno nasale Generalità popolazione
23.01|ESTRAZIONE DI DENTE DECIDUO. Incluso: Anestesia Generalità popolazione
23.09|ESTRAZIONE DI DENTE PERMANENTE. Estrazione di altro dente NAS Incluso: Anestesia.
23.11|ESTRAZIONE DI RADICE RESIDUA. Incluso: Anestesia.
23.19|ALTRA ESTRAZIONE CHIRURGICA DI DENTE. Odontectomia NAS, rimozione di dente incluso, allacciamento di dente incluso, germ
23.20.1|RICOSTRUZIONE DI DENTE MEDIANTE OTTURAZIONE. Fino a due superfici Incluso: Otturazione carie, Otturazione carie con inca
23.20.2|RICOSTRUZIONE DI DENTE MEDIANTE OTTURAZIONE. A tre o più superfici e/o applicazione di perno endocanalare Incluso: Ottur
23.20.3|OTTURAZIONE DENTARIA PROVVISORIA CON CEMENTI TEMPORANEI DI CARIE.
23.3|RICOSTRUZIONE DI DENTE MEDIANTE INTARSIO. Ricostruzione di dente fratturato
23.41|APPLICAZIONE DI CORONA. Trattamento per applicazione di corona a giacca in resina
23.41.1|APPLICAZIONE DI CORONA IN LEGA AUREA. Trattamento per applicazione di corona faccettata in lega aurea e resina o di coro
23.41.2|ALTRA APPLICAZIONE DI CORONA. Trattamento per applicazione di corona a giacca in porcellana o di corona faccettata (Wene
23.41.3|APPLICAZIONE DI CORONA E PERNO. Trattamento per applicazione di corona a giacca in resina o oro resina con perno moncone
23.41.4|ALTRA APPLICAZIONE DI CORONA E PERNO. Trattamento per applicazione di corona a giacca in porcellana o oro porcellana  co
23.42|INSERZIONE DI PONTE FISSO. Trattamento per applicazione di elemento fuso in lega aurea, oro resina o oro porcellana  e/o
23.43.1|INSERZIONE DI PROTESI RIMOVIBILE. Trattamento per applicazione protesi rimovibile completa  (Per arcata)
23.43.2|ALTRA INSERZIONE DI PROTESI RIMOVIBILE. Trattamento per applicazione protesi rimovibile parziale [protesi scheletrata in
23.43.3|INSERZIONE DI PROTESI PROVVISORIA. Rimovibile o fissa (Per elemento)
23.43.6|PLACCA DI SVINCOLO PLACCA DI RIPOSIZIONAMENTO MANDIBOLARE.
23.43.7|CONFEZIONAMENTO MODELLO ARCATE DENTARIE.
23.49.1|ALTRA RIPARAZIONE DENTARIA. Molaggio selettivo dei denti (Per seduta) In caso di sindrome algica e disfunzionale dell'AT
23.5|IMPIANTO DI DENTE. Reimpianto di elementi dentari lussati o avulsi
23.6|IMPIANTO DI PROTESI DENTARIA. Impianto dentale endoosseo.
23.71.1|TERAPIA CANALARE IN DENTE MONORADICOLATO. Trattamento o pulpotomia  Escluso: Otturazione (23.20.1, 23.20.2)
23.71.2|TERAPIA CANALARE IN DENTE PLURIRADICOLATO. Trattamento o pulpotomia  Escluso: Otturazione (23.20.1, 23.20.2)
23.71.3|MEDICAZIONI INTERMEDIE NELLE CURE CANALARI. 
23.73|APICECTOMIA. Incluso: Otturazione retrograda
24.00.1|GENGIVECTOMIA. (Per gruppo di 4 denti) Incluso: Innesto libero o peduncolato
24.11|BIOPSIA DELLA GENGIVA
24.12|BIOPSIA DELL'ALVEOLO
24.20.1|GENGIVOPLASTICA [CHIRURGIA PARODONTALE]. Lembo di Widman modificato con levigatura radici e curettage tasche infraossee,
24.31|ASPORTAZIONE DI LESIONE O TESSUTO DELLA GENGIVA. Asportazione di epulidi  Escluso: Biopsia della gengiva (24.11), Asport
24.39.1|LEVIGATURA DELLE RADICI. Levigatura di radici e/o curettage delle tasche parodontali a cielo coperto (Per sestante)
24.39.2|INTERVENTO CHIRURGICO PREPROTESICO. Incluso alveoloplastica. Per emiarcata
24.4|ASPORTAZIONE DI LESIONE ODONTOGENICA DEI MASCELLARI.
24.70.1|TRATTAMENTO ORTODONTICO CON APPARECCHI MOBILI(Per anno). La tariffa si riferisce al solo trattamento mentre il costo del
24.70.2|TRATTAMENTO ORTODONTICO CON APPARECCHI FISSI(Per anno ). La tariffa si riferisce al solo trattamento mentre il costo del
24.70.3|TRATTAMENTO ORTODONTICO CON APPARECCHI ORTOPEDICO FUNZIONALI Incluso: Trattamento con placca di svincolo  (Per anno). La
24.80.1|RIPARAZIONE DI APPARECCHIO ORTODONTICO
24.80.2|RIMOZIONE FERULE O DI BRACKETS ORTODONTICI
25.01|BIOPSIA [AGOBIOPSIA] DELLA LINGUA
25.91|FRENULOTOMIA E FRENULECTOMIA.. Escluso: Frenulotomia labiale (27.91)
25.92|FRENULOCTOMIA LINGUALE. Escluso: Frenulectomia labiale (27.41)
26.0|INCISIONE DELLE GHIANDOLE O DOTTI SALIVARI. Asportazione di calcoli del dotto salivare
26.11|BIOPSIA [AGOBIOPSIA] DI GHIANDOLA O DOTTO SALIVARE.
26.91|SPECILLAZIONE DI DOTTO SALIVARE
27.21|BIOPSIA DEL PALATO OSSEO
27.23|BIOPSIA DEL LABBRO
27.24|BIOPSIA DEL CAVO ORALE. Esclusa biopsia del labbro e delle ghiandole salivari
27.31|ASPORTAZIONE O DEMOLIZIONE LOCALE DI LESIONI O TESSUTO DEL PALATO OSSEO.
27.41|FRENULECTOMIA LABIALE. Escluso: Sezione del frenulo labiale (27.91)
27.43|ASPORTAZIONE DI LESIONE O NEOFORMAZIONE DEL LABBRO.
27.49.1|ASPORTAZIONE DI LESIONE O NEOFORMAZIONE DEL CAVO ORALE.
27.51|SUTURA DI LACERAZIONE DEL LABBRO
27.52|SUTURA DI LACERAZIONE DI ALTRA PARTE DELLA BOCCA.
27.71|INCISIONE DELL' UGOLA
27.72|ASPORTAZIONE DELL'UGOLA
27.79.1|ALTRI INTERVENTI CONSERVATIVI DELL'UGOLA. Escluso riparazioni
27.91|FRENULOTOMIA LABIALE. Sezione del frenulo labiale Escluso: Frenulotomia linguale (25.91)
28.00.1|INCISIONE E DRENAGGIO ASCESSO PERITONSILLARE.
29.12|BIOPSIA FARINGEA
29.19.1|VIDEOENDOSCOPIA DELLE VIE AEREE E DIGESTIVE SUPERIORI (VADS).
31.42|LARINGOSCOPIA E ALTRA TRACHEOSCOPIA. Laringoscopia a fibre ottiche
31.42.1|LARINGOSCOPIA INDIRETTA. Incluso: Anestesia
31.42.2|LARINGOSTROBOSCOPIA
31.43|BIOPSIA DELLA LARINGE. In laringoscopia indiretta o con fibre ottiche Incluso: Anestesia
31.48.1|ESAME ELETTROGLOTTOGRAFICO
31.48.2|ANALISI STRUMENTALE DELLA VOCE
31.93.1|SOSTITUZIONE PROTESI FONIATORIA. Escluso protesi
31.94.1|INIEZIONE SOSTANZE ISPESSENTI NELLA PARETE FISTOLA TRACHEO-ESOFAGEA.
33.22|BRONCOSCOPIA [fibre-ottiche-autofluorescenza-Ebus]. Tracheobroncoscopia esplorativa
33.24|BRONCOSCOPIA CON PRELIEVO BRONCHIALE. con: biopsia bronchiale brushing, washing BAL
34.04.1|POSIZIONAMENTO DI DRENAGGIO PLEURICO
34.24|BIOPSIA DELLA PLEURA. Biopsia con ago sottile
34.91|TORACENTESI.
34.92|INIEZIONE NELLA CAVITA' TORACICA. Pleurodesi chimica, iniezione di agente citotossico o tetraciclina E' richiesto un cod
38.22|ANGIOSCOPIA PERCUTANEA
38.22.1|CAPILLAROSCOPIA CON VIDEOREGISTRAZIONE. Escluso: Angioscopia dell' occhio (95.12)
38.50.1|LEGATURA VENA PERFORANTE INCONTINENTE.
38.59|LEGATURA E STRIPPING DI VENE VARICOSE DELL'ARTO INFERIORE.  Stripping della femorale poplitea, safena, tibiale se eventu
38.59.1|MINISTRIPPING DI VENE VARICOSE DELL' ARTO INFERIORE. Stripping delle collaterali se effettuati sono inclusi: visita anes
38.59.2|INTERVENTI ENDOVASCOLARI SULLE VARICI ESEGUITI CON TECNICA LASER. se effettuati sono inclusi: visita anestesiologica, an
38.93.1|CATETERISMO VENOSO PER NUTRIZIONE PARENTERALE.
38.94|POSIZIONAMENTO DI CATETERE VENOSO CENTRALE O DI DOPPIO CATETERE GIUGULARE O FEMORALE [Catetere a permanenza, con pompa d
38.94.1|INSERZIONE DI CATETERE VENOSO CENTRALE CON ACCESSO CHIRURGICO. Incluso radiografia di controllo
38.94.2|INSERZIONE DI CATETERE VENOSO CENTRALE PER VIA PERCUTANEA. Incluso radiografia di controllo
38.94.F|RIMOZIONE DI CVC.
38.95|CATETERISMO VENOSO PER DIALISI RENALE. Singolo o doppio
38.98|PUNTURA DI ARTERIA. Iniezione endoarteriosa Escluso: Puntura per arteriografia coronarica, Arteriografia (88.42.1-88.48)
38.99.1|INIEZIONE DI MEZZO DI CONTRASTO PER SIMULAZIONE RADIOTERAPICA TC.
38.99.2|INIEZIONE DI MEZZO DI CONTRASTO PER SIMULAZIONE RADIOTERAPICA RM.
39.27|CONFEZIONAMENTO DI FISTOLA PERIFERICA ARTEROVENOSA PER DIALISI RENALE.
39.27.1|CONFEZIONAMENTO DI FISTOLA PROSSIMALE ARTEROVENOSA PER DIALISI RENALE.
39.42|REVISIONE DI FISTOLA PERIFERICA/PROSSIMALE ARTEROVENOSA PER DIALISI RENALE.
39.43|CHIUSURA DI FISTOLA PERIFERICA/PROSSIMALE ARTEROVENOSA PER DIALISI RENALE.
39.92.1|INIEZIONE INTRAVENOSA DI SOSTANZE SCLEROSANTI -  La prestazione sostituisce cod. 39.92. Escluso: Alcolizzazioni,  Iniezi
39.92.2|INIEZIONE INTRAVENOSA ECO/FLEBOGUIDATA DI SOSTANZE SCLEROSANTI - La prestazione sostituisce cod. 39.92. Escluso alcolizz
39.95.1|EMODIALISI IN ACETATO O IN BICARBONATO Incluso: verifica dell'adesione al trattamento conservativo (dietetico e farmacol
39.95.2|EMODIALISI IN BICARBONATO E MEMBRANE MOLTO BIO COMPATIBILI, AD ASSISTENZA LIMITATA  Incluso: verifica dell'adesione al t
39.95.3|EMODIALISI IN ACETATO O IN BICARBONATO, DOMICILIARE  Incluso: verifica dell'adesione al trattamento conservativo (dietet
39.95.4|EMODIALISI IN BICARBONATO E MEMBRANE MOLTO BIOCOMPATIBILI Incluso: verifica dell'adesione al trattamento conservativo (d
39.95.6|EMODIAFILTRAZIONE AD ASSISTENZA LIMITATA Biofiltrazione senza acetato Biofiltrazione Emodiafiltrazione con membrane a pe
39.95.7|ALTRA EMODIAFILTRAZIONE Con membrane a permeabilita' elevata e molto biocompatibili Incluso: verifica dell'adesione al t
39.95.8|EMOFILTRAZIONE Incluso: verifica dell'adesione al trattamento conservativo (dietetico e farmacologico),sostitutivo (adeg
39.95.9|EMODIALISI - EMOFILTRAZIONE Tecnica mista.Incluso: verifica dell'adesione al trattamento conservativo (dietetico e farma
39.99.1|VALUTAZIONE DEL RICIRCOLO DI FISTOLA ARTEROVENOSA.
40.11|BIOPSIA DI STRUTTURE LINFATICHE. Biopsia di linfonodi cervicali, sopraclaveari o prescalenici Biopsia di linfonodi ascel
40.19.1|AGOBIOPSIA LINFONODALE ECO-GUIDATA.
40.19.2|AGOBIOPSIA LINFONODALE TC-GUIDATA.
41.31|BIOPSIA [AGOBIOPSIA] DEL MIDOLLO OSSEO.
42.24|BIOPSIA [ENDOSCOPICA] DELL' ESOFAGO. Brushing o washing per raccolta di campione Esofagoscopia con biopsia Biopsia aspir
42.29.1|TEST DI BERNSTEIN.
42.29.2|pH METRIA ESOFAGEA (24 ORE).
42.33.1|ASPORTAZIONE O DEMOLIZIONE ENDOSCOPICA DI LESIONE O TESSUTO ESOFAGEO. Per via endoscopica:  polipectomia esofagea di uno
42.33.2|ASPORTAZIONE  DI LESIONE O TESSUTO ESOFAGEO O RICANALIZZAZIONE ENDOSCOPICA. Mediante laser o Argon Plasma - Incluso EGDS
42.33.3|SCLEROTERAPIA DI VARICI ESOFAGEE IN CORSO DI EGDS (45.13).
42.92.1|DILATAZIONE DELL'ESOFAGO. Incluso: EGDS (cod. 45.13)
43.11|GASTROSTOMIA PERCUTANEA ENDOSCOPICA PEG. Incluso: Visita anestesiologica ed anestesia, esami pre intervento, intervento,
43.11.1|SOSTITUZIONE GASTROSTOMIA E/O DIGIUNOSTOMIA PERCUTANEA.
43.41.1|ASPORTAZIONE O DEMOLIZIONE LOCALE DI LESIONE O TESSUTO DELLO STOMACO PER VIA ENDOSCOPICA. Polipectomia gastrica di uno o
43.41.2|ASPORTAZIONE O DEMOLIZIONE LOCALE DI LESIONE O TESSUTO DELLO STOMACO PER VIA ENDOSCOPICA.
44.14|BIOPSIA DELLO STOMACO IN CORSO DI EGDS. Brushing o washing per prelievo di campione Escluso: Esofagogastroduodenoscopia 
44.14.1|BIOPSIA TRANSPARIETALE [ECOENDOSCOPICA] ESOFAGOGASTRODUODENALE. Non associabile a: 45.13
44.19.1|SONDAGGIO GASTRICO FRAZIONATO. Con stimolazione  Escluso: Lavanda gastrica, Esame istologico di campione dello stomaco, 
44.19.2|BREATH TEST PER HELYCOBACTER PYLORI (UREA C13). Compresa somministrazione Urea C13
44.19.3|ECOENDOSCOPIA ESOFAGOGASTRODUODENALE. Non associabile a 45.13, 44.14.1
44.22.1|DILATAZIONE ENDOSCOPICA DELLO STOMACO, DEL PILORO. Incluso: EGDS (45.13)
44.93.1|POSIZIONAMENTO DI PALLONE INTRAGASTRICO
44.94.1|RIMOZIONE DI PALLONE INTRAGASTRICO
45.13|ESOFAGOGASTRODUODENOSCOPIA [EGD]. Endoscopia dell' intestino tenue Escluso: Endoscopia con biopsia (45.14-45.16)
45.13.1|ENTEROSCOPIA CON MICROCAMERA INGERIBILE. Nei casi di sanguinamento occulto, sospetta m.di Crohn digiuno-ileale (con altr
45.13.2|ENTEROSCOPIA PER VIA ANTEROGRADA.
45.13.3|ENTEROSCOPIA PER VIA ANTEROGRADA CON BIOPSIA.
45.14|BIOPSIA [ENDOSCOPICA] DELL' INTESTINO TENUE. Brushing o washing per prelievo di campione Escluso: Esofagogastroduodenosc
45.16|ESOFAGOGASTRODUODENOSCOPIA [EGD] CON BIOPSIA. Biopsia di una o più sedi di esofago, stomaco e duodeno
45.23|COLONSCOPIA CON ENDOSCOPIO FLESSIBILE. Escluso: Colonscopia transaddominale o attraverso stoma artificiale, Sigmoidoscop
45.23.1|ILEOCOLONSCOPIA RETROGRADA.
45.24|RETTO-SIGMOIDOSCOPIA CON ENDOSCOPIO FLESSIBILE. Endoscopia del colon discendente Escluso: Proctosigmoidoscopia con endos
45.25|PANCOLONSCOPIA CON BIOPSIA. Biopsia di sedi intestinali aspecifiche Brushing o washing per prelievo di campione. Escluso
45.25.1|BIOPSIA  IN SEDE MULTIPLA DELL' INTESTINO CRASSO IN CORSO DI COLONSCOPIA TOTALE CON TUBO FLESSIBILE. Brushing e/o washin
