#CODEVALUEMODEL=CodeValueIcd9|CODESYSTEMID=2.16.840.1.113883.6.103|CODESYSTEMNAME=ICD9DIAG|CODESYSTEMDISPLAYNAME=ICD9DIAG|VERSION=0|DESCRIPTION=ICD9DIAG|LANGUAGE=it|AUTHORITYNAME=Insiel Mercato|AUTHORITYDESCRIPTION=Insiel Mercato|AUTHORITYCONTACTINFORMATION=Insiel Mercato|VALIDFROM=23/01/2013 10:03||||
ID SUFFIX|CODE|NAME|DESCRIPTION|ELEMENT TYPE|SEQUENCE NUMBER|STATUS|KEYWORDS|EXTENSION[classification]|TRANSLATION[de]|TRANSLATION[en]|TRANSLATION[it]|RELATION[CodeValuePhi]|VALID FROM|VALID TO
01.010.1.1_V0|010.11|010.11|Pleurite tubercolare in tubercolosi primaria progressiva, esame batteriologico o istologico non effettuato|C|0|1|||||Pleurite tubercolare in tubercolosi primaria progressiva, esame batteriologico o istologico non effettuato||22/04/2010 17:44|
01.010.1.2_V0|010.12|010.12|Pleurite tubercolare in tubercolosi primaria progressiva, risultato dell’esame batteriologico o istologico non conosciuto (allo stato attuale)|C|0|1|||||Pleurite tubercolare in tubercolosi primaria progressiva, risultato dell’esame batteriologico o istologico non conosciuto (allo stato attuale)||22/04/2010 17:44|
01.010.1.3_V0|010.13|010.13|Pleurite tubercolare in tubercolosi primaria progressiva, esame microscopico dell’espettorato positivo|C|0|1|||||Pleurite tubercolare in tubercolosi primaria progressiva, esame microscopico dell’espettorato positivo||22/04/2010 17:44|
01.010.1.4_V0|010.14|010.14|Pleurite tubercolare in tubercolosi primaria progressiva, esame microscopico dell’espettorato negativo, ma con esame colturale positivo|C|0|1|||||Pleurite tubercolare in tubercolosi primaria progressiva, esame microscopico dell’espettorato negativo, ma con esame colturale positivo||22/04/2010 17:44|
01.010.1.5_V0|010.15|010.15|Pleurite tubercolare in tubercolosi primaria progressiva, esame batteriologico negativo, ma tubercolosi confermata istologicamente|C|0|1|||||Pleurite tubercolare in tubercolosi primaria progressiva, esame batteriologico negativo, ma tubercolosi confermata istologicamente||22/04/2010 17:44|
01.010.1.6_V0|010.16|010.16|Pleurite tubercolare in tubercolosi primaria progressiva, esame batteriologico o istologico negativo, ma tubercolosi confermata in laboratorio con altri metodi|C|0|1|||||Pleurite tubercolare in tubercolosi primaria progressiva, esame batteriologico o istologico negativo, ma tubercolosi confermata in laboratorio con altri metodi||22/04/2010 17:44|
01.010.8_V0|010.8|010.8|Altre forme di tubercolosi primaria progressiva|S|0|1|||||Altre forme di tubercolosi primaria progressiva||22/04/2010 17:44|
01.010.8.0_V0|010.80|010.80|Altre forme di tubercolosi primaria progressiva, non specificata|C|0|1|||||Altre forme di tubercolosi primaria progressiva, non specificata||22/04/2010 17:44|
01.010.8.1_V0|010.81|010.81|Altre forme di tubercolosi primaria progressiva, esame batteriologico o istologico non effettuato|C|0|1|||||Altre forme di tubercolosi primaria progressiva, esame batteriologico o istologico non effettuato||22/04/2010 17:44|
01.010.8.2_V0|010.82|010.82|Altre forme di tubercolosi primaria progressiva, risultato dell’esame batteriologico o istologico non conosciuto (allo stato attuale)|C|0|1|||||Altre forme di tubercolosi primaria progressiva, risultato dell’esame batteriologico o istologico non conosciuto (allo stato attuale)||22/04/2010 17:44|
01.010.8.3_V0|010.83|010.83|Altre forme di tubercolosi primaria progressiva, esame microscopico dell’espettorato positivo|C|0|1|||||Altre forme di tubercolosi primaria progressiva, esame microscopico dell’espettorato positivo||22/04/2010 17:44|
01.010.8.4_V0|010.84|010.84|Altre forme di tubercolosi primaria progressiva, esame microscopico dell’espettorato negativo, ma con esame colturale positivo|C|0|1|||||Altre forme di tubercolosi primaria progressiva, esame microscopico dell’espettorato negativo, ma con esame colturale positivo||22/04/2010 17:44|
01.010.8.5_V0|010.85|010.85|Altre forme di tubercolosi primaria progressiva, esame batteriologico negativo, ma tubercolosi confermata istologicamente|C|0|1|||||Altre forme di tubercolosi primaria progressiva, esame batteriologico negativo, ma tubercolosi confermata istologicamente||22/04/2010 17:44|
01.010.8.6_V0|010.86|010.86|Altre forme di tubercolosi primaria progressiva, esami batteriologici o istologici negativi, ma tubercolosi confermata in laboratorio con altri metodi|C|0|1|||||Altre forme di tubercolosi primaria progressiva, esami batteriologici o istologici negativi, ma tubercolosi confermata in laboratorio con altri metodi||22/04/2010 17:44|
01.010.9_V0|010.9|010.9|Infezione tubercolare primaria, non specificata|S|0|1|||||Infezione tubercolare primaria, non specificata||22/04/2010 17:44|
01.010.9.0_V0|010.90|010.90|Infezione tubercolare primaria, non specificata|C|0|1|||||Infezione tubercolare primaria, non specificata||22/04/2010 17:44|
01.010.9.1_V0|010.91|010.91|Infezione tubercolare primaria, non specificata, esame batteriologico o istologico non effettuato|C|0|1|||||Infezione tubercolare primaria, non specificata, esame batteriologico o istologico non effettuato||22/04/2010 17:44|
01.010.9.2_V0|010.92|010.92|Infezione tubercolare primaria, non specificata, risultato dell’esame batteriologico o istologico non conosciuto (allo stato attuale)|C|0|1|||||Infezione tubercolare primaria, non specificata, risultato dell’esame batteriologico o istologico non conosciuto (allo stato attuale)||22/04/2010 17:44|
01.010.9.3_V0|010.93|010.93|Infezione tubercolare primaria, non specificata, esame microscopico dell’espettorato positivo|C|0|1|||||Infezione tubercolare primaria, non specificata, esame microscopico dell’espettorato positivo||22/04/2010 17:44|
01.010.9.4_V0|010.94|010.94|Infezione tubercolare primaria, non specificata, esame microscopico dell’espettorato negativo, ma con esame colturale positivo|C|0|1|||||Infezione tubercolare primaria, non specificata, esame microscopico dell’espettorato negativo, ma con esame colturale positivo||22/04/2010 17:44|
01.010.9.5_V0|010.95|010.95|Infezione tubercolare primaria, non specificata, esame batteriologico negativo, ma tubercolosi confermata istologicamente|C|0|1|||||Infezione tubercolare primaria, non specificata, esame batteriologico negativo, ma tubercolosi confermata istologicamente||22/04/2010 17:44|
01.010.9.6_V0|010.96|010.96|Infezione tubercolare primaria, non specificata, esami batteriologici o istologici negativi, ma tubercolosi confermata in laboratorio con altri metodi|C|0|1|||||Infezione tubercolare primaria, non specificata, esami batteriologici o istologici negativi, ma tubercolosi confermata in laboratorio con altri metodi||22/04/2010 17:44|
01.011_V0|011|011|Tubercolosi polmonare|S|0|1|||||Tubercolosi polmonare||22/04/2010 17:44|
01.011.0_V0|011.0|011.0|Tubercolosi del polmone infiltrativa|S|0|1|||||Tubercolosi del polmone infiltrativa||22/04/2010 17:44|
01.011.0.0_V0|011.00|011.00|Tubercolosi del polmone infiltrativa, non specificata|C|0|1|||||Tubercolosi del polmone infiltrativa, non specificata||22/04/2010 17:44|
01.011.0.1_V0|011.01|011.01|Tubercolosi del polmone infiltrativa, esame batteriologico o istologico non effettuato|C|0|1|||||Tubercolosi del polmone infiltrativa, esame batteriologico o istologico non effettuato||22/04/2010 17:44|
01.011.0.2_V0|011.02|011.02|Tubercolosi del polmone infiltrativa, risultato dell’esame batteriologico o istologico non conosciuto (allo stato attuale)|C|0|1|||||Tubercolosi del polmone infiltrativa, risultato dell’esame batteriologico o istologico non conosciuto (allo stato attuale)||22/04/2010 17:44|
01.011.0.3_V0|011.03|011.03|Tubercolosi del polmone infiltrativa, esame microscopico dell’espettorato positivo|C|0|1|||||Tubercolosi del polmone infiltrativa, esame microscopico dell’espettorato positivo||22/04/2010 17:44|
01.011.0.4_V0|011.04|011.04|Tubercolosi del polmone infiltrativa, esame microscopico dell’espettorato negativo, ma con esame colturale positivo|C|0|1|||||Tubercolosi del polmone infiltrativa, esame microscopico dell’espettorato negativo, ma con esame colturale positivo||22/04/2010 17:44|
01.011.0.5_V0|011.05|011.05|Tubercolosi del polmone infiltrativa, esame batteriologico negativo, ma tubercolosi confermata istologicamente|C|0|1|||||Tubercolosi del polmone infiltrativa, esame batteriologico negativo, ma tubercolosi confermata istologicamente||22/04/2010 17:44|
01.011.0.6_V0|011.06|011.06|Tubercolosi del polmone infiltrativa, esami batteriologici o istologici negativi, ma tubercolosi confermata in laboratorio con altri metodi|C|0|1|||||Tubercolosi del polmone infiltrativa, esami batteriologici o istologici negativi, ma tubercolosi confermata in laboratorio con altri metodi||22/04/2010 17:44|
01.011.1_V0|011.1|011.1|Tubercolosi del polmone nodulare|S|0|1|||||Tubercolosi del polmone nodulare||22/04/2010 17:44|
01.011.1.0_V0|011.10|011.10|Tubercolosi del polmone nodulare, non specificata|C|0|1|||||Tubercolosi del polmone nodulare, non specificata||22/04/2010 17:44|
01.011.1.1_V0|011.11|011.11|Tubercolosi del polmone nodulare, esame batteriologico o istologico non effettuato|C|0|1|||||Tubercolosi del polmone nodulare, esame batteriologico o istologico non effettuato||22/04/2010 17:44|
01.011.1.2_V0|011.12|011.12|Tubercolosi del polmone nodulare, risultato dell’esame batteriologico o istologico non conosciuto (allo stato attuale)|C|0|1|||||Tubercolosi del polmone nodulare, risultato dell’esame batteriologico o istologico non conosciuto (allo stato attuale)||22/04/2010 17:44|
01.011.1.3_V0|011.13|011.13|Tubercolosi del polmone nodulare, esame microscopico dell’espettorato positivo|C|0|1|||||Tubercolosi del polmone nodulare, esame microscopico dell’espettorato positivo||22/04/2010 17:44|
01.011.1.4_V0|011.14|011.14|Tubercolosi del polmone nodulare, esame microscopico dell’espettorato negativo, ma con esame colturale positivo|C|0|1|||||Tubercolosi del polmone nodulare, esame microscopico dell’espettorato negativo, ma con esame colturale positivo||22/04/2010 17:44|
01.011.1.5_V0|011.15|011.15|Tubercolosi del polmone nodulare, esame batteriologico negativo, ma tubercolosi confermata istologicamente|C|0|1|||||Tubercolosi del polmone nodulare, esame batteriologico negativo, ma tubercolosi confermata istologicamente||22/04/2010 17:44|
01.011.1.6_V0|011.16|011.16|Tubercolosi del polmone nodulare, esami batteriologici o istologici negativi, ma tubercolosi confermata in laboratorio con altri metodi|C|0|1|||||Tubercolosi del polmone nodulare, esami batteriologici o istologici negativi, ma tubercolosi confermata in laboratorio con altri metodi||22/04/2010 17:44|
01.011.2_V0|011.2|011.2|Tubercolosi del polmone cavitaria|S|0|1|||||Tubercolosi del polmone cavitaria||22/04/2010 17:44|
01.011.2.0_V0|011.20|011.20|Tubercolosi del polmone cavitaria, non specificata|C|0|1|||||Tubercolosi del polmone cavitaria, non specificata||22/04/2010 17:44|
01.011.2.1_V0|011.21|011.21|Tubercolosi del polmone cavitaria, esame batteriologico o istologico non effettuato|C|0|1|||||Tubercolosi del polmone cavitaria, esame batteriologico o istologico non effettuato||22/04/2010 17:44|
01.011.2.2_V0|011.22|011.22|Tubercolosi del polmone cavitaria, risultato dell’esame batteriologico o istologico non conosciuto (allo stato attuale)|C|0|1|||||Tubercolosi del polmone cavitaria, risultato dell’esame batteriologico o istologico non conosciuto (allo stato attuale)||22/04/2010 17:44|
01.011.2.3_V0|011.23|011.23|Tubercolosi del polmone cavitaria, esame microscopico dell’espettorato positivo|C|0|1|||||Tubercolosi del polmone cavitaria, esame microscopico dell’espettorato positivo||22/04/2010 17:44|
01.011.2.4_V0|011.24|011.24|Tubercolosi del polmone cavitaria, esame microscopico dell’espettorato negativo, ma con esame colturale positivo|C|0|1|||||Tubercolosi del polmone cavitaria, esame microscopico dell’espettorato negativo, ma con esame colturale positivo||22/04/2010 17:44|
01.011.2.5_V0|011.25|011.25|Tubercolosi del polmone cavitaria, esame batteriologico negativo, ma tubercolosi confermata istologicamente|C|0|1|||||Tubercolosi del polmone cavitaria, esame batteriologico negativo, ma tubercolosi confermata istologicamente||22/04/2010 17:44|
01.011.2.6_V0|011.26|011.26|Tubercolosi del polmone cavitaria, esami batteriologici o istologici negativi, ma tubercolosi confermata in laboratorio con altri metodi|C|0|1|||||Tubercolosi del polmone cavitaria, esami batteriologici o istologici negativi, ma tubercolosi confermata in laboratorio con altri metodi||22/04/2010 17:44|
01.011.3_V0|011.3|011.3|Tubercolosi dei bronchi|S|0|1|||||Tubercolosi dei bronchi||22/04/2010 17:44|
01.011.3.0_V0|011.30|011.30|Tubercolosi dei bronchi, non specificata|C|0|1|||||Tubercolosi dei bronchi, non specificata||22/04/2010 17:44|
01.011.3.1_V0|011.31|011.31|Tubercolosi dei bronchi, esame batteriologico o istologico non effettuato|C|0|1|||||Tubercolosi dei bronchi, esame batteriologico o istologico non effettuato||22/04/2010 17:44|
