#CODEVALUEMODEL=CodeValueParameter|CODESYSTEMID=p|CODESYSTEMNAME=ApplicationParameters|CODESYSTEMDISPLAYNAME=ApplicationParameters|VERSION=0|DESCRIPTION=Application Parameters|LANGUAGE=it|AUTHORITYNAME=Insiel Mercato|AUTHORITYDESCRIPTION=Insiel Mercato SpA|AUTHORITYCONTACTINFORMATION=info@insielmercato.it|VALIDFROM=08/03/2016 11:51
ID SUFFIX|CODE|NAME|DESCRIPTION|ELEMENT TYPE|SEQUENCE NUMBER|STATUS|KEYWORDS|EXTENSION[DataType]|EXTENSION[Host]|EXTENSION[Location]|EXTENSION[ReadOnly]|EXTENSION[Required]|EXTENSION[Role]|EXTENSION[Username]|EXTENSION[Value]|EXTENSION[Visible]|EXTENSION[currentValue]|TRANSLATION[de]|TRANSLATION[en]|TRANSLATION[it]|VALID FROM|VALID TO
company.scheda_verifiche_01.fattura|-|company.scheda_verifiche_01.fattura|fattura|A|0|1|||||true||||||||||11/12/2017 00:00|
company.scheda_verifiche_01.fattura.Admin|Admin|Admin||C|0|1|||||false|false|role.emp.admin_V0|||true|||||11/12/2017 10:31|
company.scheda_verifiche_01.fattura.Operatore|Operatore|Operatore||C|0|1|||||false|false||||true|||||12/01/2018 16:04|
company.scheda_verifiche_01.svalida|-|company.scheda_verifiche_01.svalida|svalida|A|0|1|||||true||||||||||11/12/2017 00:00|
company.scheda_verifiche_01.svalida.Admin|Admin|Admin||C|0|1|||||false|false|role.emp.adminarpav|||true|||||11/12/2017 00:00|
company.scheda_verifiche_01.svalida.Operatore|Operatore|Operatore||C|0|1|||||false|false|role.emp.utente_V0|||true|||||12/01/2018 00:00|
company.scheda_verifiche_01.valida|-|company.scheda_verifiche_01.valida|valida|A|0|1|||||true||||||||||11/12/2017 00:00|
company.scheda_verifiche_01.valida.Admin|Admin|Admin||C|0|1|||||false|false|role.emp.adminarpav|||true|||||11/12/2017 00:00|
company.scheda_verifiche_01.valida.Operatore|Operatore|Operatore||C|0|1|||||false|false||||true|||||12/01/2018 00:00|
employee|-|employee||T|0|1|||||||||||||||28/02/2017 09:52|
employee.developer|-|developer|Questo parameter abilita il developer mode. Di default è false (valore). Aggiungiamo come figli gli username dei developer.|A|0|1||boolean|||false|true|||false|true|false||||27/06/2017 00:00|
employee.developer.admin|admin|admin||C|0|1|||||false|false||admin|true|false||||admin|31/07/2017 16:34|
employee.developer.daniele|daniele|milena||C|0|1|||||false|false||milena.serra|true|false||||daniele|14/07/2017 10:12|
employee.developer.everin|everin|antonio||C|0|1|||||false|false||antonio|true|false||||everin|03/07/2017 12:10|
employee.developer.gbisson|gbisson|paolo||C|0|1|||||false|false||paolo|true|false||||gbisson|27/06/2017 09:54|
employee.developer.maxtest|maxtest|alex||C|0|1|||||false|false||alex|true|false||||maxtest|27/06/2017 09:54|
employee.developer.Nerta|Nerta|Nerta||C|0|1|||||false|false||Nerta|true|false||||Nerta|13/10/2017 10:14|
employees|-|employees|employees|T|0|1|||||||||||||||14/10/2016 16:59|
employees.globalsignsecret|-|globalsignsecret||A|0|1|||||false|false|||Bar12345Bar12345|false|false||||11/12/2017 13:49|
employees.operatori|operatori|employees.operatori|operatori|S|0|1|||||||||||||||14/10/2016 16:59|
employees.operatori.creaOperatoreEsterno|-|employees.operatori.creaOperatoreEsterno|creaOperatoreEsterno|A|0|1|||||||||||||||14/10/2016 17:00|
employees.operatori.creaOperatoreInterno|-|employees.operatori.creaOperatoreInterno|creaOperatoreInterno|A|0|1|||||||||||||||14/10/2016 17:00|
employees.operatori.modificaOperatore|-|employees.operatori.modificaOperatore|modificaOperatore|A|0|1|||||||||||||||14/10/2016 16:59|
fascicolazione|-|fascicolazione|fascicolazione|T|0|1|||||||||||||||14/10/2016 17:22|
fascicolazione.editFascicolo|editFascicolo|fascicolazione.editFascicolo|editFascicolo|S|0|1|||||||||||||||15/01/2018 12:54|
fascicolazione.editFascicolo.tipoFascicolo|-|fascicolazione.editFascicolo.tipoFascicolo|tipoFascicolo|A|0|1|||||||||false|false|||||15/01/2018 00:00|
fascicolazione.editFascicolo.tipoFascicolo.Admin|Admin|Admin||C|0|1|||||||role.emp.admin_V0||true|true|||||15/01/2018 00:00|
fascicolazione.editFascicolo.tipoFascicolo.Direttore|Direttore|Direttore||C|0|1|||||||||||||||25/01/2018 00:00|
fascicolazione.editFascicolo.tipoFascicolo.distr|-|fascicolazione.editFascicolo.tipoFascicolo.distr|distr|A|0|1|||||true|||||true|||||29/10/2018 00:00|
fascicolazione.editFascicolo.tipoFascicolo.distr.Admin|Admin|Admin||C|0|1|||||false||role.emp.admin_V0|||true|||||01/11/2018 00:00|
fascicolazione.editFascicolo.tipoFascicolo.distr.Direttore|Direttore|Direttore||C|0|1|||||false||role.emp.direttore_V0|||true|||||30/10/2018 00:00|
fascicolazione.editFascicolo.tipoFascicolo.gen|-|fascicolazione.editFascicolo.tipoFascicolo.gen|gen|A|0|1|||||true|||||true|||||29/10/2018 00:00|
fascicolazione.editFascicolo.tipoFascicolo.gen.Admin|Admin|Admin||C|0|1|||||false||role.emp.admin_V0|||true|||||01/11/2018 00:00|
fascicolazione.editFascicolo.tipoFascicolo.gen.Direttore|Direttore|Direttore||C|0|1|||||false||role.emp.direttore_V0|||true|||||01/11/2018 00:00|
fascicolazione.editFascicolo.tipoFascicolo.gen.Dirigente|Dirigente|Dirigente||C|0|1|||||false||role.emp.dirigente|||true|||||01/11/2018 00:00|
fascicolazione.editFascicolo.tipoFascicolo.gen.Medicinadellavoro|Medicinadellavoro|Medicinadellavoro||C|0|1|||||false||role.emp.medicinadellavoro|||true|||||01/11/2018 00:00|
fascicolazione.editFascicolo.tipoFascicolo.gen.Operatore|Operatore|Operatore||C|0|1|||||false||role.emp.utente_V0|||true|||||29/10/2018 00:00|
fascicolazione.editFascicolo.tipoFascicolo.gen.Operatoremdl|Operatoremdl|Operatoremdl||C|0|1|||||false||role.emp.operatoremdl|||true|||||01/11/2018 00:00|
fascicolazione.editFascicolo.tipoFascicolo.gen.Segretario|Segretario|Segretario||C|0|1|||||false||role.emp.segretario_V0|||true|||||01/11/2018 00:00|
fascicolazione.editFascicolo.tipoFascicolo.gen.Supervisore|Supervisore|Supervisore||C|0|1|||||false||role.emp.supervisore_V0|||true|||||01/11/2018 00:00|
fascicolazione.editFascicolo.tipoFascicolo.reg|-|fascicolazione.editFascicolo.tipoFascicolo.reg|reg|A|0|1|||||true|||||true|||||29/10/2018 00:00|
fascicolazione.editFascicolo.tipoFascicolo.reg.Admin|Admin|Admin||C|0|1|||||false||role.emp.admin_V0|||true|||||29/10/2018 00:00|
fascicolazione.editFascicolo.tipoFascicolo.ulss|-|fascicolazione.editFascicolo.tipoFascicolo.ulss|ulss|A|0|1|||||true|||||true|||||29/10/2018 00:00|
fascicolazione.editFascicolo.tipoFascicolo.ulss.Admin|Admin|Admin||C|0|1|||||false||role.emp.admin_V0|||true|||||01/11/2018 00:00|
fascicolazione.editFascicolo.tipoFascicolo.ulss.Direttore|Direttore|Direttore||C|0|1|||||false||role.emp.direttore_V0|||true|||||30/10/2018 00:00|
fascicolazione.fascicoliLista|fascicoliLista|fascicolazione.fascicoliLista|fascicoliLista|S|0|1|||||||||||||||14/10/2016 17:22|
fascicolazione.fascicoliLista.modificaFascicolo|-|fascicolazione.fascicoliLista.modificaFascicolo|modificaFascicolo|A|0|1|||||false|||||true|||||14/10/2016 00:00|
fascicolazione.fascicoliLista.modificaFascicolo.Direttore|Direttore|Direttore||C|0|1|||||false||role.emp.direttore_V0|||true|||||01/11/2018 00:00|
fascicolazione.fascicoliLista.nuovoFascicolo|-|fascicolazione.fascicoliLista.nuovoFascicolo|nuovoFascicolo|A|0|1|||||false|||||true|||||14/10/2016 00:00|
fascicolazione.fascicoliLista.nuovoFascicolo.Direttore|Direttore|Direttore||C|0|1|||||false||role.emp.direttore_V0|||true|||||23/11/2018 00:00|
general|-|general|general|T|0|1|||||||||||||||14/10/2016 12:11|
general.alfrescoPassword|-|general.alfrescoPassword|alfrescoPassword|A|0|1|||||||||Sp1ssa||||||04/11/2016 00:00|
general.alfrescoUrl|-|general.alfrescoUrl|Alfresco URL:\nim-spisallx:  http://10.172.44.105:8080\nTest venezia: http://spisal-test.websanita.intra.rve:8080\nProduzione:   http://alpspisal01:8080|A|0|1|||||||||http://spisal-lab.websanita.intra.rve:8080||||||30/11/2016 00:00|
general.alfrescoUrlHttps|-|general.alfrescoUrlHttps|alfrescoUrlHttps:\nim-spisallx:  http://10.172.44.105\nTest venezia: https://spisal-test.websanita.intra.rve\nProduzione:   https://spisal.regione.veneto.it|A|0|1|||||||||https://spisal-lab.websanita.intra.rve||||||30/11/2016 00:00|
general.alfrescoUsername|-|general.alfrescoUsername|alfrescoUsername|A|0|1|||||||||admin||||||04/11/2016 00:00|
general.apikeyurl|-|apikeyurl||A|0|1|apikeyurl||||false|false|||http://altmirth01:8090/geocoding/apikey|false|false|||apikeyurl|08/11/2017 00:00|
general.creaProvvedimento|-|general.creaProvvedimento|creaProvvedimento|A|0|1|||||||||||||||14/10/2016 17:04|
general.eliminaRDP|-|general.eliminaRDP|eliminaRDP|A|0|1|||||||||||||||17/10/2016 09:59|
general.googleapikey|-|googleapikey|googleapikey|A|0|1|googleapikey||||false|false||||false|true|||googleapikey|26/10/2017 00:00|
general.oreEquivalenti|-|general.oreEquivalenti|Parametro ore equivalenti|A|0|1|||||||||8||||||01/04/2019 00:00|
general.oreEquivalenti.ULSS1|ULSS1|ULSS 113 Bassano||C|0|1||||com.phi.entities.role.ServiceDeliveryLocation-16|||||10||||||01/05/2019 00:00|
general.oreEquivalenti.ULSS2|ULSS2|ULSS 3 Serenissima||C|0|1||||com.phi.entities.role.ServiceDeliveryLocation-3|||||8||||||22/05/2019 00:00|
general.oreEquivalenti.ULSS3|ULSS3|ULSS 5 Polesana||C|0|1||||com.phi.entities.role.ServiceDeliveryLocation-34|||||12||||||22/05/2019 00:00|
general.pncmyid|-|pncMyId|Pnc MyId enabled boolean|A|0|1||boolean|||false|false|||false|false|false||||23/02/2023 08:40|
general.reportEditing|-|general.reportEditing|Se visibile consente all'utente di editare i template dei report|A|0|1||||||||||false|||||14/10/2016 00:00|
general.reportEditing.admin|admin|admin||C|0|1|||||||role.emp.admin_V0|||true|||||14/10/2016 12:59|
general.reversegeocodingurl|-|reversegeocodingurl|reversegeocodingurl|A|0|1|||||false|false|||http://altmirth01:8090/geocoding|false|true|||reversegeocodingurl|26/10/2017 00:00|
general.signature|signature|signature|signature|S|0|1|||||false|false|||http://altmirth01:8090/geocoding|false|true||||20/12/2017 11:48|
general.signature.registerurl|-|registerurl||A|0|1|||||false|false|||http://altmirth01:8090/protocollo|false|true|||registerurl|20/12/2017 00:00|
general.signature.signatureurl|-|signatureUrl|signatureUrl|A|0|1|||||false|false|||http://altmirth01:8090/signature|false|true|||signatureUrl|20/12/2017 00:00|
home|-|home|home|T|0|1|||||||||||||||08/03/2016 13:24|
home.attivita|attivita|home.attivita|attivita|S|0|1|||||||||||||||14/10/2016 16:52|
home.attivita.clonaAttivita|-|home.attivita.clonaAttivita|clonaAttivita|A|0|1|||||||||||||||14/10/2016 16:53|
home.attivita.creaAttivita|-|home.attivita.creaAttivita|creaAttivita|A|0|1|||||||||||||||14/10/2016 16:52|
home.attivita.eliminaAttivita|-|home.attivita.eliminaAttivita|eliminaAttivita|A|0|1|||||||||||||||14/10/2016 16:53|
home.attivita.modificaAttivita|-|home.attivita.modificaAttivita|modificaAttivita|A|0|1|||||||||||||||14/10/2016 16:53|
home.attivita_new|attivita_new|home.attivita_new|attivita_new|S|0|1|||||||||||||||14/10/2016 17:01|
home.attivita_new.aggiungiOggetto|-|home.attivita_new.aggiungiOggetto|aggiungiOggetto|A|0|1|||||||||||||||14/10/2016 17:08|
home.attivita_new.aggiungiSoggetto|-|home.attivita_new.aggiungiSoggetto|aggiungiSoggetto|A|0|1|||||||||||||||14/10/2016 17:03|
home.attivita_new.clonaProvvedimento|-|home.attivita_new.clonaProvvedimento|clonaProvvedimento|A|0|1|||||||||||||||14/10/2016 17:13|
home.attivita_new.eliminaOggetto|-|home.attivita_new.eliminaOggetto|eliminaOggetto|A|0|1|||||||||||||||14/10/2016 17:09|
home.attivita_new.eliminaOperatore|-|home.attivita_new.eliminaOperatore|eliminaOperatore|A|0|1|||||||||||||||14/10/2016 17:02|
home.attivita_new.eliminaProvvedimento|-|home.attivita_new.eliminaProvvedimento|eliminaProvvedimento|A|0|1|||||||||||||||14/10/2016 17:14|
home.attivita_new.eliminaSoggetto|-|home.attivita_new.eliminaSoggetto|eliminaSoggetto|A|0|1|||||||||||||||14/10/2016 17:04|
home.attivita_new.gestioneOperatori|-|home.attivita_new.gestioneOperatori|gestioneOperatori|A|0|1|||||||||||||||14/10/2016 17:01|
home.attivita_new.impostaTempoDedicatoOperatore|-|home.attivita_new.impostaTempoDedicatoOperatore|impostaTempoDedicatoOperatore|A|0|1|||||||||||||||14/10/2016 17:02|
home.attivita_new.modificaLuogo|-|home.attivita_new.modificaLuogo|modificaLuogo|A|0|1|||||false|||||true|||||14/10/2016 00:00|
home.attivita_new.modificaOggetto|-|home.attivita_new.modificaOggetto|modificaOggetto|A|0|1|||||||||||||||14/10/2016 17:08|
home.attivita_new.modificaProvvedimento|-|home.attivita_new.modificaProvvedimento|modificaProvvedimento|A|0|1|||||||||||||||14/10/2016 17:13|
home.attivita_new.modificaSoggetto|-|home.attivita_new.modificaSoggetto|modificaSoggetto|A|0|1|||||||||||||||14/10/2016 17:04|
home.attivita_new.selezionaLuogo|-|home.attivita_new.selezionaLuogo|selezionaLuogo|A|0|1|||||false|||||true|||||14/10/2016 00:00|
home.data_scadenza_popup|data_scadenza_popup|home.data_scadenza_popup|data_scadenza_popup|S|0|1|||||||||||||||13/07/2017 14:14|
home.data_scadenza_popup.term_mod_obbl_com|-|home.data_scadenza_popup.term_mod_obbl_com|term_mod_obbl_com|A|0|1||||||true|||||||||13/07/2017 00:00|
home.data_scadenza_popup.term_mod_obbl_com.amministrativo|amministrativo|amministrativo||C|0|1||||||true|role.emp.admin_V0||||||||31/07/2017 18:21|
home.data_scadenza_popup.term_mod_obbl_com.segretario|segretario|segretario||C|0|1||||||true|role.emp.utente_V0||||||||22/08/2017 16:01|
home.data_scadenza_popup_pratiche|data_scadenza_popup_pratiche|home.data_scadenza_popup_pratiche|data_scadenza_popup_pratiche|S|0|1|||||||||||||||13/07/2017 15:47|
home.data_scadenza_popup_pratiche.term_mod_obbl_prat|-|home.data_scadenza_popup_pratiche.term_mod_obbl_prat|term_mod_obbl_prat|A|0|1|||||false|true||||false|false||||31/07/2017 00:00|
home.data_scadenza_popup_pratiche.term_mod_obbl_prat.aaa|admin|admin||C|0|1|||||false|true|role.emp.admin_V0|||false|||||31/07/2017 00:00|
home.data_scadenza_popup_pratiche.term_mod_obbl_prat.operatore|operatore|operatore||C|0|1|||||false|false|role.emp.utente_V0||||||||22/08/2017 16:02|
home.gestione_pratica|gestione_pratica|home.gestione_pratica|gestione_pratica|S|0|1|||||||||||||||26/09/2016 13:04|
home.gestione_pratica.aggiungiRDI|-|home.gestione_pratica.aggiungiRDI|aggiungiRDI|A|0|1|||||||||||||||17/10/2016 00:00|
home.gestione_pratica.aggiungiRDI.Amministratore|Amministratore|Amministratore||C|0|1|||||false||role.emp.segretario_V0|||true|||||27/10/2016 00:00|
home.gestione_pratica.aggiungiRDI.OperatorePlus|OperatorePlus|OperatorePlus||C|0|1|||||false||role.emp.operatoreplus|||true|||||27/10/2016 00:00|
home.gestione_pratica.aggiungiRDI.Segretario|Segretario|Segretario||C|0|1|||||false||role.emp.admin_V0|||true|||||27/10/2016 00:00|
home.gestione_pratica.aggiungiRDP|-|home.gestione_pratica.aggiungiRDP|aggiungiRDP|A|0|1|||||||||||||||17/10/2016 00:00|
home.gestione_pratica.aggiungiRDP.Amministratore|Amministratore|Amministratore||C|0|1|||||false||role.emp.admin_V0|||true|||||27/10/2016 00:00|
home.gestione_pratica.aggiungiRDP.OperatorePlus|OperatorePlus|OperatorePlus||C|0|1|||||false||role.emp.operatoreplus|||true|||||27/10/2016 00:00|
home.gestione_pratica.aggiungiRDP.Segretario|Segretario|Segretario||C|0|1|||||false||role.emp.segretario_V0|||true|||||27/10/2016 00:00|
home.gestione_pratica.aggiungiRFP|-|home.gestione_pratica.aggiungiRFP|aggiungiRFP|A|0|1|||||||||||||||17/10/2016 09:58|
home.gestione_pratica.altrePraticheMP|-|home.gestione_pratica.altrePraticheMP|altrePraticheMP|A|0|1|||||false|||||true|||||06/04/2017 00:00|
home.gestione_pratica.altrePraticheMP.Segretario|Segretario|Segretario||C|0|1|||||true||role.emp.segretario_V0|||true|||||06/04/2017 16:31|
home.gestione_pratica.chiudi|-|home.gestione_pratica.chiudi|chiudi|A|0|1||||||||||false|||||29/01/2018 00:00|
home.gestione_pratica.chiudi.Admin|Admin|Admin||C|0|1|||||||role.emp.admin_V0|||true|||||29/01/2018 15:03|
home.gestione_pratica.chiudi.nuovo|Direttore|Direttore||C|0|1|||||||role.emp.direttore_V0|||true|||||06/04/2018 00:00|
home.gestione_pratica.chiudiForzatamente|-|home.gestione_pratica.chiudiForzatamente|chiudiForzatamente|A|0|1||||||||||false|||||20/03/2018 00:00|
home.gestione_pratica.chiudiForzatamente.Admin|Admin|Admin||C|0|1|||||||role.emp.admin_V0|||true|||||20/03/2018 00:00|
home.gestione_pratica.eliminaEvento|-|home.gestione_pratica.eliminaEvento|eliminaEvento|A|0|1|||||||||||||||14/10/2016 00:00|
home.gestione_pratica.eliminaEvento.Segretario|Segretario|Segretario||C|0|1|||||true||role.emp.segretario_V0|||false|||||16/12/2016 15:15|
home.gestione_pratica.eliminaOperatore|-|home.gestione_pratica.eliminaOperatore|eliminaOperatore|A|0|1|||||||||||||||17/10/2016 10:00|
home.gestione_pratica.eliminaRDI|-|home.gestione_pratica.eliminaRDI|eliminaRDI|A|0|1|||||||||||||||17/10/2016 10:00|
home.gestione_pratica.eliminaRFP|-|home.gestione_pratica.eliminaRFP|eliminaRFP|A|0|1|||||||||||||||17/10/2016 10:00|
home.gestione_pratica.fascicolazione|-|home.gestione_pratica.fascicolazione|fascicolazione|A|0|1|||||false|||||true|||||14/10/2016 00:00|
home.gestione_pratica.fascicolazione.Amministrativo|Amministrativo|Amministrativo||C|0|1|||||false||role.emp.admin_V0|||true|||||20/10/2016 09:52|
home.gestione_pratica.fascicolazione.Operatore|Operatore|Operatore||C|0|1|||||false||role.emp.utente_V0|||true|||||27/10/2016 10:05|
home.gestione_pratica.gestioneOperatori|-|home.gestione_pratica.gestioneOperatori|gestioneOperatori|A|0|1|||||||||||||||17/10/2016 00:00|
home.gestione_pratica.gestioneOperatori.Operatore|Operatore|Operatore||C|0|1|||||true||role.emp.utente_V0|||false|||||27/10/2016 10:53|
home.gestione_pratica.modificaEvento|-|home.gestione_pratica.modificaEvento|modificaEvento|A|0|1|||||||||||||||14/10/2016 00:00|
home.gestione_pratica.modificaEvento.Segretario|Segretario|Segretario||C|0|1|||||true||role.emp.segretario_V0|||false|||||16/12/2016 15:16|
home.gestione_pratica.nuovoEvento|-|home.gestione_pratica.nuovoEvento|nuovoEvento|A|0|1|||||||||||||||14/10/2016 00:00|
home.gestione_pratica.nuovoEvento.Segretario|Segretario|Segretario||C|0|1|||||true||role.emp.segretario_V0|||false|||||16/12/2016 15:17|
home.gestione_pratica.praticaComunicazioniAssociate|-|home.gestione_pratica.praticaComunicazioniAssociate|praticaComunicazioniAssociate|A|0|1|||||false|||||true|||||06/04/2017 00:00|
home.gestione_pratica.praticaComunicazioniAssociate.Segratario|Segratario|Segratario||C|0|1|||||true||role.emp.segretario_V0|||true|||||06/04/2017 16:29|
home.gestione_pratica.praticaDettagli|-|home.gestione_pratica.praticaDettagli|praticaDettagli|A|0|1|||||false|||||true|||||06/04/2017 00:00|
home.gestione_pratica.praticaDettagli.Dirigente|Dirigente|Dirigente||C|0|1|||||||||||||||30/01/2018 15:35|
home.gestione_pratica.praticaDettagli.Segretario|Segretario|Segretario||C|0|1|||||true||role.emp.segretario_V0|||true|||||06/04/2017 16:21|
home.gestione_pratica.praticaEvents|-|home.gestione_pratica.praticaEvents|praticaEvents|A|0|1|||||false|||||false|||||26/09/2016 00:00|
home.gestione_pratica.praticaEvents.admin|admin|admin||C|0|1|||||false||role.emp.admin_V0|||true|||||26/09/2016 13:07|
home.gestione_pratica.praticaEvents.operatore|operatore|operatore||C|0|1|||||false||role.emp.utente_V0|||false|||||13/10/2016 11:31|
home.gestione_pratica.praticaGestione|-|home.gestione_pratica.praticaGestione|praticaGestione|A|0|1|||||false|||||true|||||06/04/2017 00:00|
home.gestione_pratica.praticaGestione.MedicinaDelLavoro|MedicinaDelLavoro|MedicinaDelLavoro||C|0|1|||||||role.emp.medicinadellavoro|||true|||||23/03/2018 11:08|
home.gestione_pratica.praticaGestione.Segratario|Segratario|Segratario||C|0|1|||||true||role.emp.segretario_V0|||true|||||06/04/2017 16:28|
home.gestione_pratica.praticaOggetto|-|home.gestione_pratica.praticaOggetto|praticaOggetto|A|0|1|||||false|||||true|||||06/04/2017 00:00|
home.gestione_pratica.praticaOggetto.Segretario|Segretario|Segretario||C|0|1|||||true||role.emp.segretario_V0|||true|||||06/04/2017 16:30|
home.gestione_pratica.praticaOperatori|-|home.gestione_pratica.praticaOperatori|praticaOperatori|A|0|1|||||false|||||true|||||06/04/2017 00:00|
home.gestione_pratica.praticaQuestionari|-|home.gestione_pratica.praticaQuestionari|praticaQuestionari|A|0|1|||||false|||||true|||||06/04/2017 00:00|
home.gestione_pratica.praticaQuestionari.Segretario|Segretario|Segretario||C|0|1|||||true||role.emp.segretario_V0|||true|||||06/04/2017 16:32|
home.gestione_pratica.praticaStampe|-|home.gestione_pratica.praticaStampe|praticaStampe|A|0|1|||||false|||||false|||||06/04/2017 00:00|
home.gestione_pratica.praticaStampe.Segretario|Segretario|Segretario||C|0|1|||||true||role.emp.segretario_V0|||false|||||06/04/2017 16:35|
home.gestione_pratica.praticaValutazioniConclusive|-|home.gestione_pratica.praticaValutazioniConclusive|praticaValutazioniConclusive|A|0|1|||||false|||||true|||||06/04/2017 00:00|
home.gestione_pratica.praticaValutazioniConclusive.Segretario|Segretario|Segretario||C|0|1|||||true||role.emp.segretario_V0|||true|||||06/04/2017 16:34|
home.gestione_pratica.presaInCarico|-|home.gestione_pratica.presaInCarico|presaInCarico|A|0|1||||||||||false|||||18/08/2017 00:00|
home.gestione_pratica.presaInCarico.Admin|Admin|Admin||C|0|1|||||||role.emp.admin_V0|||true|||||18/08/2017 15:58|
home.gestione_pratica.presaInCarico.Operatore|Operatore|Operatore||C|0|1|||||||role.emp.utente_V0|||true|||||18/08/2017 12:56|
home.gestione_pratica.riapri|-|home.gestione_pratica.riapri|riapri|A|0|1||||||||||false|||||29/01/2018 00:00|
home.gestione_pratica.riapri.Admin|Admin|Admin||C|0|1|||||||role.emp.admin_V0|||true|||||29/01/2018 15:03|
home.gestione_pratica.riapriAttivita|-|home.gestione_pratica.riapriAttivita|riapriAttivita|A|0|1||||||||||false|||||05/04/2018 00:00|
home.gestione_pratica.riapriAttivita.Admin|Admin|Admin||C|0|1|||||||role.emp.admin_V0|||true|||||19/04/2018 14:48|
home.gestione_pratica.riapriAttivita.direttore|direttore|direttore||C|0|1|||||||role.emp.direttore_V0|||true|||||27/04/2018 12:34|
home.gestione_pratica.riapriAttivita.dirigente|dirigente|dirigente||C|0|1|||||||role.emp.dirigente|||true|||||27/04/2018 12:34|
