#CODEVALUEMODEL=CodeValueIcd9|CODESYSTEMID=2.16.840.1.113883.6.104|CODESYSTEMNAME=ICD9PROC|CODESYSTEMDISPLAYNAME=ICD9 PRESTAZIONI|VERSION=2002|DESCRIPTION=ICD9 Procedure Codes|LANGUAGE=it|AUTHORITYNAME=National Center for Health Statistics|AUTHORITYDESCRIPTION=World Health Organization|AUTHORITYCONTACTINFORMATION=http://www.cdc.gov/nchs/icd9.htm|VALIDFROM=22/04/2010 10:22
ID SUFFIX|CODE|NAME|DESCRIPTION|ELEMENT TYPE|SEQUENCE NUMBER|STATUS|TRANSLATION[de]|TRANSLATION[en]|TRANSLATION[it]|RELATION[CodeValuePhi]|VALID FROM|VALID TO
01.2.2_V2002|01.22|Rimozione di neurostimolatore intracranico|Rimozione di neurostimolatore intracranico|C|0|1|||Rimozione di neurostimolatore intracranico||22/04/2010 10:22|
01.2.3_V2002|01.23|Riapertura di pregressa craniotomia|Riapertura di pregressa craniotomia|C|0|1|||Riapertura di pregressa craniotomia||22/04/2010 10:22|
01.2.4_V2002|01.24|Altra craniotomia|Altra craniotomia|C|0|1|||Altra craniotomia||22/04/2010 10:22|
01.2.5_V2002|01.25|Altra craniectomia|Altra craniectomia|C|0|1|||Altra craniectomia||22/04/2010 10:22|
01.3_V2002|01.3|Incisione cerebrale e delle meningi|Incisione cerebrale e delle meningi|S|0|1|||Incisione cerebrale e delle meningi||22/04/2010 10:22|
01.3.1_V2002|01.31|Incisione delle meningi cerebrali|Incisione delle meningi cerebrali|C|0|1|||Incisione delle meningi cerebrali||22/04/2010 10:22|
01.3.2_V2002|01.32|Lobotomia e trattotomia|Lobotomia e trattotomia|C|0|1|||Lobotomia e trattotomia||22/04/2010 10:22|
01.3.9_V2002|01.39|Altre incisioni cerebrali|Altre incisioni cerebrali|C|0|1|||Altre incisioni cerebrali||22/04/2010 10:22|
01.4_V2002|01.4|Interventi sul talamo e sul globo pallido|Interventi sul talamo e sul globo pallido|S|0|1|||Interventi sul talamo e sul globo pallido||22/04/2010 10:22|
01.4.1_V2002|01.41|Interventi sul talamo|Interventi sul talamo|C|0|1|||Interventi sul talamo||22/04/2010 10:22|
01.4.2_V2002|01.42|Interventi sul globo pallido|Interventi sul globo pallido|C|0|1|||Interventi sul globo pallido||22/04/2010 10:22|
01.5_V2002|01.5|Altre asportazioni o altri interventi di demolizione sul cervello e sulle meningi cerebrali|Altre asportazioni o altri interventi di demolizione sul cervello e sulle meningi cerebrali|S|0|1|||Altre asportazioni o altri interventi di demolizione sul cervello e sulle meningi cerebrali||22/04/2010 10:22|
01.5.1_V2002|01.51|Asportazione di lesione o di tessuto delle meningi cerebrali|Asportazione di lesione o di tessuto delle meningi cerebrali|C|0|1|||Asportazione di lesione o di tessuto delle meningi cerebrali||22/04/2010 10:22|
01.5.2_V2002|01.52|Emisferectomia|Emisferectomia|C|0|1|||Emisferectomia||22/04/2010 10:22|
01.5.3_V2002|01.53|Lobectomia cerebrale (per lesione organica)|Lobectomia cerebrale (per lesione organica)|C|0|1|||Lobectomia cerebrale (per lesione organica)||22/04/2010 10:22|
01.5.9_V2002|01.59|Altra asportazione o demolizione di lesione o tessuto cerebrale|Altra asportazione o demolizione di lesione o tessuto cerebrale|C|0|1|||Altra asportazione o demolizione di lesione o tessuto cerebrale||22/04/2010 10:22|
01.6_V2002|01.6|Asportazione di lesioni del cranio|Asportazione di lesioni del cranio|S|0|1|||Asportazione di lesioni del cranio||22/04/2010 10:22|
02_V2002|-|Altri interventi sul cranio, sul cervello e sulle meningi cerebrali|Altri interventi sul cranio, sul cervello e sulle meningi cerebrali|T|0|1|||Altri interventi sul cranio, sul cervello e sulle meningi cerebrali||22/04/2010 10:22|
02.0_V2002|02.0|Cranioplastica|Cranioplastica|S|0|1|||Cranioplastica||22/04/2010 10:22|
02.0.1_V2002|02.01|Apertura di suture del cranio|Apertura di suture del cranio|C|0|1|||Apertura di suture del cranio||22/04/2010 10:22|
02.0.2_V2002|02.02|Riposizionamento di frammenti di frattura affossata del cranio|Riposizionamento di frammenti di frattura affossata del cranio|C|0|1|||Riposizionamento di frammenti di frattura affossata del cranio||22/04/2010 10:22|
02.0.3_V2002|02.03|Formazione di lembi cranici|Formazione di lembi cranici|C|0|1|||Formazione di lembi cranici||22/04/2010 10:22|
02.0.4_V2002|02.04|Innesto osseo sul cranio|Innesto osseo sul cranio|C|0|1|||Innesto osseo sul cranio||22/04/2010 10:22|
02.0.5_V2002|02.05|Inserzione di placca cranica|Inserzione di placca cranica|C|0|1|||Inserzione di placca cranica||22/04/2010 10:22|
02.0.6_V2002|02.06|Altri tipi di osteoplastica del cranio|Altri tipi di osteoplastica del cranio|C|0|1|||Altri tipi di osteoplastica del cranio||22/04/2010 10:22|
02.0.7_V2002|02.07|Rimozione di placca del cranio|Rimozione di placca del cranio|C|0|1|||Rimozione di placca del cranio||22/04/2010 10:22|
02.1_V2002|02.1|Trattamento di lesione delle meningi cerebrali|Trattamento di lesione delle meningi cerebrali|S|0|1|||Trattamento di lesione delle meningi cerebrali||22/04/2010 10:22|
02.1.1_V2002|02.11|Sutura semplice della dura madre|Sutura semplice della dura madre|C|0|1|||Sutura semplice della dura madre||22/04/2010 10:22|
02.1.2_V2002|02.12|Altra riparazione delle meningi cerebrali|Altra riparazione delle meningi cerebrali|C|0|1|||Altra riparazione delle meningi cerebrali||22/04/2010 10:22|
02.1.3_V2002|02.13|Legatura dei vasi delle meningi: del seno longitudinale, dell'arteria meningea mediale|Legatura dei vasi delle meningi: del seno longitudinale, dell'arteria meningea mediale|C|0|1|||Legatura dei vasi delle meningi: del seno longitudinale, dell'arteria meningea mediale||22/04/2010 10:22|
02.1.4_V2002|02.14|Plessectomia coroidea|Plessectomia coroidea|C|0|1|||Plessectomia coroidea||22/04/2010 10:22|
02.2_V2002|02.2|Ventricolostomia|Ventricolostomia|S|0|1|||Ventricolostomia||22/04/2010 10:22|
02.3_V2002|02.3|Anastomosi ventricolare extracranico|Anastomosi ventricolare extracranico|S|0|1|||Anastomosi ventricolare extracranico||22/04/2010 10:22|
02.3.1_V2002|02.31|Anastomosi fra ventricolo e strutture della testa e del collo|Anastomosi fra ventricolo e strutture della testa e del collo|C|0|1|||Anastomosi fra ventricolo e strutture della testa e del collo||22/04/2010 10:22|
02.3.2_V2002|02.32|Anastomosi fra ventricolo e sistema circolatorio|Anastomosi fra ventricolo e sistema circolatorio|C|0|1|||Anastomosi fra ventricolo e sistema circolatorio||22/04/2010 10:22|
02.3.3_V2002|02.33|Anastomosi fra ventricolo e cavità toracica|Anastomosi fra ventricolo e cavità toracica|C|0|1|||Anastomosi fra ventricolo e cavità toracica||22/04/2010 10:22|
02.3.4_V2002|02.34|Anastomosi fra ventricolo, cavità addominale e suoi organi|Anastomosi fra ventricolo, cavità addominale e suoi organi|C|0|1|||Anastomosi fra ventricolo, cavità addominale e suoi organi||22/04/2010 10:22|
02.3.5_V2002|02.35|Anastomosi fra ventricolo ed apparato urinario|Anastomosi fra ventricolo ed apparato urinario|C|0|1|||Anastomosi fra ventricolo ed apparato urinario||22/04/2010 10:22|
02.3.9_V2002|02.39|Altri interventi per il drenaggio ventricolare|Altri interventi per il drenaggio ventricolare|C|0|1|||Altri interventi per il drenaggio ventricolare||22/04/2010 10:22|
02.4_V2002|02.4|Revisione, rimozione e irrigazione di anastomosi ventricolare|Revisione, rimozione e irrigazione di anastomosi ventricolare|S|0|1|||Revisione, rimozione e irrigazione di anastomosi ventricolare||22/04/2010 10:22|
02.4.1_V2002|02.41|Irrigazione di anastomosi ventricolare|Irrigazione di anastomosi ventricolare|C|0|1|||Irrigazione di anastomosi ventricolare||22/04/2010 10:22|
02.4.2_V2002|02.42|Sostituzione di anastomosi ventricolare|Sostituzione di anastomosi ventricolare|C|0|1|||Sostituzione di anastomosi ventricolare||22/04/2010 10:22|
02.4.3_V2002|02.43|Rimozione di anastomosi ventricolare|Rimozione di anastomosi ventricolare|C|0|1|||Rimozione di anastomosi ventricolare||22/04/2010 10:22|
02.9_V2002|02.9|Altri interventi su cranio, cervello e meningi cerebrali|Altri interventi su cranio, cervello e meningi cerebrali|S|0|1|||Altri interventi su cranio, cervello e meningi cerebrali||22/04/2010 10:22|
02.9.1_V2002|02.91|Separazione di aderenze corticali|Separazione di aderenze corticali|C|0|1|||Separazione di aderenze corticali||22/04/2010 10:22|
02.9.2_V2002|02.92|Interventi riparativi del cervello|Interventi riparativi del cervello|C|0|1|||Interventi riparativi del cervello||22/04/2010 10:22|
02.9.3_V2002|02.93|Impianto di neurostimolatore intracranico|Impianto di neurostimolatore intracranico|C|0|1|||Impianto di neurostimolatore intracranico||22/04/2010 10:22|
02.9.4_V2002|02.94|Applicazione o sostituzione di trazione transcranica o dispositivo di halo|Applicazione o sostituzione di trazione transcranica o dispositivo di halo|C|0|1|||Applicazione o sostituzione di trazione transcranica o dispositivo di halo||22/04/2010 10:22|
02.9.5_V2002|02.95|Rimozione di trazione transcranica o dispositivo di halo|Rimozione di trazione transcranica o dispositivo di halo|C|0|1|||Rimozione di trazione transcranica o dispositivo di halo||22/04/2010 10:22|
02.9.6_V2002|02.96|Applicazione di elettrodi sfenoidali|Applicazione di elettrodi sfenoidali|C|0|1|||Applicazione di elettrodi sfenoidali||22/04/2010 10:22|
02.9.9_V2002|02.99|Altri interventi sul cranio, sul cervello e sulle meningi|Altri interventi sul cranio, sul cervello e sulle meningi|C|0|1|||Altri interventi sul cranio, sul cervello e sulle meningi||22/04/2010 10:22|
03_V2002|-|Interventi sul midollo spinale e sulle strutture del canale vertebrale|Interventi sul midollo spinale e sulle strutture del canale vertebrale|T|0|1|||Interventi sul midollo spinale e sulle strutture del canale vertebrale||22/04/2010 10:22|
03.0_V2002|03.0|Esplorazione e decompressione di strutture del canale vertebrale|Esplorazione e decompressione di strutture del canale vertebrale|S|0|1|||Esplorazione e decompressione di strutture del canale vertebrale||22/04/2010 10:22|
03.0.1_V2002|03.01|Rimozione di corpo estraneo dal canale vertebrale|Rimozione di corpo estraneo dal canale vertebrale|C|0|1|||Rimozione di corpo estraneo dal canale vertebrale||22/04/2010 10:22|
03.0.2_V2002|03.02|Riapertura di pregressa laminectomia|Riapertura di pregressa laminectomia|C|0|1|||Riapertura di pregressa laminectomia||22/04/2010 10:22|
03.0.9_V2002|03.09|Altra esplorazione e decompressione del canale vertebrale|Altra esplorazione e decompressione del canale vertebrale|C|0|1|||Altra esplorazione e decompressione del canale vertebrale||22/04/2010 10:22|
03.1_V2002|03.1|Sezione delle radici dei nervi intraspinali|Sezione delle radici dei nervi intraspinali|S|0|1|||Sezione delle radici dei nervi intraspinali||22/04/2010 10:22|
03.2_V2002|03.2|Cordotomia|Cordotomia|S|0|1|||Cordotomia||22/04/2010 10:22|
03.2.1_V2002|03.21|Cordotomia percutanea|Cordotomia percutanea|C|0|1|||Cordotomia percutanea||22/04/2010 10:22|
03.2.9_V2002|03.29|Altra cordotomia|Altra cordotomia|C|0|1|||Altra cordotomia||22/04/2010 10:22|
03.3_V2002|03.3|Procedure diagnostiche sul midollo spinale e sulle strutture del canale vertebrale|Procedure diagnostiche sul midollo spinale e sulle strutture del canale vertebrale|S|0|1|||Procedure diagnostiche sul midollo spinale e sulle strutture del canale vertebrale||22/04/2010 10:22|
03.3.1_V2002|03.31|Rachicentesi|Rachicentesi|C|0|1|||Rachicentesi||22/04/2010 10:22|
03.3.2_V2002|03.32|Biopsia di lesione spinale|Biopsia di lesione spinale|C|0|1|||Biopsia di lesione spinale||22/04/2010 10:22|
03.3.9_V2002|03.39|Altre procedure diagnostiche sul midollo spinale e sulle strutture del canale vertebrale|Altre procedure diagnostiche sul midollo spinale e sulle strutture del canale vertebrale|C|0|1|||Altre procedure diagnostiche sul midollo spinale e sulle strutture del canale vertebrale||22/04/2010 10:22|
03.4_V2002|03.4|Asportazione o demolizione di lesione del midollo o delle meningi spinali|Asportazione o demolizione di lesione del midollo o delle meningi spinali|S|0|1|||Asportazione o demolizione di lesione del midollo o delle meningi spinali||22/04/2010 10:22|
03.5_V2002|03.5|Interventi di plastica sulle strutture del midollo|Interventi di plastica sulle strutture del midollo|S|0|1|||Interventi di plastica sulle strutture del midollo||22/04/2010 10:22|
03.5.1_V2002|03.51|Riparazione di meningocele spinale|Riparazione di meningocele spinale|C|0|1|||Riparazione di meningocele spinale||22/04/2010 10:22|
03.5.2_V2002|03.52|Riparazione di mielomeningocele spinale|Riparazione di mielomeningocele spinale|C|0|1|||Riparazione di mielomeningocele spinale||22/04/2010 10:22|
03.5.3_V2002|03.53|Riparazione di fratture vertebrali|Riparazione di fratture vertebrali|C|0|1|||Riparazione di fratture vertebrali||22/04/2010 10:22|
03.5.9_V2002|03.59|Altri interventi di riparazione e di plastica sul midollo spinale|Altri interventi di riparazione e di plastica sul midollo spinale|C|0|1|||Altri interventi di riparazione e di plastica sul midollo spinale||22/04/2010 10:22|
03.6_V2002|03.6|Separazione di aderenze del midollo spinale e delle radici dei nervi|Separazione di aderenze del midollo spinale e delle radici dei nervi|S|0|1|||Separazione di aderenze del midollo spinale e delle radici dei nervi||22/04/2010 10:22|
03.7_V2002|03.7|Anastomosi spinale|Anastomosi spinale|S|0|1|||Anastomosi spinale||22/04/2010 10:22|
03.7.1_V2002|03.71|Anastomosi spinale subaracnoideo-peritoneale|Anastomosi spinale subaracnoideo-peritoneale|C|0|1|||Anastomosi spinale subaracnoideo-peritoneale||22/04/2010 10:22|
03.7.2_V2002|03.72|Anastomosi spinale subaracnoideo ureterale|Anastomosi spinale subaracnoideo ureterale|C|0|1|||Anastomosi spinale subaracnoideo ureterale||22/04/2010 10:22|
03.7.9_V2002|03.79|Altro anastomosi spinale|Altro anastomosi spinale|C|0|1|||Altro anastomosi spinale||22/04/2010 10:22|
03.8_V2002|03.8|Iniezione di farmaci citotossici nel canale vertebrale|Iniezione di farmaci citotossici nel canale vertebrale|S|0|1|||Iniezione di farmaci citotossici nel canale vertebrale||22/04/2010 10:22|
03.9_V2002|03.9|Altri interventi sul midollo e sulle strutture del canale vertebrale|Altri interventi sul midollo e sulle strutture del canale vertebrale|S|0|1|||Altri interventi sul midollo e sulle strutture del canale vertebrale||22/04/2010 10:22|
03.9.0_V2002|03.90|Inserzione di catetere nel canale vertebrale per infusione di sostanze terapeutiche o palliative|Inserzione di catetere nel canale vertebrale per infusione di sostanze terapeutiche o palliative|C|0|1|||Inserzione di catetere nel canale vertebrale per infusione di sostanze terapeutiche o palliative||22/04/2010 10:22|
03.9.1_V2002|03.91|Iniezione di anestetico nel canale vertebrale per analgesia|Iniezione di anestetico nel canale vertebrale per analgesia|C|0|1|||Iniezione di anestetico nel canale vertebrale per analgesia||22/04/2010 10:22|
03.9.2_V2002|03.92|Iniezione di altri farmaci nel canale vertebrale|Iniezione di altri farmaci nel canale vertebrale|C|0|1|||Iniezione di altri farmaci nel canale vertebrale||22/04/2010 10:22|
03.9.3_V2002|03.93|Collocazione o sostituzione di neurostimolatore spinale|Collocazione o sostituzione di neurostimolatore spinale|C|0|1|||Collocazione o sostituzione di neurostimolatore spinale||22/04/2010 10:22|
03.9.4_V2002|03.94|Rimozione di neurostimolatore spinale|Rimozione di neurostimolatore spinale|C|0|1|||Rimozione di neurostimolatore spinale||22/04/2010 10:22|
03.9.5_V2002|03.95|Spinal blood patch|Spinal blood patch|C|0|1|||Spinal blood patch||22/04/2010 10:22|
03.9.6_V2002|03.96|Denervazione percutanea della faccetta articolare|Denervazione percutanea della faccetta articolare|C|0|1|||Denervazione percutanea della faccetta articolare||22/04/2010 10:22|
03.9.7_V2002|03.97|Revisione di anastomosi spinale|Revisione di anastomosi spinale|C|0|1|||Revisione di anastomosi spinale||22/04/2010 10:22|
03.9.8_V2002|03.98|Rimozione di anastomosi spinale|Rimozione di anastomosi spinale|C|0|1|||Rimozione di anastomosi spinale||22/04/2010 10:22|
03.9.9_V2002|03.99|Altri interventi sul midollo spinale e sulle strutture del canale vertebrale|Altri interventi sul midollo spinale e sulle strutture del canale vertebrale|C|0|1|||Altri interventi sul midollo spinale e sulle strutture del canale vertebrale||22/04/2010 10:22|
04_V2002|-|Interventi sui nervi cranici e periferici|Interventi sui nervi cranici e periferici|T|0|1|||Interventi sui nervi cranici e periferici||22/04/2010 10:22|
04.0_V2002|04.0|Incisione, sezione ed asportazione dei nervi cranici e periferici|Incisione, sezione ed asportazione dei nervi cranici e periferici|S|0|1|||Incisione, sezione ed asportazione dei nervi cranici e periferici||22/04/2010 10:22|
04.0.1_V2002|04.01|Asportazione di neuroma acustico|Asportazione di neuroma acustico|C|0|1|||Asportazione di neuroma acustico||22/04/2010 10:22|
04.0.2_V2002|04.02|Sezione del nervo trigemino|Sezione del nervo trigemino|C|0|1|||Sezione del nervo trigemino||22/04/2010 10:22|
04.0.3_V2002|04.03|Sezione o schiacciamento di altri nervi cranici e periferici|Sezione o schiacciamento di altri nervi cranici e periferici|C|0|1|||Sezione o schiacciamento di altri nervi cranici e periferici||22/04/2010 10:22|
04.0.4_V2002|04.04|Altra incisione dei nervi cranici e periferici|Altra incisione dei nervi cranici e periferici|C|0|1|||Altra incisione dei nervi cranici e periferici||22/04/2010 10:22|
04.0.5_V2002|04.05|Gangliectomia del ganglio di Gasser|Gangliectomia del ganglio di Gasser|C|0|1|||Gangliectomia del ganglio di Gasser||22/04/2010 10:22|
04.0.6_V2002|04.06|Altre gangliectomie di nervi cranici o periferici|Altre gangliectomie di nervi cranici o periferici|C|0|1|||Altre gangliectomie di nervi cranici o periferici||22/04/2010 10:22|
04.0.7_V2002|04.07|Altra resezione o asportazione dei nervi cranici e periferici|Altra resezione o asportazione dei nervi cranici e periferici|C|0|1|||Altra resezione o asportazione dei nervi cranici e periferici||22/04/2010 10:22|
04.1_V2002|04.1|Procedure diagnostiche sul sistema nervoso periferico|Procedure diagnostiche sul sistema nervoso periferico|S|0|1|||Procedure diagnostiche sul sistema nervoso periferico||22/04/2010 10:22|
04.1.1_V2002|04.11|Biopsia [percutanea] [agobiopsia] dei nervi cranici o periferici o dei gangli|Biopsia [percutanea] [agobiopsia] dei nervi cranici o periferici o dei gangli|C|0|1|||Biopsia [percutanea] [agobiopsia] dei nervi cranici o periferici o dei gangli||22/04/2010 10:22|
04.1.2_V2002|04.12|Biopsia a cielo aperto dei nervi cranici o periferici o dei gangli|Biopsia a cielo aperto dei nervi cranici o periferici o dei gangli|C|0|1|||Biopsia a cielo aperto dei nervi cranici o periferici o dei gangli||22/04/2010 10:22|
04.1.9_V2002|04.19|Altre procedure diagnostiche sui nervi cranici o periferici o sui gangli|Altre procedure diagnostiche sui nervi cranici o periferici o sui gangli|C|0|1|||Altre procedure diagnostiche sui nervi cranici o periferici o sui gangli||22/04/2010 10:22|
04.2_V2002|04.2|Demolizione di nervi cranici e periferici|Demolizione di nervi cranici e periferici|S|0|1|||Demolizione di nervi cranici e periferici||22/04/2010 10:22|
04.3_V2002|04.3|Suture dei nervi cranici e periferici|Suture dei nervi cranici e periferici|S|0|1|||Suture dei nervi cranici e periferici||22/04/2010 10:22|
04.4_V2002|04.4|Separazione di aderenze e decompressione dei nervi cranici e periferici|Separazione di aderenze e decompressione dei nervi cranici e periferici|S|0|1|||Separazione di aderenze e decompressione dei nervi cranici e periferici||22/04/2010 10:22|
04.4.1_V2002|04.41|Decompressione delle radici del trigemino|Decompressione delle radici del trigemino|C|0|1|||Decompressione delle radici del trigemino||22/04/2010 10:22|
04.4.2_V2002|04.42|Altra decompressione di nervi cranici|Altra decompressione di nervi cranici|C|0|1|||Altra decompressione di nervi cranici||22/04/2010 10:22|
04.4.3_V2002|04.43|Liberazione del tunnel carpale|Liberazione del tunnel carpale|C|0|1|||Liberazione del tunnel carpale||22/04/2010 10:22|
04.4.4_V2002|04.44|Liberazione del tunnel tarsale|Liberazione del tunnel tarsale|C|0|1|||Liberazione del tunnel tarsale||22/04/2010 10:22|
04.4.9_V2002|04.49|Altre decompressioni dei nervi periferici e dei gangli, o separazione di aderenze|Altre decompressioni dei nervi periferici e dei gangli, o separazione di aderenze|C|0|1|||Altre decompressioni dei nervi periferici e dei gangli, o separazione di aderenze||22/04/2010 10:22|
04.5_V2002|04.5|Innesto di nervi cranici o periferici|Innesto di nervi cranici o periferici|S|0|1|||Innesto di nervi cranici o periferici||22/04/2010 10:22|
04.6_V2002|04.6|Trasposizione di nervi cranici e periferici|Trasposizione di nervi cranici e periferici|S|0|1|||Trasposizione di nervi cranici e periferici||22/04/2010 10:22|
04.7_V2002|04.7|Altra neuroplastica cranica o periferica|Altra neuroplastica cranica o periferica|S|0|1|||Altra neuroplastica cranica o periferica||22/04/2010 10:22|
04.7.1_V2002|04.71|Anastomosi ipoglosso-faciale|Anastomosi ipoglosso-faciale|C|0|1|||Anastomosi ipoglosso-faciale||22/04/2010 10:22|
04.7.2_V2002|04.72|Anastomosi accessorio-faciale|Anastomosi accessorio-faciale|C|0|1|||Anastomosi accessorio-faciale||22/04/2010 10:22|
04.7.3_V2002|04.73|Anastomosi accessorio-ipoglosso|Anastomosi accessorio-ipoglosso|C|0|1|||Anastomosi accessorio-ipoglosso||22/04/2010 10:22|
04.7.4_V2002|04.74|Altre anastomosi di nervi cranici e periferici|Altre anastomosi di nervi cranici e periferici|C|0|1|||Altre anastomosi di nervi cranici e periferici||22/04/2010 10:22|
04.7.5_V2002|04.75|Revisione di pregressa ricostruzione di nervi cranici e periferici|Revisione di pregressa ricostruzione di nervi cranici e periferici|C|0|1|||Revisione di pregressa ricostruzione di nervi cranici e periferici||22/04/2010 10:22|
04.7.6_V2002|04.76|Riparazione di lesioni traumatiche di vecchia data di nervi cranici e periferici|Riparazione di lesioni traumatiche di vecchia data di nervi cranici e periferici|C|0|1|||Riparazione di lesioni traumatiche di vecchia data di nervi cranici e periferici||22/04/2010 10:22|
04.7.9_V2002|04.79|Altra neuroplastica|Altra neuroplastica|C|0|1|||Altra neuroplastica||22/04/2010 10:22|
04.8_V2002|04.8|Iniezione nei nervi periferici|Iniezione nei nervi periferici|S|0|1|||Iniezione nei nervi periferici||22/04/2010 10:22|
04.8.0_V2002|04.80|Iniezione in nervo periferico, SAI|Iniezione in nervo periferico, SAI|C|0|1|||Iniezione in nervo periferico, SAI||22/04/2010 10:22|
04.8.1_V2002|04.81|Iniezione di anestetico in nervo periferico per analgesia|Iniezione di anestetico in nervo periferico per analgesia|C|0|1|||Iniezione di anestetico in nervo periferico per analgesia||22/04/2010 10:22|
04.8.9_V2002|04.89|Iniezione di altre sostanze, esclusi i neurolitici|Iniezione di altre sostanze, esclusi i neurolitici|C|0|1|||Iniezione di altre sostanze, esclusi i neurolitici||22/04/2010 10:22|
04.9_V2002|04.9|Altri interventi sui nervi cranici e periferici|Altri interventi sui nervi cranici e periferici|S|0|1|||Altri interventi sui nervi cranici e periferici||22/04/2010 10:22|
04.9.1_V2002|04.91|Stiramento di nervo (neurectasia)|Stiramento di nervo (neurectasia)|C|0|1|||Stiramento di nervo (neurectasia)||22/04/2010 10:22|
04.9.2_V2002|04.92|Impianto o sostituzione di neurostimolatore dei nervi periferici|Impianto o sostituzione di neurostimolatore dei nervi periferici|C|0|1|||Impianto o sostituzione di neurostimolatore dei nervi periferici||22/04/2010 10:22|
04.9.3_V2002|04.93|Rimozione di neurostimolatore dei nervi periferici|Rimozione di neurostimolatore dei nervi periferici|C|0|1|||Rimozione di neurostimolatore dei nervi periferici||22/04/2010 10:22|
04.9.9_V2002|04.99|Altri interventi sui nervi cranici e periferici|Altri interventi sui nervi cranici e periferici|C|0|1|||Altri interventi sui nervi cranici e periferici||22/04/2010 10:22|
05_V2002|-|Interventi sui nervi o sui gangli simpatici|Interventi sui nervi o sui gangli simpatici|T|0|1|||Interventi sui nervi o sui gangli simpatici||22/04/2010 10:22|
05.0_V2002|05.0|Sezione di nervo o ganglio simpatico|Sezione di nervo o ganglio simpatico|S|0|1|||Sezione di nervo o ganglio simpatico||22/04/2010 10:22|
