#CODEVALUEMODEL=CodeValueAteco|CODESYSTEMID=ATECO|CODESYSTEMNAME=ATECO|CODESYSTEMDISPLAYNAME=ATECO|VERSION=0|DESCRIPTION=ATECO|LANGUAGE=it|AUTHORITYNAME=ITAL-TBS S.P.A.|AUTHORITYDESCRIPTION=ITAL-TBS S.P.A.|AUTHORITYCONTACTINFORMATION=info@italtbs.com|VALIDFROM=01/01/2007 00:00|||||||
ID SUFFIX|CODE|NAME|DESCRIPTION|ELEMENT TYPE|SEQUENCE NUMBER|STATUS|KEYWORDS|EXTENSION[Abbreviation]|EXTENSION[Enable annotation]|EXTENSION[Score]|TRANSLATION[de]|TRANSLATION[en]|TRANSLATION[it]|RELATION[CodeValueCity]|RELATION[CodeValuePhi]|VALID FROM|VALID TO
A.01.3.0_V0|01.30|01.30|Riproduzione delle piante|S|0|1|AGRICOLTURA||||||Riproduzione delle piante|||01/01/2007 00:00|
A.01.3.0.0_V0|01.30.0|01.30.0|Riproduzione delle piante|S|0|1|AGRICOLTURA||||||Riproduzione delle piante|||01/01/2007 00:00|
A.01.3.0.0.0_V0|01.30.00|01.30.00|Riproduzione delle piante|C|0|1|AGRICOLTURA||||||Riproduzione delle piante|||01/01/2007 00:00|
A.01.4_V0|01.4|01.4|ALLEVAMENTO DI ANIMALI|S|0|1|ZOOTECNIA||||||ALLEVAMENTO DI ANIMALI|||01/01/2007 00:00|
A.01.4.1_V0|01.41|01.41|Allevamento di bovini da latte|S|0|1|ZOOTECNIA||||||Allevamento di bovini da latte|||01/01/2007 00:00|
A.01.4.1.0_V0|01.41.0|01.41.0|Allevamento di bovini e bufale da latte, produzione di latte crudo|S|0|1|ZOOTECNIA||||||Allevamento di bovini e bufale da latte, produzione di latte crudo|||01/01/2007 00:00|
A.01.4.1.0.0_V0|01.41.00|01.41.00|Allevamento di bovini e bufale da latte, produzione di latte crudo|C|0|1|ZOOTECNIA||||||Allevamento di bovini e bufale da latte, produzione di latte crudo|||01/01/2007 00:00|
A.01.4.2_V0|01.42|01.42|Allevamento di altri bovini e di bufalini|S|0|1|ZOOTECNIA||||||Allevamento di altri bovini e di bufalini|||01/01/2007 00:00|
A.01.4.2.0_V0|01.42.0|01.42.0|Allevamento di bovini e bufalini da carne|S|0|1|ZOOTECNIA||||||Allevamento di bovini e bufalini da carne|||01/01/2007 00:00|
A.01.4.2.0.0_V0|01.42.00|01.42.00|Allevamento di bovini e bufalini da carne|C|0|1|ZOOTECNIA||||||Allevamento di bovini e bufalini da carne|||01/01/2007 00:00|
A.01.4.3_V0|01.43|01.43|Allevamento di cavalli e altri equini|S|0|1|ZOOTECNIA||||||Allevamento di cavalli e altri equini|||01/01/2007 00:00|
A.01.4.3.0_V0|01.43.0|01.43.0|Allevamento di cavalli e altri equini|S|0|1|ZOOTECNIA||||||Allevamento di cavalli e altri equini|||01/01/2007 00:00|
A.01.4.3.0.0_V0|01.43.00|01.43.00|Allevamento di cavalli e altri equini|C|0|1|ZOOTECNIA||||||Allevamento di cavalli e altri equini|||01/01/2007 00:00|
A.01.4.4_V0|01.44|01.44|Allevamento di cammelli e camelidi|S|0|1|ZOOTECNIA||||||Allevamento di cammelli e camelidi|||01/01/2007 00:00|
A.01.4.4.0_V0|01.44.0|01.44.0|Allevamento di cammelli e camelidi|S|0|1|ZOOTECNIA||||||Allevamento di cammelli e camelidi|||01/01/2007 00:00|
A.01.4.4.0.0_V0|01.44.00|01.44.00|Allevamento di cammelli e camelidi|C|0|1|ZOOTECNIA||||||Allevamento di cammelli e camelidi|||01/01/2007 00:00|
A.01.4.5_V0|01.45|01.45|Allevamento di ovini e caprini|S|0|1|ZOOTECNIA||||||Allevamento di ovini e caprini|||01/01/2007 00:00|
A.01.4.5.0_V0|01.45.0|01.45.0|Allevamento di ovini e caprini|S|0|1|ZOOTECNIA||||||Allevamento di ovini e caprini|||01/01/2007 00:00|
A.01.4.5.0.0_V0|01.45.00|01.45.00|Allevamento di ovini e caprini|C|0|1|ZOOTECNIA||||||Allevamento di ovini e caprini|||01/01/2007 00:00|
A.01.4.6_V0|01.46|01.46|Allevamento di suini|S|0|1|ZOOTECNIA||||||Allevamento di suini|||01/01/2007 00:00|
A.01.4.6.0_V0|01.46.0|01.46.0|Allevamento di suini|S|0|1|ZOOTECNIA||||||Allevamento di suini|||01/01/2007 00:00|
A.01.4.6.0.0_V0|01.46.00|01.46.00|Allevamento di suini|C|0|1|ZOOTECNIA||||||Allevamento di suini|||01/01/2007 00:00|
A.01.4.7_V0|01.47|01.47|Allevamento di pollame|S|0|1|ZOOTECNIA||||||Allevamento di pollame|||01/01/2007 00:00|
A.01.4.7.0_V0|01.47.0|01.47.0|Allevamento di pollame|S|0|1|ZOOTECNIA||||||Allevamento di pollame|||01/01/2007 00:00|
A.01.4.7.0.0_V0|01.47.00|01.47.00|Allevamento di pollame|C|0|1|ZOOTECNIA||||||Allevamento di pollame|||01/01/2007 00:00|
A.01.4.9_V0|01.49|01.49|Allevamento di altri animali|S|0|1|ZOOTECNIA||||||Allevamento di altri animali|||01/01/2007 00:00|
A.01.4.9.1_V0|01.49.1|01.49.1|Allevamento di conigli|S|0|1|ZOOTECNIA||||||Allevamento di conigli|||01/01/2007 00:00|
A.01.4.9.1.0_V0|01.49.10|01.49.10|Allevamento di conigli|C|0|1|ZOOTECNIA||||||Allevamento di conigli|||01/01/2007 00:00|
A.01.4.9.2_V0|01.49.2|01.49.2|Allevamento di animali da pelliccia|S|0|1|ZOOTECNIA||||||Allevamento di animali da pelliccia|||01/01/2007 00:00|
A.01.4.9.2.0_V0|01.49.20|01.49.20|Allevamento di animali da pelliccia|C|0|1|ZOOTECNIA||||||Allevamento di animali da pelliccia|||01/01/2007 00:00|
A.01.4.9.3_V0|01.49.3|01.49.3|Apicoltura|S|0|1|ZOOTECNIA||||||Apicoltura|||01/01/2007 00:00|
A.01.4.9.3.0_V0|01.49.30|01.49.30|Apicoltura|C|0|1|ZOOTECNIA||||||Apicoltura|||01/01/2007 00:00|
A.01.4.9.4_V0|01.49.4|01.49.4|Bachicoltura|S|0|1|ZOOTECNIA||||||Bachicoltura|||01/01/2007 00:00|
A.01.4.9.4.0_V0|01.49.40|01.49.40|Bachicoltura|C|0|1|ZOOTECNIA||||||Bachicoltura|||01/01/2007 00:00|
A.01.4.9.9_V0|01.49.9|01.49.9|Allevamento di altri animali nca|S|0|1|ZOOTECNIA||||||Allevamento di altri animali nca|||01/01/2007 00:00|
A.01.4.9.9.0_V0|01.49.90|01.49.90|Allevamento di altri animali nca|C|0|1|ZOOTECNIA||||||Allevamento di altri animali nca|||01/01/2007 00:00|
A.01.5_V0|01.5|01.5|COLTIVAZIONI AGRICOLE ASSOCIATE ALL'ALLEVAMENTO DI ANIMALI: ATTIVITÀ MISTA|S|0|1|ZOOTECNIA||||||COLTIVAZIONI AGRICOLE ASSOCIATE ALL'ALLEVAMENTO DI ANIMALI: ATTIVITÀ MISTA|||01/01/2007 00:00|
A.01.5.0_V0|01.50|01.50|Coltivazioni agricole associate all'allevamento di animali: attività mista|S|0|1|ZOOTECNIA||||||Coltivazioni agricole associate all'allevamento di animali: attività mista|||01/01/2007 00:00|
A.01.5.0.0_V0|01.50.0|01.50.0|Coltivazioni agricole associate all'allevamento di animali: attività mista|S|0|1|ZOOTECNIA||||||Coltivazioni agricole associate all'allevamento di animali: attività mista|||01/01/2007 00:00|
A.01.5.0.0.0_V0|01.50.00|01.50.00|Coltivazioni agricole associate all'allevamento di animali: attività mista|C|0|1|ZOOTECNIA||||||Coltivazioni agricole associate all'allevamento di animali: attività mista|||01/01/2007 00:00|
A.01.6_V0|01.6|01.6|ATTIVITÀ DI SUPPORTO ALL'AGRICOLTURA E ATTIVITÀ SUCCESSIVE ALLA RACCOLTA|S|0|1|AGRICOLTURA||||||ATTIVITÀ DI SUPPORTO ALL'AGRICOLTURA E ATTIVITÀ SUCCESSIVE ALLA RACCOLTA|||01/01/2007 00:00|
A.01.6.1_V0|01.61|01.61|Attività di supporto alla produzione vegetale|S|0|1|AGRICOLTURA||||||Attività di supporto alla produzione vegetale|||01/01/2007 00:00|
A.01.6.1.0_V0|01.61.0|01.61.0|Attività di supporto alla produzione vegetale|S|0|1|AGRICOLTURA||||||Attività di supporto alla produzione vegetale|||01/01/2007 00:00|
A.01.6.1.0.0_V0|01.61.00|01.61.00|Attività di supporto alla produzione vegetale|C|0|1|AGRICOLTURA||||||Attività di supporto alla produzione vegetale|||01/01/2007 00:00|
A.01.6.2_V0|01.62|01.62|Attività di supporto alla produzione animale|S|0|1|AGRICOLTURA||||||Attività di supporto alla produzione animale|||01/01/2007 00:00|
A.01.6.2.0_V0|01.62.0|01.62.0|Attività di supporto alla produzione animale (esclusi i servizi veterinari)|S|0|1|AGRICOLTURA||||||Attività di supporto alla produzione animale (esclusi i servizi veterinari)|||01/01/2007 00:00|
A.01.6.2.0.1_V0|01.62.01|01.62.01|Attività dei maniscalchi|C|0|1|AGRICOLTURA||||||Attività dei maniscalchi|||01/01/2007 00:00|
A.01.6.2.0.9_V0|01.62.09|01.62.09|Altre attività di supporto alla produzione animale (esclusi i servizi veterinari)|C|0|1|AGRICOLTURA||||||Altre attività di supporto alla produzione animale (esclusi i servizi veterinari)|||01/01/2007 00:00|
A.01.6.3_V0|01.63|01.63|Attività successive alla raccolta|S|0|1|AGRICOLTURA||||||Attività successive alla raccolta|||01/01/2007 00:00|
A.01.6.3.0_V0|01.63.0|01.63.0|Attività che seguono la raccolta|S|0|1|AGRICOLTURA||||||Attività che seguono la raccolta|||01/01/2007 00:00|
A.01.6.3.0.0_V0|01.63.00|01.63.00|Attività che seguono la raccolta|C|0|1|AGRICOLTURA||||||Attività che seguono la raccolta|||01/01/2007 00:00|
A.01.6.4_V0|01.64|01.64|Lavorazione delle sementi per la semina|S|0|1|AGRICOLTURA||||||Lavorazione delle sementi per la semina|||01/01/2007 00:00|
A.01.6.4.0_V0|01.64.0|01.64.0|Lavorazione delle sementi per la semina|S|0|1|AGRICOLTURA||||||Lavorazione delle sementi per la semina|||01/01/2007 00:00|
A.01.6.4.0.1_V0|01.64.01|01.64.01|Pulitura e cernita di semi e granaglie|C|0|1|AGRICOLTURA||||||Pulitura e cernita di semi e granaglie|||01/01/2007 00:00|
A.01.6.4.0.9_V0|01.64.09|01.64.09|Altre lavorazioni delle sementi per la semina|C|0|1|AGRICOLTURA||||||Altre lavorazioni delle sementi per la semina|||01/01/2007 00:00|
A.01.7_V0|01.7|01.7|CACCIA, CATTURA DI ANIMALI E SERVIZI CONNESSI|S|0|1|AGRICOLTURA||||||CACCIA, CATTURA DI ANIMALI E SERVIZI CONNESSI|||01/01/2007 00:00|
A.01.7.0_V0|01.70|01.70|Caccia, cattura di animali e servizi connessi|S|0|1|AGRICOLTURA||||||Caccia, cattura di animali e servizi connessi|||01/01/2007 00:00|
A.01.7.0.0_V0|01.70.0|01.70.0|Caccia, cattura di animali e servizi connessi|S|0|1|AGRICOLTURA||||||Caccia, cattura di animali e servizi connessi|||01/01/2007 00:00|
A.01.7.0.0.0_V0|01.70.00|01.70.00|Caccia, cattura di animali e servizi connessi|C|0|1|AGRICOLTURA||||||Caccia, cattura di animali e servizi connessi|||01/01/2007 00:00|
A.02_V0|02|02|SILVICOLTURA ED UTILIZZO DI AREE FORESTALI|S|0|1|AZIENDE FORESTALI||||||SILVICOLTURA ED UTILIZZO DI AREE FORESTALI|||01/01/2007 00:00|
A.02.1_V0|02.1|02.1|SILVICOLTURA ED ALTRE ATTIVITÀ FORESTALI|S|0|1|AZIENDE FORESTALI||||||SILVICOLTURA ED ALTRE ATTIVITÀ FORESTALI|||01/01/2007 00:00|
A.02.1.0_V0|02.10|02.10|Silvicoltura ed altre attività forestali|S|0|1|AZIENDE FORESTALI||||||Silvicoltura ed altre attività forestali|||01/01/2007 00:00|
A.02.1.0.0_V0|02.10.0|02.10.0|Silvicoltura e altre attività forestali|S|0|1|AZIENDE FORESTALI||||||Silvicoltura e altre attività forestali|||01/01/2007 00:00|
A.02.1.0.0.0_V0|02.10.00|02.10.00|Silvicoltura e altre attività forestali|C|0|1|AZIENDE FORESTALI||||||Silvicoltura e altre attività forestali|||01/01/2007 00:00|
A.02.2_V0|02.2|02.2|UTILIZZO DI AREE FORESTALI|S|0|1|AZIENDE FORESTALI||||||UTILIZZO DI AREE FORESTALI|||01/01/2007 00:00|
A.02.2.0_V0|02.20|02.20|Utilizzo di aree forestali|S|0|1|AZIENDE FORESTALI||||||Utilizzo di aree forestali|||01/01/2007 00:00|
A.02.2.0.0_V0|02.20.0|02.20.0|Utilizzo di aree forestali|S|0|1|AZIENDE FORESTALI||||||Utilizzo di aree forestali|||01/01/2007 00:00|
A.02.2.0.0.0_V0|02.20.00|02.20.00|Utilizzo di aree forestali|C|0|1|AZIENDE FORESTALI||||||Utilizzo di aree forestali|||01/01/2007 00:00|
A.02.3_V0|02.3|02.3|RACCOLTA DI PRODOTTI SELVATICI NON LEGNOSI|S|0|1|AZIENDE FORESTALI||||||RACCOLTA DI PRODOTTI SELVATICI NON LEGNOSI|||01/01/2007 00:00|
