#CODEVALUEMODEL=CodeValuePhi|CODESYSTEMID=phidic|CODESYSTEMNAME=PHIDIC|CODESYSTEMDISPLAYNAME=PHI DICTIONARY|VERSION=0|DESCRIPTION=Main CodeSystem|LANGUAGE=it|AUTHORITYNAME=Insiel Mercato SpA|AUTHORITYDESCRIPTION=Insiel Mercato SpA|AUTHORITYCONTACTINFORMATION=info@insielmercato.it
ID SUFFIX|CODE|NAME|DESCRIPTION|ELEMENT TYPE|SEQUENCE NUMBER|STATUS|KEYWORDS|EXTENSION[Abbreviation]|EXTENSION[Enable annotation]|EXTENSION[Score]|TRANSLATION[de]|TRANSLATION[en]|TRANSLATION[it]|RELATION[CodeValueCity]|RELATION[CodeValueIcd9]|RELATION[CodeValuePhi]|VALID FROM|VALID TO
spisal.segnalazioni.complextype.13.8|13.8|13.08 Comunicazione eventi non prevedibili o incidenti (art. 240 co. 3 DLgs 81/08)|13.8 Comunicazione eventi non prevedibili o incidenti (art. 240 co. 3 DLgs 81/08)|C|0|1||||||||||phidic.spisal.pratiche.type.generic_V0|17/10/2016 15:46|
spisal.segnalazioni.complextype.13.9|13.9|13.09 Comunicazione azienda appartenente gruppo A (art. 1 DM 388/03)|13.9 Comunicazione azienda appartenente gruppo A (art. 1 DM 388/03)|C|0|1||||||||||phidic.spisal.pratiche.type.generic_V0|17/10/2016 15:46|
spisal.segnalazioni.complextype.14_V0|14|14 Richieste prestazioni di Medicina del Lavoro|14 Richieste prestazioni di Medicina del Lavoro|S|0|1|||||||||||17/10/2016 15:46|
spisal.segnalazioni.complextype.14.1|14.1|14.01 Visita specialistica di medicina del lavoro|14.1 Visita specialistica di medicina del lavoro|C|0|1||||15|||||||17/10/2016 15:46|
spisal.segnalazioni.complextype.14.10|14.10|14.10 Audiometria tonale|14.10 Audiometria tonale|C|0|1||||15||||||phidic.spisal.pratiche.type.generic_V0|17/10/2016 15:46|
spisal.segnalazioni.complextype.14.11|14.11|14.11 Spirometria|14.11 Spirometria|C|0|1||||15||||||phidic.spisal.pratiche.type.generic_V0|17/10/2016 15:46|
spisal.segnalazioni.complextype.14.12|14.12|14.12 Test ergooftalmologico|14.12 Test ergooftalmologico|C|0|1||||15||||||phidic.spisal.pratiche.type.generic_V0|17/10/2016 15:46|
spisal.segnalazioni.complextype.14.13_V0|14.13|14.13 Segnalazione da ospedale	|14.13 Segnalazione da ospedale di possibile M.P.|C|0|1||||||Noticed by hospital|14.13 Segnalazioni da ospedale per Malattia Professionale|||phidic.spisal.pratiche.type.workmedicine_V0|29/05/2017 12:23|
spisal.segnalazioni.complextype.14.14_V0|14.14|14.14 Richiesta accertamenti strumentali|14.14 Richiesta accertamenti strumentali|C|0|1||||||Request|14.14 Richiesta accertamenti strumentali|||phidic.spisal.pratiche.type.workmedicine_V0|29/05/2017 12:23|
spisal.segnalazioni.complextype.14.15_V0|14.15|14.15 Visite di iniziativa|14.15 Visite di iniziativa|C|0|1||||||Request|14.15 Visite di iniziativa|||phidic.spisal.pratiche.type.workmedicine_V0|29/05/2017 12:23|
spisal.segnalazioni.complextype.14.2|14.2|14.02 Visita per idoneità al lavoro (in tipo attività elementare visita medica)|14.2 Visita per idoneità al lavoro (in tipo attività elementare visita medica)|C|0|1||||15||||||phidic.spisal.pratiche.type.workmedicine_V0|17/10/2016 15:46|
spisal.segnalazioni.complextype.14.3|14.3|14.03 Visita per ex esposti a cancerogeni (in tipo attività elementare visita medica)|14.3 Visita per ex esposti a cancerogeni (in tipo attività elementare visita medica)|C|0|1||||15||||||phidic.spisal.pratiche.type.workmedicine_V0|17/10/2016 15:46|
spisal.segnalazioni.complextype.14.4|14.4|14.04 Visite per forestali, protezione civile (in tipo attività elementare visita medica)|14.4 Visite per forestali, protezione civile (in tipo attività elementare visita medica)|C|0|1||||15||||||phidic.spisal.pratiche.type.generic_V0|17/10/2016 15:46|
spisal.segnalazioni.complextype.14.5|14.5|14.05 Parere inserimento lavorativo minori in lavorazioni a rischio|14.5 Parere inserimento lavorativo minori in lavorazioni a rischio|C|0|1||||10||||||phidic.spisal.pratiche.type.technicaladvice_V0|17/10/2016 15:46|
spisal.segnalazioni.complextype.14.6|14.6|14.06 Parere per inserimento lavorativo disabili|14.6 Parere per inserimento lavorativo disabili|C|0|1||||||||||phidic.spisal.pratiche.type.technicaladvice_V0|17/10/2016 15:46|
spisal.segnalazioni.complextype.14.7|14.7|14.07 Accertamenti sportello disagio al lavoro|14.7 Accertamenti sportello disagio al lavoro|C|0|1||||||||||phidic.spisal.pratiche.type.counseling_V0|17/10/2016 15:46|
spisal.segnalazioni.complextype.14.8|14.8|14.08 Accertamenti centro provinciale per benessere organizzativo|14.8 Accertamenti centro provinciale per benessere organizzativo|C|0|1||||||||||phidic.spisal.pratiche.type.counseling_V0|17/10/2016 15:46|
spisal.segnalazioni.complextype.14.9|14.9|14.09 Parere per maternità anticipata e prolungamento astensione fino a 7 mesi dopo il parto|14.9 Parere per maternità anticipata e prolungamento astensione fino a 7 mesi dopo il parto|C|0|1||||10||||||phidic.spisal.pratiche.type.technicaladvice_V0|17/10/2016 15:46|
spisal.segnalazioni.complextype.15_V0|15|15 Commissioni e conferenze istituzionali|15 Commissioni e conferenze istituzionali|S|0|1|||||||||||17/10/2016 15:46|
spisal.segnalazioni.complextype.15.1|15.1|15.01 Invalidi L.295, L 68, L.104|15.1 Invalidi L.295, L 68, L.104|C|0|1||||||||||phidic.spisal.pratiche.type.generic_V0|17/10/2016 15:46|
spisal.segnalazioni.complextype.15.10|15.10|15.10 Commissione SISP Rx|15.10 Commissione SISP Rx|C|0|1||||||||||phidic.spisal.pratiche.type.generic_V0|17/10/2016 15:46|
spisal.segnalazioni.complextype.15.11|15.11|15.11 Commissione SISP gas tossici|15.11 Commissione SISP gas tossici|C|0|1||||||||||phidic.spisal.pratiche.type.generic_V0|17/10/2016 15:46|
spisal.segnalazioni.complextype.15.12|15.12|15.12 Commissione intradipartimento prevenzione|15.12 Commissione intradipartimento prevenzione|C|0|1||||||||||phidic.spisal.pratiche.type.generic_V0|17/10/2016 15:46|
spisal.segnalazioni.complextype.15.13|15.13|15.13 Incontro di lavoro interno al Servizio|15.13 Incontro di lavoro interno al Servizio|C|0|1||||||||||phidic.spisal.pratiche.type.generic_V0|17/10/2016 15:46|
spisal.segnalazioni.complextype.15.14|15.14|15.14 Commissioni ex art5|15.14 Commissioni ex art5 L300/700|C|0|1||||||||||phidic.spisal.pratiche.type.technicaladvice_V0|17/10/2016 15:46|
spisal.segnalazioni.complextype.15.2|15.2|15.02 Idoneità lavoro ex art. 5 L. 300|15.2 Idoneità lavoro ex art. 5 L. 300|C|0|1||||||||||phidic.spisal.pratiche.type.generic_V0|17/10/2016 15:46|
spisal.segnalazioni.complextype.15.3|15.3|15.03 Comitato prov. ex D. Lgs. 81|15.3 Comitato prov. ex D. Lgs. 81|C|0|1||||||||||phidic.spisal.pratiche.type.generic_V0|17/10/2016 15:46|
spisal.segnalazioni.complextype.15.4|15.4|15.04 Comitato regionale ex D. Lgs. 81|15.4 Comitato regionale ex D. Lgs. 81|C|0|1||||||||||phidic.spisal.pratiche.type.generic_V0|17/10/2016 15:46|
spisal.segnalazioni.complextype.15.5|15.5|15.05 Comitato tecnico prov. ex L. 68|15.5 Comitato tecnico prov. ex L. 68|C|0|1||||||||||phidic.spisal.pratiche.type.generic_V0|17/10/2016 15:46|
spisal.segnalazioni.complextype.15.6|15.6|15.06 Conferenza Servizi Provincia|15.6 Conferenza Servizi Provincia|C|0|1||||30||||||phidic.spisal.pratiche.type.generic_V0|17/10/2016 15:46|
spisal.segnalazioni.complextype.15.7|15.7|15.07 Partecipazione a convocazioni prefettizie|15.7 Partecipazione a convocazioni prefettizie|C|0|1||||||||||phidic.spisal.pratiche.type.generic_V0|17/10/2016 15:46|
spisal.segnalazioni.complextype.15.8|15.8|15.08 Co.Co.Pro INAIL|15.8 Co.Co.Pro INAIL|C|0|1||||||||||phidic.spisal.pratiche.type.generic_V0|17/10/2016 15:46|
spisal.segnalazioni.complextype.15.9|15.9|15.09 Cles DTL|15.9 Cles DTL|C|0|1||||||||||phidic.spisal.pratiche.type.generic_V0|17/10/2016 15:46|
spisal.segnalazioni.complextype.16_V0|16|16 Formazione|16 Formazione|S|0|1|||||||||||17/10/2016 15:46|
spisal.segnalazioni.complextype.16.1|16.1|16.01 Corsi Amianto|16.1 Corsi Amianto|C|0|1||||||||||phidic.spisal.pratiche.type.training_V0|17/10/2016 15:46|
spisal.segnalazioni.complextype.16.2|16.2|16.02 Corsi tatuatori|16.2 Corsi tatuatori|C|0|1||||||||||phidic.spisal.pratiche.type.training_V0|17/10/2016 15:46|
spisal.segnalazioni.complextype.16.3|16.3|16.03 Fitofarmaci|16.3 Fitofarmaci|C|0|1||||||||||phidic.spisal.pratiche.type.training_V0|17/10/2016 15:46|
spisal.segnalazioni.complextype.16.4|16.4|16.04 SIL|16.4 SIL|C|0|1||||||||||phidic.spisal.pratiche.type.training_V0|17/10/2016 15:46|
spisal.segnalazioni.complextype.16.5|16.5|16.05 Scuole|16.5 Scuole|C|0|1||||||||||phidic.spisal.pratiche.type.training_V0|17/10/2016 15:46|
spisal.segnalazioni.complextype.17_V0|17|17 Altre richieste|17 Altre richieste|S|0|1|||||||||||17/10/2016 15:46|
spisal.segnalazioni.complextype.17.1|17.1|17.01 Convocazione teste|17.1 Convocazione teste|C|0|1||||||||||phidic.spisal.pratiche.type.generic_V0|17/10/2016 15:46|
spisal.segnalazioni.complextype.17.2_V0|17.2|17.02 Altro||C|0|1|||||||17.02 Altro||||08/11/2016 10:13|
spisal.segnalazioni.complextype.2_V0|2|02 Malattia professionale|2 Malattia professionale|S|0|1|||||||||||17/10/2016 15:46|
spisal.segnalazioni.complextype.2.1|2.1|02.01 Primo certificato|2.1 Primo certificato, denuncia/referto (art. 139 del DPR 1124/65 o ex art. 365 c.p.)|C|0|1||||180||||||phidic.spisal.pratiche.type.workddisease_V0|17/10/2016 15:46|
spisal.segnalazioni.complextype.3|3|03 Esposti|3 Esposti|C|0|1||||||||||phidic.spisal.pratiche.type.supervision_V0|17/10/2016 15:46|
spisal.segnalazioni.complextype.4|4|04 Notifiche cantieri edili temporanei (art. 99 DLgs 81/08 o L. 55/90)|4 Notifiche cantieri edili temporanei (art. 99 DLgs 81/08 o L. 55/90)|C|0|1||||||||||phidic.spisal.pratiche.type.supervision_V0|17/10/2016 00:00|
spisal.segnalazioni.complextype.5|5|05 Notifiche e piani di lavoro per bonifiche amianto|5 Notifiche e piani di lavoro per bonifiche amianto (art. 256  e art. 250 DLgs 81/08)|C|0|1||||30||||||phidic.spisal.pratiche.type.supervision_V0|17/10/2016 15:46|
spisal.segnalazioni.complextype.6|6|06 Ricorsi avverso giudizio medico competente|6 Ricorsi avverso giudizio medico competente (art. 41 DLgs 81/08)|C|0|1||||90||||||phidic.spisal.pratiche.type.workmedicine_V0|17/10/2016 15:46|
spisal.segnalazioni.complextype.7_V0|7|07 Pareri formali|7 Pareri formali e certificazioni di igiene ambientale|S|0|1|||||||||||17/10/2016 15:46|
spisal.segnalazioni.complextype.7.1|7.1|07.01 Richiesta parere NIP da SUAP|7.1 Richiesta parere NIP da SUAP (Nuova costruzione, ampliamento, modifica, ristrutturazione, pareri per agibilità)|C|0|1||||30||||||phidic.spisal.pratiche.type.technicaladvice_V0|17/10/2016 15:46|
spisal.segnalazioni.complextype.7.10|7.10|07.10 Parere per ospedale|7.10 Parere per ospedale|C|0|1||||||||||phidic.spisal.pratiche.type.workmedicine_V0|17/10/2016 15:46|
spisal.segnalazioni.complextype.7.2|7.2|07.02 Richiesta parere nulla osta fiamma|7.2 Richiesta parere nulla osta fiamma (art. 46 del DLgs 272/99)|C|0|1||||30||||||phidic.spisal.pratiche.type.technicaladvice_V0|17/10/2016 15:46|
spisal.segnalazioni.complextype.7.3|7.3|07.03 Richiesta autorizzazione utilizzo locali sotterranei|7.3 Richiesta autorizzazione utilizzo locali sotterranei (artt. 63 e 65 D. Lgs. 81/08)|C|0|1||||30||||||phidic.spisal.pratiche.type.technicaladvice_V0|17/10/2016 15:46|
spisal.segnalazioni.complextype.7.4|7.4|07.04 Richiesta parere preventivo su progetto di attività lavorativa|7.4 Richiesta parere preventivo su progetto di attività lavorativa|C|0|1||||30||||||phidic.spisal.pratiche.type.technicaladvice_V0|17/10/2016 15:46|
spisal.segnalazioni.complextype.7.5|7.5|07.05 Richiesta parere di sicurezza sanitaria per impianto carburanti|7.5 Richiesta parere di sicurezza sanitaria per impianto carburanti (art. 1 c. 5 D. Lgs. 32/98, L.R. 23/03 e D.G.R. n. 497 del 18/02/2005, all. 1 art. 59 lett. C|C|0|1||||30||||||phidic.spisal.pratiche.type.technicaladvice_V0|17/10/2016 15:46|
spisal.segnalazioni.complextype.7.6|7.6|07.06 Collaudo Impianti carburanti stradali e ad uso privato|7.6 Collaudo Impianti carburanti stradali e ad uso privato|C|0|1||||30||||||phidic.spisal.pratiche.type.technicaladvice_V0|17/10/2016 15:46|
spisal.segnalazioni.complextype.7.7|7.7|07.07 Richiesta classificazione industrie insalubri|7.7 Richiesta classificazione industrie insalubri (art. 216 TULSS/34)|C|0|1||||30||||||phidic.spisal.pratiche.type.technicaladvice_V0|17/10/2016 15:46|
spisal.segnalazioni.complextype.7.8|7.8|07.08 Pareri inerenti igiene ambientale (D.Lgs. 152/06 s.m.i "T.U. Norme in materia ambientale" e normativa di settore)|7.8 Pareri inerenti igiene ambientale (D.Lgs. 152/06 s.m.i "T.U. Norme in materia ambientale" e normativa di settore)|C|0|1||||30||||||phidic.spisal.pratiche.type.technicaladvice_V0|17/10/2016 15:46|
spisal.segnalazioni.complextype.7.9|7.9|07.09 Pareri L. R. 22/02|7.9 Pareri L. R. 22/02|C|0|1||||30||||||phidic.spisal.pratiche.type.technicaladvice_V0|17/10/2016 15:46|
spisal.segnalazioni.complextype.8_V0|8|08 Abilitazioni/patentini|8 Abilitazioni/patentini|S|0|1|||||||||||17/10/2016 15:46|
spisal.segnalazioni.complextype.8.1|8.1|08.01 Richiesta conseguimento patentino gas tossiciR|8.1 Richiesta conseguimento patentino gas tossici|C|0|1||||90||||||phidic.spisal.pratiche.type.technicaladvice_V0|17/10/2016 15:46|
spisal.segnalazioni.complextype.8.2|8.2|08.02 Richiesta rinnovo patentino gas tossici|8.2 Richiesta rinnovo patentino gas tossici|C|0|1||||90||||||phidic.spisal.pratiche.type.technicaladvice_V0|17/10/2016 15:46|
spisal.segnalazioni.complextype.8.3|8.3|08.03 Patentino fitofarmaci (esami)|8.3 Patentino fitofarmaci (esami)|C|0|1||||||||||phidic.spisal.pratiche.type.technicaladvice_V0|17/10/2016 15:46|
spisal.segnalazioni.complextype.9_V0|9|09 Istanze da istituzioni|9 Istanze da istituzioni|S|0|1|||||||||||17/10/2016 15:46|
spisal.segnalazioni.complextype.9.1|9.1|09.01 Delega d'indagine da A.G.|9.1 Delega d'indagine da A.G.|C|0|1||||||||||phidic.spisal.pratiche.type.generic_V0|17/10/2016 15:46|
spisal.segnalazioni.complextype.9.2|9.2|09.02 Richiesta di informativa|9.2 Richiesta di informativa/rapporto su attività del Servizio o eventi del territorio|C|0|1||||||||||phidic.spisal.pratiche.type.generic_V0|17/10/2016 15:46|
