#CODEVALUEMODEL=CodeValueInail|CODESYSTEMID=INAIL|CODESYSTEMNAME=INAIL|CODESYSTEMDISPLAYNAME=INAIL|VERSION=0|DESCRIPTION=INAIL|LANGUAGE=it|AUTHORITYNAME=ITAL-TBS S.P.A.|AUTHORITYDESCRIPTION=ITAL-TBS S.P.A.|AUTHORITYCONTACTINFORMATION=info@italtbs.com|VALIDFROM=01/01/2007 00:00|||||||
ID SUFFIX|CODE|NAME|DESCRIPTION|ELEMENT TYPE|SEQUENCE NUMBER|STATUS|KEYWORDS|EXTENSION[Abbreviation]|EXTENSION[Enable annotation]|EXTENSION[Score]|TRANSLATION[de]|TRANSLATION[en]|TRANSLATION[it]|RELATION[CodeValueCity]|RELATION[CodeValuePhi]|VALID FROM|VALID TO
A.0017.01_V0|A.0017.01_V0|A.0017.01_V0|esercizio di impianti di distribuzione|C|0|1|4100||||||esercizio di impianti di distribuzione|||01/01/2007 00:00|
A.0017.02_V0|A.0017.02_V0|A.0017.02_V0|installazione, manutenzione e rimozione di impianti di distribuzione negli opifici e negli edifici civili|C|0|1|1111 1112||||||installazione, manutenzione e rimozione di impianti di distribuzione negli opifici e negli edifici civili|||01/01/2007 00:00|
A.0017.03_V0|A.0017.03_V0|A.0017.03_V0|sollevamento:|C|0|1|4100||||||sollevamento:|||01/01/2007 00:00|
A.0017.04.01_V0|A.0017.04.01_V0|A.0017.04.01_V0| - presso aziende agricole|C|0|1|1411|||||| - presso aziende agricole|||01/01/2007 00:00|
A.0017.05.02_V0|A.0017.05.02_V0|A.0017.05.02_V0| - negli altri casi|C|0|1|2111|||||| - negli altri casi|||01/01/2007 00:00|
A.0017.06_V0|A.0017.06_V0|A.0017.06_V0|minerale e gassata artificialmente|C|0|1|2112||||||minerale e gassata artificialmente|||01/01/2007 00:00|
A.0017.07_V0|A.0017.07_V0|A.0017.07_V0|ossigenata per usi industriali|C|0|1|2111||||||ossigenata per usi industriali|||01/01/2007 00:00|
A.0017.08_V0|A.0017.08_V0|A.0017.08_V0|ossigenata per uso farmaceutico|C|0|1|2111||||||ossigenata per uso farmaceutico|||01/01/2007 00:00|
A.0018_V0|A.0018_V0|A.0018_V0|ACQUARAGIA|S|0|1|||||||ACQUARAGIA|||01/01/2007 00:00|
A.0018.01_V0|A.0018.01_V0|A.0018.01_V0|(trementina)|C|0|1|7271||||||(trementina)|||01/01/2007 00:00|
A.0019_V0|A.0019_V0|A.0019_V0|ACQUAI|C|0|1|7281||||||ACQUAI|||01/01/2007 00:00|
A.0019.01_V0|A.0019.01_V0|A.0019.01_V0|in conglomerato cementizio|C|0|1|6222||||||in conglomerato cementizio|||01/01/2007 00:00|
A.0019.02_V0|A.0019.02_V0|A.0019.02_V0|in ceramica|C|0|1|6240||||||in ceramica|||01/01/2007 00:00|
A.0019.03_V0|A.0019.03_V0|A.0019.03_V0|in lamiera|C|0|1|6222||||||in lamiera|||01/01/2007 00:00|
A.0019.04_V0|A.0019.04_V0|A.0019.04_V0|rubinetteria tornita per -|C|0|1|1414||||||rubinetteria tornita per -|||01/01/2007 00:00|
A.0020_V0|A.0020_V0|A.0020_V0|ACQUAVITI|S|0|1|||||||ACQUAVITI|||01/01/2007 00:00|
A.0020.01_V0|A.0020.01_V0|A.0020.01_V0|di vinacce, canna, cereali, ecc.|C|0|1|1414||||||di vinacce, canna, cereali, ecc.|||01/01/2007 00:00|
A.0021_V0|A.0021_V0|A.0021_V0|ACQUE|C|0|1|4100||||||ACQUE|||01/01/2007 00:00|
A.0021.01_V0|A.0021.01_V0|A.0021.01_V0|potabilizzazione, sterilizzazione e trattamento in genere:|C|0|1|3232||||||potabilizzazione, sterilizzazione e trattamento in genere:|||01/01/2007 00:00|
A.0021.02_V0|A.0021.02_V0|A.0021.02_V0|- esercizio di impianti|C|0|1|4100||||||- esercizio di impianti|||01/01/2007 00:00|
A.0021.03_V0|A.0021.03_V0|A.0021.03_V0|- costruzione di impianti|C|0|1|3231||||||- costruzione di impianti|||01/01/2007 00:00|
A.0022_V0|A.0022_V0|A.0022_V0|ACQUEDOTTI|C|0|1|3420||||||ACQUEDOTTI|||01/01/2007 00:00|
A.0022.01_V0|A.0022.01_V0|A.0022.01_V0|costruzione di - extraurbani|C|0|1|4100||||||costruzione di - extraurbani|||01/01/2007 00:00|
A.0022.02_V0|A.0022.02_V0|A.0022.02_V0|costruzione di - urbani|C|0|1|3420||||||costruzione di - urbani|||01/01/2007 00:00|
A.0022.03_V0|A.0022.03_V0|A.0022.03_V0|esercizio|C|0|1|2184||||||esercizio|||01/01/2007 00:00|
A.0023_V0|A.0023_V0|A.0023_V0|ADDENSANTI|C|0|1|2186||||||ADDENSANTI|||01/01/2007 00:00|
A.0023.01_V0|A.0023.01_V0|A.0023.01_V0|sostanze per - (appretti)|C|0|1|2184||||||sostanze per - (appretti)|||01/01/2007 00:00|
A.0023.02_V0|A.0023.02_V0|A.0023.02_V0|per la stampa dei tessuti|C|0|1|1460||||||per la stampa dei tessuti|||01/01/2007 00:00|
A.0024_V0|A.0024_V0|A.0024_V0|ADDITIVI|C|0|1|7370||||||ADDITIVI|||01/01/2007 00:00|
A.0024.01_V0|A.0024.01_V0|A.0024.01_V0|per bevande ed alimenti|C|0|1|1460||||||per bevande ed alimenti|||01/01/2007 00:00|
A.0024.02_V0|A.0024.02_V0|A.0024.02_V0|- preparazione di - per vernici, fondenti e smalti vetrosi|C|0|1|0560||||||- preparazione di - per vernici, fondenti e smalti vetrosi|||01/01/2007 00:00|
A.0025_V0|A.0025_V0|A.0025_V0|ADDOBBO|S|0|1|||||||ADDOBBO|||01/01/2007 00:00|
A.0025.01_V0|A.0025.01_V0|A.0025.01_V0|lavori di - per cerimonie, feste, spettacoli pubblici|C|0|1|0560||||||lavori di - per cerimonie, feste, spettacoli pubblici|||01/01/2007 00:00|
A.0026_V0|A.0026_V0|A.0026_V0|AERATORI|S|0|1|||||||AERATORI|||01/01/2007 00:00|
A.0026.01_V0|A.0026.01_V0|A.0026.01_V0|v. Ventilatori|S|0|1|||||||v. Ventilatori|||01/01/2007 00:00|
A.0027_V0|A.0027_V0|A.0027_V0|AERAZIONE|S|0|1|||||||AERAZIONE|||01/01/2007 00:00|
A.0027.01_V0|A.0027.01_V0|A.0027.01_V0|v. Ventilazione|C|0|1|6411||||||v. Ventilazione|||01/01/2007 00:00|
A.0028_V0|A.0028_V0|A.0028_V0|AEREI|C|0|1|5230||||||AEREI|||01/01/2007 00:00|
A.0028.01_V0|A.0028.01_V0|A.0028.01_V0|costruzione e riparazione|C|0|1|1111||||||costruzione e riparazione|||01/01/2007 00:00|
A.0028.02.01_V0|A.0028.02.01_V0|A.0028.02.01_V0| - prevalentemente in legno|C|0|1|5230|||||| - prevalentemente in legno|||01/01/2007 00:00|
A.0028.03_V0|A.0028.03_V0|A.0028.03_V0|impiego di - per scopi agricoli|C|0|1|5223||||||impiego di - per scopi agricoli|||01/01/2007 00:00|
A.0029_V0|A.0029_V0|A.0029_V0|AEROMOBILI|S|0|1|||||||AEROMOBILI|||01/01/2007 00:00|
A.0029.01_V0|A.0029.01_V0|A.0029.01_V0|modelli in legno di - ad uso espositivo|C|0|1|5223||||||modelli in legno di - ad uso espositivo|||01/01/2007 00:00|
A.0030_V0|A.0030_V0|A.0030_V0|AERONAUTICHE|C|0|1|5230||||||AERONAUTICHE|||01/01/2007 00:00|
A.0030.01_V0|A.0030.01_V0|A.0030.01_V0|costruzioni:|C|0|1|6411||||||costruzioni:|||01/01/2007 00:00|
A.0030.02.01_V0|A.0030.02.01_V0|A.0030.02.01_V0| - prevalentemente in legno|C|0|1|5230|||||| - prevalentemente in legno|||01/01/2007 00:00|
A.0030.03.02_V0|A.0030.03.02_V0|A.0030.03.02_V0| - in altri materiali|C|0|1|6411|||||| - in altri materiali|||01/01/2007 00:00|
A.0031_V0|A.0031_V0|A.0031_V0|AEROPLANI|S|0|1|||||||AEROPLANI|||01/01/2007 00:00|
A.0031.01_V0|A.0031.01_V0|A.0031.01_V0|v. Aerei|C|0|1|1112||||||v. Aerei|||01/01/2007 00:00|
A.0032_V0|A.0032_V0|A.0032_V0|AEROPONICHE|S|0|1|||||||AEROPONICHE|||01/01/2007 00:00|
A.0032.01_V0|A.0032.01_V0|A.0032.01_V0|coltivazioni|C|0|1|3110 3120||||||coltivazioni|||01/01/2007 00:00|
A.0033_V0|A.0033_V0|A.0033_V0|AEROPORTI|C|0|1|3321||||||AEROPORTI|||01/01/2007 00:00|
A.0033.01_V0|A.0033.01_V0|A.0033.01_V0|costruzioni di fabbricati per -|C|0|1|3630||||||costruzioni di fabbricati per -|||01/01/2007 00:00|
A.0033.02_V0|A.0033.02_V0|A.0033.02_V0|costruzioni di piste e piazzali per -|C|0|1|9130||||||costruzioni di piste e piazzali per -|||01/01/2007 00:00|
A.0033.03_V0|A.0033.03_V0|A.0033.03_V0|installazione di impianti negli -|C|0|1|3630||||||installazione di impianti negli -|||01/01/2007 00:00|
A.0033.04_V0|A.0033.04_V0|A.0033.04_V0|esercizio (servizi aeroportuali)|C|0|1|8210||||||esercizio (servizi aeroportuali)|||01/01/2007 00:00|
A.0034_V0|A.0034_V0|A.0034_V0|AEROSTATI|C|0|1|6411||||||AEROSTATI|||01/01/2007 00:00|
A.0034.01_V0|A.0034.01_V0|A.0034.01_V0|confezione di involucri per -|C|0|1|6321||||||confezione di involucri per -|||01/01/2007 00:00|
A.0034.02_V0|A.0034.02_V0|A.0034.02_V0|costruzione|C|0|1|6321||||||costruzione|||01/01/2007 00:00|
A.0035_V0|A.0035_V0|A.0035_V0|AFFETTATRICI|C|0|1|6321||||||AFFETTATRICI|||01/01/2007 00:00|
A.0036_V0|A.0036_V0|A.0036_V0|AFFILATRICI|C|0|1|6281||||||AFFILATRICI|||01/01/2007 00:00|
A.0037_V0|A.0037_V0|A.0037_V0|AFFILATURA|S|0|1|||||||AFFILATURA|||01/01/2007 00:00|
A.0037.01_V0|A.0037.01_V0|A.0037.01_V0|di metalli|C|0|1|6111||||||di metalli|||01/01/2007 00:00|
A.0038_V0|A.0038_V0|A.0038_V0|AFFINAZIONE|S|0|1|||||||AFFINAZIONE|||01/01/2007 00:00|
A.0038.01_V0|A.0038.01_V0|A.0038.01_V0|della ghisa|C|0|1|0740||||||della ghisa|||01/01/2007 00:00|
A.0039_V0|A.0039_V0|A.0039_V0|AFFISSIONE|S|0|1|||||||AFFISSIONE|||01/01/2007 00:00|
A.0039.01_V0|A.0039.01_V0|A.0039.01_V0|di stampati (attacchini)|C|0|1|1451||||||di stampati (attacchini)|||01/01/2007 00:00|
A.0040_V0|A.0040_V0|A.0040_V0|AFFUMICATURA|C|0|1|1452||||||AFFUMICATURA|||01/01/2007 00:00|
A.0040.01_V0|A.0040.01_V0|A.0040.01_V0|di salumi e prosciutti|C|0|1|1451||||||di salumi e prosciutti|||01/01/2007 00:00|
A.0040.02_V0|A.0040.02_V0|A.0040.02_V0|di altri prodotti vegetali e animali|C|0|1|6330||||||di altri prodotti vegetali e animali|||01/01/2007 00:00|
A.0041_V0|A.0041_V0|A.0041_V0|AFFUSTI|S|0|1|||||||AFFUSTI|||01/01/2007 00:00|
A.0041.01_V0|A.0041.01_V0|A.0041.01_V0|di artiglieria|C|0|1|8123||||||di artiglieria|||01/01/2007 00:00|
A.0042_V0|A.0042_V0|A.0042_V0|AGAVE|C|0|1|8131 8132 8133 ||||||AGAVE|||01/01/2007 00:00|
A.0042.01_V0|A.0042.01_V0|A.0042.01_V0|produzione di corde in -|C|0|1|8123||||||produzione di corde in -|||01/01/2007 00:00|
A.0042.02_V0|A.0042.02_V0|A.0042.02_V0|produzione di tappeti, tessuti per sacchi, ecc. in -|C|0|1|6262||||||produzione di tappeti, tessuti per sacchi, ecc. in -|||01/01/2007 00:00|
A.0043_V0|A.0043_V0|A.0043_V0|AGEMINATURA|S|0|1|||||||AGEMINATURA|||01/01/2007 00:00|
A.0043.01_V0|A.0043.01_V0|A.0043.01_V0|(incisione dei metalli e riempimento degli incavi con lamine di altri metalli)|C|0|1|0510||||||(incisione dei metalli e riempimento degli incavi con lamine di altri metalli)|||01/01/2007 00:00|
A.0044_V0|A.0044_V0|A.0044_V0|AGENZIE|C|0|1|0721||||||AGENZIE|||01/01/2007 00:00|
A.0044.01_V0|A.0044.01_V0|A.0044.01_V0|di noleggio di pellicole cinematografiche|C|0|1|0510||||||di noleggio di pellicole cinematografiche|||01/01/2007 00:00|
A.0044.02_V0|A.0044.02_V0|A.0044.02_V0|di recapito|C|0|1|7220||||||di recapito|||01/01/2007 00:00|
A.0045_V0|A.0045_V0|A.0045_V0|AGGLOMERATI|C|0|1|7271||||||AGGLOMERATI|||01/01/2007 00:00|
A.0045.01_V0|A.0045.01_V0|A.0045.01_V0|di asfalto|C|0|1|7272||||||di asfalto|||01/01/2007 00:00|
A.0045.02_V0|A.0045.02_V0|A.0045.02_V0|di calce, cemento|C|0|1|7274||||||di calce, cemento|||01/01/2007 00:00|
A.0045.03_V0|A.0045.03_V0|A.0045.03_V0|di gesso|C|0|1|5123||||||di gesso|||01/01/2007 00:00|
A.0045.04_V0|A.0045.04_V0|A.0045.04_V0|di carbone in genere|C|0|1|7272||||||di carbone in genere|||01/01/2007 00:00|
A.0045.05_V0|A.0045.05_V0|A.0045.05_V0|di fibre e trucioli di legno con leganti non minerali|C|0|1|5123||||||di fibre e trucioli di legno con leganti non minerali|||01/01/2007 00:00|
A.0045.06_V0|A.0045.06_V0|A.0045.06_V0|di fibre e trucioli di legno con leganti minerali|C|0|1|7220||||||di fibre e trucioli di legno con leganti minerali|||01/01/2007 00:00|
A.0045.07_V0|A.0045.07_V0|A.0045.07_V0|di materiali vari con leganti:|C|0|1|7271 7272||||||di materiali vari con leganti:|||01/01/2007 00:00|
A.0045.08.01_V0|A.0045.08.01_V0|A.0045.08.01_V0| - bituminosi|C|0|1|7220|||||| - bituminosi|||01/01/2007 00:00|
A.0045.09.02_V0|A.0045.09.02_V0|A.0045.09.02_V0| - minerali|C|0|1|5320|||||| - minerali|||01/01/2007 00:00|
A.0045.10_V0|A.0045.10_V0|A.0045.10_V0|di sughero:|C|0|1|7220||||||di sughero:|||01/01/2007 00:00|
A.0045.11.01_V0|A.0045.11.01_V0|A.0045.11.01_V0| - con leganti non minerali|C|0|1|7273|||||| - con leganti non minerali|||01/01/2007 00:00|
A.0045.12.02_V0|A.0045.12.02_V0|A.0045.12.02_V0| - con leganti bituminosi|C|0|1|7220|||||| - con leganti bituminosi|||01/01/2007 00:00|
A.0045.13.03_V0|A.0045.13.03_V0|A.0045.13.03_V0| - con altri leganti minerali|C|0|1|2184|||||| - con altri leganti minerali|||01/01/2007 00:00|
A.0046_V0|A.0046_V0|A.0046_V0|AGGLUTINANTI|S|0|1|||||||AGGLUTINANTI|||01/01/2007 00:00|
A.0046.01_V0|A.0046.01_V0|A.0046.01_V0|sostanze (appretti)|C|0|1|2111||||||sostanze (appretti)|||01/01/2007 00:00|
A.0047_V0|A.0047_V0|A.0047_V0|AGGRESSIVI|C|0|1|6270||||||AGGRESSIVI|||01/01/2007 00:00|
A.0047.01_V0|A.0047.01_V0|A.0047.01_V0|chimici|C|0|1|2111||||||chimici|||01/01/2007 00:00|
A.0048_V0|A.0048_V0|A.0048_V0|AGHI|C|0|1|0620||||||AGHI|||01/01/2007 00:00|
A.0049_V0|A.0049_V0|A.0049_V0|AGRONOMI|S|0|1|||||||AGRONOMI|||01/01/2007 00:00|
A.0049.01_V0|A.0049.01_V0|A.0049.01_V0|addetti a rilievi idrografici, geodetici e topografici|C|0|1|1111||||||addetti a rilievi idrografici, geodetici e topografici|||01/01/2007 00:00|
A.0050_V0|A.0050_V0|A.0050_V0|AGRUMI|C|0|1|9200||||||AGRUMI|||01/01/2007 00:00|
A.0050.01_V0|A.0050.01_V0|A.0050.01_V0|cernita, selezione e imballaggio presso le aziende agricole produttrici|C|0|1|1111||||||cernita, selezione e imballaggio presso le aziende agricole produttrici|||01/01/2007 00:00|
A.0050.02_V0|A.0050.02_V0|A.0050.02_V0|carico, scarico, facchinaggio di ortofrutticoli|C|0|1|1112||||||carico, scarico, facchinaggio di ortofrutticoli|||01/01/2007 00:00|
A.0051_V0|A.0051_V0|A.0051_V0|AIUOLE|S|0|1|||||||AIUOLE|||01/01/2007 00:00|
